,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,fokt,0.87,wälmening,0.769,hvai,0.644,troman,0.558,bolagsdirektioner,0.549,bolagsdirektioner,0.526,bolagsdirektioner,0.545
1,barde,0.866,arghet,0.767,välönskning,0.63,predikoembete,0.548,embetsman,0.495,förwaltare,0.481,embets,0.508
2,åtlöje,0.861,inwänares,0.761,vexelvis,0.628,nitiste,0.547,kommunalman,0.494,främjare,0.481,verkställare,0.507
3,trygghet,0.861,rättfärdighet,0.761,kyrkobyggnad,0.626,taleman,0.542,embctsmän,0.48,chef,0.476,troman,0.507
4,förblifwer,0.86,erkänsta,0.754,inwänares,0.62,administrera,0.539,tjensteinnehafvare,0.477,kadetteorpsen,0.475,krigsherre,0.498
5,strifter,0.86,undran,0.753,hedersledamot,0.62,poppius,0.539,greftve,0.471,troman,0.472,subordinera,0.493
6,arghet,0.851,walgörande,0.752,grundprincip,0.618,barthe,0.538,landshöfding,0.467,nädigste,0.47,främjare,0.491
7,nod,0.85,faster,0.752,folkundervisning,0.618,potemkin,0.538,troilius,0.466,nitiste,0.469,kadetteorpsen,0.486
8,förrädare,0.85,ömaste,0.752,scenisk,0.617,delegera,0.537,hoffunktionärer,0.465,ämbete,0.466,nädigste,0.482
9,födsel,0.847,försal,0.752,tillstädesvarande,0.615,inwalt,0.536,architekt,0.464,tjenstemän,0.465,nitiste,0.48
10,väcka,0.847,åtlöje,0.751,academici,0.613,tyler,0.536,agrelius,0.463,embets,0.464,storskiftesverket,0.48
11,flör,0.845,afunda,0.751,äreställe,0.613,dav,0.533,religionslärare,0.463,funktionär,0.464,funktionär,0.479
12,ödla,0.844,erkännande,0.751,berömvärd,0.61,förwaltare,0.533,chef,0.463,storskiftesverket,0.459,nådeligen,0.477
13,förgäten,0.843,odygd,0.75,huldhet,0.608,stickelighet,0.531,organisatör,0.462,krigsherre,0.455,lagerstråles,0.477
14,erkänsla,0.842,trygghet,0.749,beskyddare,0.607,hogen,0.531,embelsmän,0.461,kapplöpnings,0.455,ämbete,0.476
15,häfva,0.841,medfödd,0.749,befästat,0.607,vikariat,0.531,rädmän,0.461,militärledamot,0.455,storman,0.476
16,välgörande,0.841,ostuld,0.748,oaflåtligen,0.606,ätgöranden,0.53,hagerman,0.461,subordinera,0.455,domareembete,0.473
17,hjertelig,0.841,kallsinnig,0.748,auctoriteter,0.605,båtnad,0.529,utrikesstatsminister,0.46,wedermäle,0.455,förwaltare,0.472
18,förträffeliga,0.839,upsät,0.748,taleman,0.605,hamnarbete,0.529,förwaltare,0.46,neraldirektör,0.453,församlingsherde,0.472
19,maner,0.838,verksam,0.748,minnesvård,0.604,nordenfeldt,0.529,äreställe,0.459,verkställare,0.451,förtroendesyssla,0.469
20,agtning,0.838,tilfredsställelse,0.746,ulemas,0.604,commendeuren,0.529,generalbefälhafware,0.457,direktör,0.451,summus,0.469
21,förtjente,0.837,plister,0.746,uplysta,0.604,erkänsta,0.528,föreständaren,0.457,schef,0.451,stiftschef,0.468
22,önffan,0.836,sedlighet,0.746,bevågenhet,0.604,bistoppen,0.528,domarekår,0.457,domareembete,0.45,nitist,0.467
23,wälmäga,0.836,uplysta,0.745,inflytelserik,0.603,tilkommer,0.527,tillförordnad,0.456,generalamiral,0.45,parlamentariker,0.467
24,dagsljus,0.836,lagstiftare,0.745,vördig,0.603,tillstädesvara,0.527,weidenhjelm,0.456,lagerstråles,0.449,hedersvärd,0.466
25,bödel,0.836,förgäten,0.745,znnewänare,0.603,outredt,0.527,landshöfdinge,0.455,naval,0.449,chef,0.466
26,wälde,0.835,christne,0.744,välmenande,0.602,öfverintendenten,0.526,ordningsälskande,0.455,nitist,0.448,familjetradition,0.464
27,ffrifwit,0.835,redeliga,0.744,presentation,0.602,anlitande,0.526,verkställare,0.454,landshöfdingeplatsen,0.443,wedermäle,0.463
28,ädraga,0.835,hänföra,0.741,representationsrätt,0.602,fiscal,0.525,nitifle,0.454,ordnare,0.442,språkman,0.462
29,patriotism,0.835,konungahus,0.741,autoriteter,0.601,ecklesiastikminister,0.525,generaldirektör,0.452,energiste,0.441,förtroendepost,0.462
30,blix,0.834,ädraga,0.738,funktionär,0.601,naum,0.525,elworth,0.452,greftve,0.441,defensorer,0.46
31,enstilta,0.834,bödel,0.738,skolungdom,0.599,palmstjerna,0.524,embet,0.452,förtroendesyssla,0.441,mannapartiets,0.46
32,hafwcr,0.834,hjeltemod,0.738,härvaro,0.599,betänksamhet,0.524,tråder,0.451,steman,0.441,tilgifwenhet,0.46
33,redelige,0.833,beundran,0.738,historik,0.599,tilfredsställelse,0.524,klerk,0.451,stiftare,0.44,fabriksetablissement,0.46
34,sjclfwa,0.833,förträffeliga,0.737,armce,0.598,egenflap,0.524,wäfentligen,0.451,generaldirektörerne,0.439,verksamhetsområde,0.459
35,gikt,0.832,rädighet,0.737,municipal,0.598,tilgängar,0.524,utösning,0.45,modlem,0.438,fackminister,0.458
36,stydda,0.831,statsrädet,0.736,båtsmanshåll,0.598,generalprokurator,0.523,landtbruksstolor,0.45,styrelse,0.437,wörda,0.457
37,upriktigt,0.831,wärdiga,0.736,grundläggare,0.597,auctoriteter,0.522,riksdagsrepresentant,0.45,ledare,0.437,angelägenheler,0.457
38,föraktlig,0.831,hjertelig,0.736,enskifta,0.597,förevita,0.522,tjensteinnehafware,0.45,kommissionslandtmätarne,0.437,steman,0.457
39,förfarande,0.831,tribunal,0.736,förestälde,0.597,actor,0.522,auctoriteter,0.449,riddartecken,0.437,heber,0.457
40,resolvera,0.83,furstinna,0.735,ecklesiastik,0.597,bibehöllos,0.521,nitiste,0.449,kabinettssekreterare,0.436,militärledamot,0.456
41,rättfärdighet,0.83,barmhertig,0.735,jemvigt,0.597,bandlat,0.521,dignitär,0.449,chefstapet,0.436,landshöfdingeplatsen,0.456
42,kallsinnig,0.829,stydda,0.734,lifskraft,0.597,nppdrag,0.521,förtjenstcr,0.448,frimurarebröder,0.436,afhällne,0.456
