,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,directe,0.903,catholsta,0.823,regeringsform,0.648,kyrkolag,0.638,grundlov,0.678,grundlov,0.7,grundlov,0.682
1,tidningspapper,0.896,förhallande,0.82,veto,0.627,lag,0.615,regeringsform,0.675,riksakt,0.685,regeringsform,0.672
2,mannamod,0.89,skick,0.819,tryckfrihetsförordning,0.601,tryckfrihetsförordning,0.613,riksakt,0.653,regeringsform,0.674,riksakt,0.659
3,constitutionen,0.89,förwäg,0.815,uttryckelig,0.6,regeringsform,0.606,riksdagsordning,0.646,unionskonung,0.621,grundlagsbud,0.621
4,oförsynt,0.886,nögde,0.813,motiverna,0.596,lagförändring,0.604,kommunallag,0.617,grundlagsbud,0.608,suspensiv,0.611
5,redighet,0.886,stämpling,0.806,kränkning,0.594,strafflag,0.586,föreningsfördrag,0.606,grundlagsenlig,0.604,unionskonung,0.608
6,desin,0.886,constitutionen,0.805,1734,0.589,riksdagsordning,0.586,stadgande,0.605,grundlagsfråga,0.604,grundlagsfråga,0.605
7,klagomäl,0.884,folkrätt,0.805,facta,0.587,nationalrepresentation,0.585,kriminallag,0.601,lag,0.602,grundlagsenlig,0.602
8,öfmer,0.884,enom,0.803,tvärtemot,0.585,riksakt,0.578,dissenterlag,0.594,grundlagsbestämmelse,0.602,riksrättsdom,0.6
9,fältmarskalk,0.883,förord,0.801,folkrätt,0.584,konstitution,0.573,tryckfrihetsförordning,0.591,kommunallag,0.602,sanktionsrätt,0.598
10,förbunden,0.881,bibehällas,0.801,konstitution,0.583,grundlagen,0.572,riddarhusordning,0.589,föreningsfördrag,0.599,konungamakt,0.594
11,blifwik,0.881,rättwist,0.801,riksdagsordning,0.581,riksdagsbeslut,0.571,kommunalförfattning,0.588,riksdagsordning,0.598,föreningsfördrag,0.591
12,anspräk,0.88,stadeständ,0.8,tryckfrihetslag,0.579,ordalydelse,0.57,kyrkolag,0.586,suspensiv,0.598,lagparagraf,0.588
13,stämpling,0.879,afgifwande,0.8,beifra,0.573,uttryckelig,0.568,lag,0.585,grundlagsparagraf,0.596,grundlagen,0.588
14,resultat,0.878,orättwisa,0.8,grundlagen,0.572,provincialständerna,0.563,civillag,0.575,sanktionsrätt,0.595,grundlagsparagraf,0.587
15,högfärd,0.878,uplifwa,0.8,indragningsmakt,0.572,statsförfattning,0.561,grundlagsbud,0.575,storting,0.593,riksförfattning,0.587
16,utsända,0.878,beskyllning,0.799,hänvisning,0.571,grundlagsförslag,0.56,stängselförordning,0.566,stortingsbeslut,0.593,upplösningsrätt,0.587
17,ärhällit,0.877,magterna,0.798,ordalydelse,0.57,tryckfrihetslag,0.559,försäljningslag,0.566,konungamakt,0.592,kommunallag,0.587
18,garantera,0.877,viss,0.798,öfwerträdelse,0.57,riksdagsmannarätt,0.558,föreningsakt,0.562,civillag,0.59,civillag,0.586
19,efterträdare,0.876,beskyddare,0.796,sländer,0.568,lagtolkning,0.557,grundlagsändring,0.56,riksförfattning,0.59,grundlagsbestämmelse,0.584
20,prägtig,0.875,erkännande,0.796,tillstyrkande,0.566,tydning,0.556,författning,0.56,konstitution,0.586,riksdagsordning,0.583
21,afta,0.875,sörswara,0.795,samverkan,0.566,fåvitsk,0.554,maktfördelning,0.559,riksrättsdom,0.582,tryckfrihetslag,0.583
