,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,011,0.876,merkantil,0.716,financiel,0.609,finansiell,0.616,finansiell,0.69,kroppsarbetarnes,0.626
1,mekanik,0.874,utvidgande,0.622,kommerciella,0.606,ekonomista,0.596,ekono,0.657,finansiell,0.621
2,lok,0.867,befrämjande,0.615,kameral,0.585,social,0.595,finansiel,0.626,finansielt,0.613
3,stickelighet,0.866,naturalhistoria,0.615,financiella,0.572,karteverk,0.582,social,0.625,miskt,0.611
4,stump,0.866,administrativ,0.613,rättsförhållande,0.57,financiella,0.582,ekonomista,0.622,upphjälpande,0.607
5,bedaga,0.864,intre,0.61,disciplinär,0.562,finansielt,0.581,kroppsarbetarnes,0.62,nomiskt,0.605
6,omfattning,0.863,väsentlig,0.609,hånseende,0.56,bättrande,0.577,financiel,0.618,ekono,0.598
7,tilldöma,0.862,folkskola,0.607,ekonomista,0.559,financiel,0.57,nomiskt,0.617,pekuniär,0.594
8,karda,0.861,embetsmyndighet,0.606,ekonomifla,0.557,ckonomista,0.569,ekonomifla,0.615,näringslifvets,0.592
9,kila,0.861,statistisk,0.606,jordbruksnäring,0.556,karteverket,0.566,finansielt,0.613,bättrande,0.591
10,befullmäktiga,0.86,folkundervisning,0.604,sanitär,0.556,finansiela,0.558,bättrande,0.611,kreditväsen,0.59
11,machiner,0.859,förenkla,0.602,intellektuell,0.554,finansiel,0.557,pekuniär,0.611,kulturell,0.582
12,pappersmynt,0.859,kommitterad,0.6,finansiell,0.552,ekonomifla,0.552,miskt,0.61,sjöfartsnäring,0.579
13,harn,0.859,historik,0.596,statsborgerlig,0.551,statsrättslig,0.548,upphjälpande,0.61,ingrepe,0.578
14,utweckling,0.858,intellektuel,0.594,mångahanda,0.55,nationalekonomisk,0.543,finansiela,0.608,sparbanksväsende,0.575
15,entrée,0.858,synagoga,0.593,lolket,0.55,ekonomiflt,0.543,ckonomista,0.591,mejerinäring,0.575
16,olaga,0.858,lifskraft,0.592,samhällsform,0.55,ekonomistt,0.541,kommersielt,0.584,rättssäkerhet,0.574
17,tze,0.857,juridisk,0.591,moralitet,0.549,politisk,0.537,rättssäkerhet,0.583,kommersielt,0.572
18,förestrifne,0.856,konstverk,0.591,internationell,0.549,qvantitativ,0.535,ekonomistt,0.579,folkmängdstillväxt,0.571
19,ingifwen,0.856,näringsgren,0.59,angelågenheter,0.546,lagstiftningsväg,0.534,moralisk,0.578,statsfinanser,0.57
20,werks,0.855,näringsfrihet,0.589,viktig,0.544,kommersielt,0.532,facklig,0.576,facklig,0.57
21,hwitken,0.854,systematisk,0.587,bankväsen,0.544,penningeställning,0.53,statsfinanser,0.575,nomiska,0.569
22,ständspersoner,0.853,viktig,0.585,sjelfbestånd,0.544,kreditförhållande,0.528,kommerciel,0.575,betalningsförmåga,0.569
23,näringsgren,0.852,maktpåliggande,0.585,materielt,0.544,hygienisk,0.527,materielt,0.573,inträssen,0.568
24,kader,0.852,enskildte,0.585,omisskännlig,0.541,hånseende,0.526,financiella,0.571,förkofring,0.567
25,praktik,0.852,öfvertagande,0.585,undervisningssätt,0.541,koltillgång,0.523,näringslifvets,0.569,depression,0.566
26,förwarande,0.851,skuldsättning,0.585,förbättrande,0.54,sjelfbestånd,0.523,ekonomiflt,0.569,nykterhetsreform,0.566
27,cro,0.851,ekonomi,0.583,gemensamhet,0.539,intellektuel,0.522,humanitär,0.568,jordbruksidkande,0.565
28,intereste,0.851,vigliga,0.582,statsekonomi,0.538,statsinstitution,0.52,sjöfartsnäring,0.567,lifsvillkor,0.563
29,geographien,0.851,näringsflit,0.582,estetisk,0.537,fackkunskap,0.518,sanitär,0.563,sågverksindustri,0.563
30,waru,0.85,industriell,0.582,ekonomi,0.536,förhålland,0.517,materiell,0.562,lotsväsende,0.559
31,afse,0.85,utförlighet,0.582,industriell,0.536,samhällslif,0.517,privaträttslig,0.561,föreliggando,0.559
32,söremäl,0.85,ordnande,0.582,jernhandteringen,0.535,literärt,0.517,qvalitativ,0.56,tomtspekulation,0.558
33,förebygga,0.849,financiel,0.581,voie,0.533,kommersiell,0.516,pandet,0.559,minskande,0.558
34,nordista,0.849,sannskyldig,0.581,kommerciel,0.533,likaberättigande,0.515,kulturell,0.559,karteverk,0.558
35,fund,0.849,jemvigt,0.581,beskattningsrätt,0.531,språklig,0.513,ingrepe,0.557,financiel,0.557
36,dis,0.848,theoretiska,0.58,tadelvärd,0.531,klimatisk,0.511,karteverk,0.555,kulturintresse,0.557
37,länderi,0.848,association,0.58,lysgas,0.53,kommerciella,0.51,ekonomist,0.555,nationalbeväpningen,0.556
38,irara,0.848,tidehvarfvets,0.579,agronomisk,0.53,lagreform,0.51,rentabilitet,0.553,qvalitativ,0.556
39,dien,0.847,teknisk,0.579,hjelpmedel,0.529,jordbruksnäring,0.51,hånseende,0.552,motvärka,0.556
40,budget,0.847,idkande,0.579,intrasslad,0.528,kommerciel,0.51,betryck,0.551,ekonomiflt,0.555
41,liing,0.847,konunga,0.579,åtgårder,0.528,finansförvaltning,0.51,sjelfbestånd,0.55,situerad,0.555
42,onera,0.846,mathematik,0.578,materiell,0.528,öfvergångsperiod,0.509,sparbanksväsende,0.548,statslifvets,0.555
43,jc,0.845,talesätt,0.578,interesset,0.528,ekonomist,0.508,organisatorisk,0.548,klimatförhållande,0.555
44,författande,0.845,machiner,0.578,produktivitet,0.527,sanitär,0.508,nomiska,0.548,lifsintressen,0.554
45,penningelän,0.845,utsigterne,0.576,samhällslifvet,0.527,pedagogisk,0.508,statssamhälle,0.547,finansiel,0.554
46,bestämmande,0.845,kommerciel,0.575,moralisk,0.527,kommunikationsväsende,0.507,kommersiel,0.547,sädesproduktion,0.554
47,ckt,0.844,lagfarenhet,0.575,skogshushållning,0.527,nomiska,0.506,medvärkat,0.546,medvärkat,0.553
48,nordin,0.844,oväld,0.574,centralisation,0.527,förbättrande,0.505,samhällelig,0.544,kontinuitet,0.553
49,kcngl,0.844,industrigren,0.574,besutenhet,0.527,sörhållanden,0.504,nykterhetsreform,0.544,beväringsinrättning,0.552
50,fér,0.844,afse,0.574,vigligaste,0.526,skattefråga,0.503,näringslif,0.542,rentabilitet,0.552
51,waro,0.843,oförvillad,0.573,administrativ,0.526,penningrörelse,0.502,kreditväsen,0.542,finansiela,0.552
52,dst,0.843,financiella,0.572,kommunal,0.526,lärarebildning,0.502,skönhetssynpunkt,0.542,ckonomista,0.552
53,uppkomst,0.843,enskilte,0.572,samhällsinstitution,0.526,likformighet,0.501,kreditlagstiftning,0.54,kapitalfattig,0.552
54,ua,0.842,beskattning,0.572,toide,0.526,uppfattningssätt,0.501,nomisk,0.54,jernindustriens,0.551
