,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
83,frejdad,0.592,omklädnad,0.519,samhällslifvet,0.546,mineralogisk,0.556,tankeriktning,0.551
84,industrigren,0.592,physik,0.519,iifvet,0.546,literator,0.555,entomologi,0.55
85,genre,0.591,kultur,0.518,theologien,0.545,krigsvetenskap,0.554,symbolism,0.55
86,astronomi,0.591,slöjd,0.518,instituter,0.545,menniskoanden,0.554,menniskoanden,0.549
87,universum,0.591,teologisk,0.518,nationalbeväpningen,0.545,physiska,0.553,wetenstapen,0.549
88,landthushållare,0.59,åskådning,0.518,prak,0.545,spektralanalys,0.553,vidgande,0.548
89,industriell,0.59,matematik,0.518,medeltida,0.545,tonkonst,0.552,vetenskaplig,0.548
90,medicin,0.589,vetenskapsidkare,0.517,arkif,0.545,bibelforskning,0.552,verldskännedom,0.548
91,kraus,0.589,ritkonst,0.517,religionshistoria,0.545,närliga,0.552,numismatik,0.547
92,geografisk,0.589,filosofi,0.517,målarekonsten,0.545,vidgande,0.551,harnack,0.547
93,näringsflit,0.589,vexelverkan,0.517,terminologi,0.544,utvecklingsskede,0.551,margarinfabrikation,0.546
94,åskådande,0.589,medborgerlighet,0.517,skaldekonst,0.544,indoeuropeisk,0.551,sexuell,0.546
95,karakterisera,0.589,sällskaps,0.517,wetenstapens,0.544,enhetstanke,0.551,treenighetslära,0.546
96,skribent,0.588,grundlära,0.517,beläsenhet,0.544,utvecklingslära,0.55,oförenlighet,0.546
97,filosofisk,0.588,theorien,0.517,ingeniörvetenskap,0.544,heraldik,0.55,bibelforskning,0.545
98,uppbygglig,0.588,ägtenskap,0.516,utveck,0.543,theorier,0.55,behring,0.544
99,häribland,0.588,exekutör,0.516,fördomsfrihet,0.543,forskningsarbete,0.55,tankefrihet,0.544
