,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
61,innantill,0.679,innanläsning,0.678,klassik,0.6,religionshistoria,0.577,kulturhistoria,0.567
62,fryxell,0.677,schuck,0.677,stilöfning,0.598,exegetisk,0.576,physik,0.566
63,innanläsning,0.677,underwis,0.676,naturhistoria,0.597,husdjurslära,0.576,religionsfilosofi,0.565
64,ritkonst,0.676,talöfning,0.675,mineralogi,0.597,utgilven,0.575,skolverk,0.565
65,yska,0.675,flrifwa,0.675,geognosi,0.596,sagohäfder,0.575,ungdomsskrift,0.564
66,underivisning,0.675,klassik,0.675,rättskrifning,0.596,handlexikon,0.575,prosaiker,0.563
67,brukeliga,0.673,naturhistoria,0.674,småplock,0.596,symbolik,0.575,romanliteratur,0.563
68,grundelig,0.672,brukeliga,0.674,lektorsbefattningen,0.595,helsovårdslära,0.575,farrars,0.563
69,timwis,0.671,kyrkohistoria,0.673,bibelen,0.595,ortbeskrifning,0.574,ratur,0.563
70,witter,0.67,latinsk,0.673,lexicon,0.595,euklides,0.574,teologi,0.563
71,spräket,0.67,qvatuor,0.672,skrifprof,0.594,correct,0.574,marshäftet,0.563
72,brukelige,0.669,klassiker,0.671,arkeologi,0.594,skönlitteratur,0.573,warming,0.563
73,etui,0.669,språklära,0.67,geometri,0.594,eventyr,0.572,ortbeskrifning,0.563
74,underwis,0.667,bokhålleri,0.67,teoretifl,0.594,medeltidsroman,0.572,eventyr,0.561
75,naturvetenskap,0.667,gymnast,0.668,latinfla,0.593,lectorn,0.571,exegetisk,0.561
76,palmblad,0.666,ssriswa,0.667,geografi,0.593,skolverk,0.571,ästetik,0.56
77,guitarr,0.665,christendom,0.666,språkkunskap,0.593,resebeskrifning,0.571,medeltidsroman,0.56
78,tossa,0.665,flriswa,0.665,trigonometri,0.592,ungdomsskrift,0.571,kompl,0.56
79,lettra,0.665,sprik,0.664,religionslära,0.592,linguistik,0.57,bibelen,0.56
80,fransyska,0.663,kateches,0.664,lexica,0.592,bergsvetenskap,0.569,linguistik,0.559
81,lagfarenhet,0.663,rila,0.664,talöfning,0.591,marshäftet,0.569,starbäcks,0.558
82,swenjka,0.662,raina,0.663,semitisk,0.59,warming,0.568,utgilven,0.558
83,geo,0.66,lexica,0.663,jordbeskrifning,0.59,begynnare,0.568,chemi,0.557
84,tvska,0.66,astronomi,0.663,metodik,0.59,wägner,0.567,daudets,0.556
85,måleri,0.657,lettra,0.663,filologi,0.59,månadsblad,0.567,originalroman,0.556
86,veder,0.656,brukelige,0.662,lingvistik,0.589,romanliteratur,0.567,helsovårdslära,0.556
87,astronomi,0.655,theologien,0.661,hjeltesaga,0.589,volapuk,0.566,månadsblad,0.555
88,nnderwisning,0.655,läslig,0.661,chemi,0.589,fornforskning,0.565,horatius,0.555
89,skrifva,0.653,vitterhet,0.66,dogmatik,0.588,kompl,0.565,predikosamling,0.555
90,flrifwa,0.652,korrekt,0.659,linear,0.588,folkscholor,0.565,bergsvetenskap,0.554
91,grundligen,0.652,wetenstaper,0.658,svedboms,0.587,hexameter,0.565,ueber,0.553
92,tusta,0.651,underivisning,0.657,propedevtik,0.587,originalroman,0.565,lagkunskap,0.553
93,naturalhistoria,0.651,lithografi,0.656,philosophi,0.587,etymologi,0.564,philosophi,0.553
94,afflutande,0.651,linearritning,0.656,ritkonst,0.587,daudets,0.564,botanik,0.552
95,rila,0.65,ffrifwa,0.655,juridik,0.587,systematik,0.563,numismatisk,0.552
96,hwarjebanda,0.646,homonym,0.653,christendom,0.587,lemekes,0.563,stilöfning,0.551
97,löhr,0.645,harmonilära,0.653,kirurgi,0.586,teologi,0.563,boeck,0.551
98,timvis,0.644,chemie,0.653,undervi,0.586,stilöfning,0.562,linearteckning,0.551
99,violinspelning,0.644,språkkunskap,0.653,skönliteratur,0.586,prosaiker,0.562,ulgifna,0.551
