,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,välgörande,0.877,almänhet,0.769,grundsats,0.671,omstörtning,0.626,grundsats,0.724,grundsats,0.768,grundsats,0.727
1,maner,0.876,doch,0.763,organisk,0.643,maxim,0.624,lagtolkning,0.62,grundprincip,0.68,grundprincip,0.668
2,doch,0.862,moralitet,0.761,kränkning,0.633,representativ,0.612,folksuveränitet,0.615,doktrin,0.633,folksuveränitet,0.625
3,galenskap,0.861,philosophi,0.76,basis,0.63,monarkisk,0.609,grundprincip,0.613,personlighetsprincip,0.628,frihandelsprincip,0.623
4,uste,0.86,rättwist,0.758,monarkisk,0.625,styrelsesätt,0.605,maxim,0.612,valsystem,0.622,proviso,0.622
5,förunderlig,0.858,wälmening,0.753,demokratisk,0.616,allenastyrande,0.601,nationalitetsprincip,0.609,tvångsförsäkring,0.618,doktrin,0.618
6,recensent,0.857,grundlägga,0.747,representativ,0.616,axiom,0.601,rättsgrundsats,0.604,proviso,0.615,representationsform,0.613
7,agtning,0.857,wisserligen,0.746,lämplighet,0.614,ideerna,0.595,representationsform,0.604,rättsgrundsats,0.615,valsystem,0.613
8,sivärt,0.854,warelser,0.745,abstrakt,0.613,institution,0.594,värnpligten,0.601,fotadt,0.612,statsbildning,0.612
9,wärsta,0.853,klädnad,0.745,tryckfrihetslag,0.612,arfslag,0.593,personlighetsprincip,0.597,representationsform,0.612,beskattningssystem,0.611
10,röfware,0.852,onaturlig,0.744,mänsklig,0.611,tullsystem,0.591,frihandelsprincip,0.594,häfdandet,0.61,språkfråga,0.609
11,upmarksamhet,0.852,lagstiftning,0.743,klassifikation,0.611,rättstillstånd,0.591,krigsförfattning,0.592,frihandelsprincip,0.61,tvångsförsäkring,0.609
12,strifter,0.851,smäda,0.742,oföränderlig,0.61,rättsenlig,0.589,grundwal,0.592,rättsprincip,0.608,personlighetsprincip,0.604
13,politik,0.851,korthet,0.741,tidsanda,0.608,rättsgrund,0.589,doktrin,0.591,statsbildning,0.606,fotadt,0.602
14,bödel,0.851,landers,0.741,konungamakt,0.607,grundtanke,0.589,folkmakt,0.585,folksuveränitet,0.605,nppfattning,0.599
15,onaturlig,0.851,folkflag,0.739,skrifta,0.607,abstrakt,0.586,syndikat,0.583,beskattningssystem,0.602,valprincipen,0.597
16,läromästare,0.85,förunderlig,0.738,giltighet,0.606,intolerans,0.584,kyrkoförfattning,0.583,principielt,0.597,rättsprincip,0.597
17,wälmening,0.85,auctors,0.738,upphäfwas,0.605,statsform,0.584,tullsystem,0.579,förnuftsenlig,0.595,dualistisk,0.596
18,flör,0.849,upwäcka,0.738,kabinetter,0.603,samhällsskick,0.584,fattigvårdslag,0.572,nationalitetsprincip,0.595,arrondissementsval,0.596
19,wäcker,0.849,sedolära,0.738,asigter,0.6,folksuveränitet,0.584,philosophiska,0.572,dualistisk,0.589,kyrkoförfattning,0.595
20,obegriplig,0.849,enfald,0.737,hänvisning,0.6,valprincipen,0.583,dualism,0.571,styrelsesystem,0.589,principielt,0.594
21,förfwara,0.848,välgörande,0.737,tidehvarfvets,0.6,nationalrepresentation,0.583,statsbildning,0.57,vidhållande,0.588,aksakoff,0.593
22,arghet,0.848,olyckelige,0.736,teori,0.599,grundsats,0.581,samhällsmakt,0.57,valprincipen,0.587,skoltvång,0.592
23,philosophi,0.848,motsäga,0.736,uplyste,0.599,ärftlighet,0.581,constitutionella,0.57,kyrkoförfattning,0.586,hörnsten,0.592
24,liderlig,0.847,förstöring,0.734,regeringsform,0.597,tidsanda,0.58,grundtanke,0.568,positivism,0.584,maktfråga,0.592
25,werkön,0.847,kanka,0.734,tolkning,0.596,styrelsesystem,0.58,regeringsförslag,0.568,baseradt,0.584,regeringsprogram,0.59
26,orimlighet,0.846,framställning,0.734,formell,0.596,reformförslag,0.579,beskattningssystem,0.568,arrondissementsval,0.583,jordbruksskydd,0.59
27,lillg,0.846,lagom,0.734,folkrätt,0.595,regeringssystem,0.579,afvita,0.567,programpunkt,0.583,afskrifningsplan,0.589
