,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,wälmåga,0.923,bikupa,0.83,penningebristen,0.657,canonerne,0.619,statsrodret,0.64,roder,0.61,statsrodret,0.594
1,mina,0.919,qwadrat,0.829,falsterbo,0.655,statsrodret,0.613,roder,0.536,statsrodret,0.602,roder,0.592
2,loka,0.91,vagnshäst,0.828,någorstädes,0.653,fastgjord,0.608,valkamp,0.504,statsskepp,0.488,statsskepp,0.484
3,upföra,0.907,bestäendc,0.827,afstanna,0.653,handelsstepp,0.606,lonom,0.503,ministér,0.482,weyler,0.483
4,slafwar,0.905,roddsump,0.823,slutta,0.652,öfverbörd,0.605,återgående,0.502,weyler,0.482,signu,0.482
5,uträkna,0.905,kro,0.822,strömsättning,0.652,styrbordssida,0.6,mentana,0.501,bulgari,0.479,ministér,0.48
6,halshugga,0.903,orar,0.817,förtryta,0.651,äntra,0.596,lothard,0.501,sagasta,0.477,bulgari,0.479
7,biel,0.903,infattning,0.815,tviflade,0.651,jenikale,0.591,fördrifven,0.498,afrustning,0.473,stéren,0.472
8,flur,0.902,omgång,0.815,operationsplan,0.65,pampelona,0.589,lilbaka,0.497,signu,0.471,kolonialkrig,0.472
9,titelblad,0.901,lutt,0.813,che,0.65,storsegel,0.588,jemsides,0.496,regeringan,0.469,sagasta,0.47
10,handtag,0.9,rörkäpp,0.811,inbyggarne,0.649,förrån,0.588,båtkanten,0.494,kolonialkrig,0.469,afrustning,0.469
11,rungorelser,0.9,grönmälad,0.811,afkorta,0.647,veko,0.586,spåre,0.494,regeringsfiendtliga,0.465,regeringan,0.467
12,inbinda,0.899,harn,0.809,deck,0.647,medea,0.581,årt,0.493,regementsförändring,0.464,siffer,0.465
13,mänadcr,0.898,golfmatta,0.808,bordlägga,0.647,scio,0.58,fastgjordt,0.493,stéren,0.464,regeringsfiendtliga,0.464
14,ammunition,0.897,dussin,0.808,betänksam,0.646,gorde,0.579,kronoarbetskorpsen,0.493,inrikesportföljen,0.462,guzman,0.459
15,silf,0.897,bugning,0.805,vattenhjul,0.646,kuban,0.578,presidentval,0.493,moderados,0.461,gammalliberal,0.459
16,gorde,0.897,biörn,0.804,krisi,0.646,schelden,0.573,fastlåst,0.492,regeringstömmarne,0.457,hofsamme,0.458
17,wes,0.897,granit,0.803,jas,0.644,batterierne,0.573,statsskepp,0.492,siffer,0.456,regementsförändring,0.458
18,föranlåta,0.896,ungersk,0.803,tillhands,0.644,hesvara,0.573,villeneuve,0.491,gladstoneska,0.455,regeringstömmarne,0.458
19,ätankan,0.896,elsborg,0.801,ostädad,0.644,refva,0.571,qvarblifver,0.49,operationslinie,0.454,utrikesministerpost,0.457
20,sommarnöje,0.896,bredschäs,0.8,ungherre,0.644,roddare,0.571,fastsurra,0.49,gambettisterna,0.454,moderados,0.456
21,långs,0.895,spika,0.799,aldiig,0.643,fegel,0.571,observationskår,0.489,blikens,0.453,fredsparti,0.456
