,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
51,famillen,0.834,innchäller,0.699,saragossa,0.593,telegramm,0.529,imparcial,0.497,hoftidning,0.527,zeitungs,0.508
52,rörd,0.834,fransoftrne,0.698,korfu,0.593,morgonblad,0.529,posttidn,0.497,berlintidning,0.527,cobdenklubbens,0.508
53,blockera,0.833,note,0.698,francuis,0.592,chronicle,0.529,regeringsbeslut,0.497,moskovskija,0.526,estafette,0.508
54,defensiv,0.833,domingo,0.698,wiktiga,0.592,tidende,0.528,statistista,0.496,schlesische,0.526,lottinnehafvare,0.507
55,brudgum,0.833,ffrifwelse,0.697,ärhällit,0.592,tidnin,0.528,ztg,0.496,wientidningar,0.526,ruski,0.507
56,lagstiftning,0.833,mustapha,0.696,moniteur,0.592,öresundsposten,0.527,moniteur,0.495,montagsrevue,0.525,offioielt,0.506
57,besagd,0.833,rodney,0.695,cadiz,0.592,winterbladet,0.526,czas,0.493,osservatore,0.524,kreuzzeitungs,0.506
58,huruledes,0.832,moniteuren,0.695,fredsfördrag,0.591,pays,0.526,diskret,0.492,tidningsmeddelande,0.524,berlinertidningen,0.506
59,förtälja,0.831,mära,0.695,underrättelserne,0.591,inrikestidningen,0.525,nppgifter,0.491,ofticielt,0.523,lierskar,0.506
60,rubbning,0.831,stafett,0.694,wapenhwila,0.588,daily,0.525,offi,0.491,cirkulärnot,0.523,schanghai,0.506
61,ripa,0.831,weimar,0.694,stafett,0.588,ottomanisk,0.524,prcsse,0.491,fremdenblatt,0.523,ofsiciela,0.505
62,swala,0.831,spanste,0.692,omständlig,0.588,ungerska,0.524,lamoriciéres,0.49,kongres,0.522,måndagsbladet,0.505
63,flasta,0.831,dublin,0.69,schah,0.588,piemontesiska,0.523,russe,0.49,förbundstraktat,0.522,bohemia,0.504
64,hofwct,0.83,whitworth,0.689,telegrafdepesch,0.588,algeri,0.523,gens,0.489,utlottningsplanen,0.522,fremdenblatt,0.504
65,dcste,0.83,nungen,0.687,hawkesbury,0.587,påfliga,0.523,tystlätet,0.489,officiös,0.521,bebels,0.503
66,träde,0.829,engclste,0.687,förbjuden,0.587,fientlighet,0.523,debatte,0.489,vjedomosti,0.521,dementi,0.503
67,förgår,0.829,omförmäla,0.687,ffrifwit,0.587,otillförlitlig,0.522,tillställande,0.488,news11,0.521,oificielt,0.503
68,ljung,0.829,utförlig,0.686,ratifikation,0.587,uppgifterne,0.522,kreuzzeitung,0.487,embetswerks,0.521,ritzaus,0.503
69,wårt,0.829,nyhet,0.686,grenville,0.587,beige,0.522,konstanlinopel,0.487,times11,0.52,meteorfall,0.502
70,note,0.829,uttrycklig,0.686,herdabref,0.587,gårdagsposten,0.522,originallotterna,0.487,cobdenklubbens,0.52,alliansfördrag,0.502
71,krossa,0.829,fräsan,0.686,angäcnde,0.585,fåljande,0.521,ruski,0.487,tagblatt,0.519,halfofficiela,0.502
72,warf,0.828,strifwelse,0.686,buonapartes,0.585,westmakterne,0.521,bållen,0.486,liforgan,0.519,garantimakt,0.502
73,natura,0.828,publicera,0.685,gazette,0.584,monilören,0.521,berlingske,0.486,neueste,0.519,londontidningen,0.501
74,foi,0.827,kapitulation,0.685,cabinettet,0.584,declaration,0.521,lotteriplanen,0.486,astrabad,0.518,handelsministerium,0.5
75,afgäng,0.827,zfrän,0.685,publicera,0.584,telegram,0.521,correspondenz,0.485,zeitungs,0.518,lamarmoras,0.5
76,innehafwa,0.826,utte,0.685,aftrycka,0.584,constitutionnel,0.521,outgifna,0.485,cirkulärnote,0.517,handelsberättelse,0.5
77,sistlcdne,0.826,tilsit,0.684,teheran,0.584,pressburg,0.52,kabeltelegram,0.485,moskowskija,0.517,kalnokys,0.5
78,torna,0.825,förbundsdag,0.684,hyska,0.583,nordamerikansta,0.52,warsehau,0.485,standards,0.516,constantinople,0.5
79,vilkor,0.825,munchen,0.684,temp,0.583,beriktigande,0.52,pedieras,0.484,obekräftadt,0.516,tyskfiendtliga,0.5
80,ammiral,0.825,strödd,0.683,zfrän,0.582,allerhögsta,0.52,valresultat,0.484,bresse,0.516,kultusministerns,0.499
81,sluteligen,0.825,palermo,0.683,boliva,0.582,wexiöbladet,0.52,dresdener,0.484,halfofficiel,0.515,autentisk,0.499
82,förhand,0.825,medina,0.683,sammanställa,0.581,kölnische,0.519,moniteuren,0.483,ossiciela,0.515,miinchener,0.499
83,gall,0.825,beskickning,0.682,jämwal,0.58,verldsexpositionen,0.519,nehåller,0.483,vossische,0.515,officiös,0.498
84,återställande,0.825,brefwen,0.682,sektion,0.58,news,0.518,plalien,0.481,officicla,0.515,post11,0.498
85,campagne,0.825,miranda,0.681,mahmud,0.58,tillskrifver,0.518,privattelegram,0.481,estafette,0.515,pesther,0.498
86,ständerne,0.824,högqwarter,0.681,fiåga,0.579,statstidning,0.518,opinione,0.481,observer,0.514,svarsnot,0.498
87,förord,0.824,lånsta,0.681,kuriös,0.579,bekräftadt,0.518,krigsmanifest,0.481,dementi,0.514,tillskrifna,0.497
88,medge,0.823,anekdot,0.681,beriktigande,0.577,madridska,0.518,konfidentiell,0.48,aflåtit,0.514,miuistrarne,0.497
89,medelhafwet,0.823,warschau,0.681,tullstyrelse,0.577,courierer,0.517,handelsministerium,0.479,constantinople,0.513,otficielt,0.497
90,dikta,0.823,declaration,0.681,monitor,0.577,föreligga,0.516,uppgitter,0.479,ritzaus,0.511,stadschef,0.497
91,majestet,0.823,may,0.68,spärrning,0.577,corsaren,0.516,tillkännagifvaude,0.478,telegrafdepesch,0.511,provinsguvernör,0.496
92,lofwat,0.823,hawkesbury,0.68,hufwndstaden,0.576,göthen,0.516,revolutionsparti,0.478,tyskfiendtliga,0.511,hamburgischer,0.496
93,bleswe,0.823,kongress,0.68,frappant,0.575,evakuera,0.515,observer,0.477,tribuna,0.511,penningmän,0.496
94,schultz,0.823,förgår,0.679,erfå,0.575,kremsier,0.515,ministeriel,0.477,post11,0.511,obekräftadt,0.496
95,tilbak,0.823,intagande,0.679,brigadieren,0.575,bådskap,0.515,cirkulärnot,0.477,feking,0.511,thouvenels,0.496
96,florera,0.822,franffe,0.679,öfverbefälhafvare,0.575,zeitung,0.515,ofticielt,0.476,vorwärts,0.511,blilvil,0.496
97,schwaben,0.822,canada,0.679,courier,0.575,updrag,0.515,presfe,0.476,centralbyräns,0.51,tillkännagifvaude,0.495
98,tillägg,0.822,depecher,0.679,förljudas,0.574,herdabref,0.514,chambords,0.476,grashdanin,0.509,välunderrättad,0.495
99,nch,0.822,wellingtons,0.678,perpignan,0.574,jämwal,0.514,nachrichten,0.476,garantimakt,0.509,kongokonferensen,0.495
