,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
66,bewista,0.748,tingsrätt,0.54,rädstugu,0.442,anktionskammare,0.424,exekutif,0.474,mosslunda,0.489,frimillig,0.455
67,noggrann,0.747,uppteckning,0.539,herrestads,0.441,säfva,0.423,förrättaö,0.473,förrättaö,0.487,gciiom,0.455
68,preusten,0.747,bolagsstämma,0.539,tingsrätt,0.441,landgrenska,0.423,geaom,0.472,förrättab,0.487,lommarp,0.452
69,högwälborne,0.747,kopparberg,0.538,undergående,0.441,genorn,0.422,ank,0.465,auction,0.487,wanås,0.452
70,votera,0.746,högstbjudande,0.538,transsumt,0.44,femmer,0.422,e3,0.465,hidingsta,0.486,auttion,0.451
71,jnwänarne,0.746,afkunna,0.536,tunge,0.44,geaom,0.422,upphandlingsauktion,0.463,sörrätta,0.486,anction,0.451
72,offenteliga,0.746,inell,0.536,djurgård,0.437,aenom,0.421,auk,0.463,förrätlas,0.483,lekhyttan,0.451
73,utslag,0.745,bewillning,0.536,upplätas,0.436,rädhufet,0.42,auklionskammare,0.462,ingels,0.483,anltion,0.45
74,bours,0.745,ulflag,0.535,förelägga,0.436,ärsstämning,0.419,entreprenadanktion,0.462,olofsborg,0.483,munkahus,0.449
75,1778,0.745,lagsaga,0.535,afvikne,0.435,kläckeberga,0.419,rystedt,0.461,allmiinna,0.482,auklio,0.449
76,aud,0.744,gencm,0.535,wäse,0.435,rädhus,0.418,enora,0.461,ktion,0.482,hvarjom,0.447
77,tinder,0.744,löre,0.535,bälles,0.435,jerstorps,0.417,anltion,0.46,forrattas,0.479,alsnäs,0.447
78,samtclige,0.744,fattadt,0.535,häfwar,0.435,hälles,0.416,exekutiv,0.46,begåran,0.479,ättas,0.447
79,wederbörlig,0.744,förstkommande,0.534,bräkne,0.434,oppe,0.416,entreprenadauktion,0.459,arrendeauktion,0.478,cnom,0.446
