,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
84,innehall,0.785,skaldekonst,0.657,ärstid,0.516,elektricitet,0.396,bondstuga,0.442,sirat,0.445,npphöjdt,0.451,spiralfjäder,0.46
85,ästundade,0.785,variation,0.657,förgyld,0.516,skifta,0.396,idealisk,0.441,heterogen,0.445,nitrat,0.451,förflyktigas,0.459
86,pch,0.785,klädnad,0.657,violett,0.516,öppenhet,0.396,frambragta,0.441,föråldradt,0.444,sedelag,0.45,tänjbar,0.459
87,andre,0.784,dräll,0.657,kontrollera,0.516,blekaktig,0.396,homogen,0.441,kornig,0.444,bjertare,0.45,kretsindelning,0.459
88,metall,0.784,ordinair,0.656,sarg,0.516,sammanblanda,0.396,handelsbalans,0.441,grundämne,0.444,sötaktig,0.45,sväfvaude,0.458
89,mennista,0.784,erkänd,0.656,tillväxt,0.516,skiljaktighet,0.396,inventiös,0.441,anfallsvapen,0.444,spindelnät,0.45,tidsförhållande,0.458
90,utöfning,0.784,fabrik,0.655,wigten,0.516,fjederring,0.395,fullhet,0.441,storblommig,0.443,uppbördssätt,0.45,textur,0.458
91,reparation,0.784,lit,0.655,smita,0.515,yta,0.395,bjertare,0.44,elliptisk,0.443,nyårsönskan,0.45,rcglor,0.458
92,sdr,0.784,dunst,0.655,bwit,0.515,dagbladets,0.395,wärkan,0.44,klipsk,0.443,munkstil,0.449,formfulländning,0.458
93,äfiven,0.783,sammet,0.655,salle,0.515,ingifwer,0.395,såsem,0.44,idealist,0.443,formfulländning,0.449,individualistisk,0.458
94,stridig,0.783,mångfaldig,0.655,garnering,0.515,nyans,0.394,maktegande,0.44,afrundning,0.443,rätvinklig,0.449,röfvarlif,0.458
95,ss,0.783,upsatt,0.655,nacke,0.514,perspektiv,0.394,outvecklad,0.44,maxim,0.443,koncis,0.449,österländingarne,0.458
96,strö,0.782,söndra,0.654,bokstäfwer,0.514,kakel,0.394,konstrik,0.44,jordskorpa,0.442,bindemedel,0.449,slinga,0.457
97,eftertanka,0.782,grätt,0.654,mde,0.513,inkomstkälla,0.394,samvetsfrihet,0.44,dobbla,0.442,antiqverad,0.449,stämföring,0.457
98,medfödd,0.782,smeka,0.654,sammansätta,0.513,berlock,0.394,parlamentarisk,0.44,konstitutiv,0.442,förfinadt,0.449,gradation,0.457
99,ärkänna,0.782,framföre,0.654,piano,0.513,filosofisk,0.394,naturenlig,0.44,maskinarbete,0.442,fångarbete,0.449,felén,0.457
