,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,silence,0.868,entomolog,0.75,litteraturhistoriker,0.714,litteraturhistoriker,0.698
1,aklning,0.868,veuillot,0.745,historieforskare,0.703,historieforskare,0.685
2,momenterna,0.867,michelet,0.732,dramaturg,0.693,dramaturg,0.677
3,jaubert,0.864,souvestre,0.73,fräjdad,0.681,språkforskare,0.672
4,berömwärd,0.863,historieskrifvare,0.726,novellförfattare,0.677,tänkare,0.67
5,biskoplig,0.862,legouvé,0.717,historieskrifvare,0.671,huxley,0.66
6,ägga,0.861,akademiker,0.715,språkforskare,0.669,historieskrifvare,0.657
7,itet,0.86,stieglitz,0.714,estetiker,0.667,novellförfattare,0.652
8,oratorisk,0.86,matematiker,0.713,tänkare,0.667,fräjdad,0.651
9,målningsgalleri,0.858,estetiker,0.712,häfdatecknare,0.662,estetiker,0.649
10,bizarra,0.857,ladislas,0.712,ingemann,0.661,naturvetenskapsman,0.649
11,umgängeskrets,0.856,politiker,0.712,skriftställare,0.66,mommsen,0.648
12,kyrkoväsende,0.856,munch,0.71,folkskald,0.66,häfdatecknare,0.646
13,eqvilibristiska,0.856,welhaven,0.709,konsthistoriker,0.66,matematiker,0.645
14,skapadt,0.856,litteraturhistoriker,0.709,wältalare,0.659,ingemann,0.644
15,utanlexa,0.856,wergeland,0.707,naturvetenskapsman,0.658,förfaltare,0.643
16,sivarar,0.855,romanförfattare,0.705,spielhagen,0.657,konsthistoriker,0.642
17,räddsla,0.855,bulwer,0.703,huxley,0.655,akademiker,0.641
18,newton,0.854,filolog,0.703,dramatiker,0.654,vältalare,0.64
19,sällskaperna,0.854,teaterförfattare,0.7,förfaltare,0.654,quatrefages,0.639
20,terminologi,0.854,pelletan,0.699,souvestre,0.653,curtius,0.638
21,dagdrifvare,0.854,laboulaye,0.697,mommsen,0.652,folktribun,0.635
22,snusförnuftig,0.854,dramatiker,0.697,curtius,0.652,souvestre,0.634
23,warumarknaden,0.854,emerson,0.694,folktribun,0.651,spielhagen,0.634
24,habil,0.853,quatrefages,0.692,lessing,0.65,lessing,0.634
25,tidepunkt,0.853,novellförfattare,0.692,egyptolog,0.648,wältalare,0.634
26,svårmodig,0.853,theologen,0.692,vältalare,0.647,swinburne,0.633
27,snillefoster,0.852,tocqueville,0.691,levertins,0.646,seneca,0.632
28,småaktighet,0.852,dramaturg,0.69,akademiker,0.644,dramatiker,0.632
29,tidningsföretag,0.852,häfdatecknare,0.688,fornforskare,0.644,filolog,0.631
30,förvildad,0.852,förster,0.688,konstkritiker,0.643,skriftställare,0.629
31,maktlystnad,0.851,edouard,0.686,matematiker,0.642,humorist,0.629
32,illfundig,0.851,sagoberättare,0.685,caspari,0.642,egyptolog,0.629
33,kaställe,0.851,novellist,0.683,quatrefages,0.642,madvig,0.628
34,niéce,0.851,wieniawski,0.683,madvig,0.64,drachmann,0.628
35,ingeri,0.851,aristoteles,0.683,seneca,0.64,djuptänkt,0.628
36,linus,0.851,estlander,0.683,häfdatecknaren,0.639,folkskald,0.628
37,frändskap,0.851,figuier,0.682,djuptänkt,0.639,häfdatecknaren,0.627
38,personor,0.85,daudet,0.682,skald,0.639,diktare,0.626
39,inkarnera,0.85,martensen,0.682,humorist,0.638,satiriker,0.625
40,theologer,0.85,terrail,0.682,theologen,0.637,polarforskare,0.625
41,flägtar,0.85,diktare,0.681,boeck,0.637,mystiker,0.624
42,uppskakande,0.849,nestor,0.681,taine,0.637,taine,0.623
43,chopin,0.849,mineralog,0.681,polarforskare,0.637,konstkritiker,0.621
44,sjelfsvåldig,0.849,språkforskare,0.681,drachmann,0.636,teolog,0.62
45,delbar,0.849,ambroise,0.681,diktare,0.633,hanslick,0.62
46,swärma,0.849,organisatör,0.68,skildrare,0.633,theologen,0.619
47,vextlighet,0.847,bearbetare,0.68,nykterhetskämpe,0.633,stjernhjelm,0.619
48,ninne,0.847,fransois,0.68,petöfi,0.633,petöfi,0.619
49,menniskokännedom,0.847,maxime,0.68,filolog,0.632,repetitorium,0.619
50,motsvarig,0.847,lamartines,0.679,prosaist,0.632,skildrare,0.618
51,afsvärja,0.847,frihetskämpe,0.679,mystiker,0.632,renans,0.618
52,ändamälslöst,0.847,fornforskare,0.679,figurmålare,0.631,fornforskare,0.618
53,namneligen,0.846,porträttmålare,0.677,odalbonde,0.631,arkeolog,0.617
54,såger,0.846,laing,0.676,thorild,0.63,prosaist,0.617
55,skriftspråk,0.846,lyckönstade,0.675,stjernhjelm,0.63,statsrättslärare,0.616
56,carlsunds,0.846,janin,0.674,språkman,0.629,teaterförfattare,0.616
57,ättehög,0.846,aschehoug,0.674,hanslick,0.629,demosthenes,0.615
58,ojemnheter,0.845,hjeltekonungen,0.674,farrars,0.629,farrars,0.615
59,påkommer,0.845,öfverpresident,0.674,teaterförfattare,0.629,caspari,0.614
60,imus,0.845,demosthenes,0.674,statsrättslärare,0.628,levertins,0.614
61,ifwen,0.845,berthold,0.672,kolbe,0.626,grundtvig,0.613
62,gnabb,0.845,spetsbergsexpeditionen,0.672,schackspelare,0.626,schackspelare,0.611
63,iakttagare,0.845,spirituell,0.671,arkeolog,0.626,thackeray,0.611
64,adeline,0.845,bibliografisk,0.671,renans,0.626,lyriker,0.61
65,straffrätt,0.845,bancroft,0.671,satiriker,0.625,människovän,0.61
66,förhindradt,0.844,vidtberömd,0.671,samarow,0.625,buckle,0.61
67,skyddsvärn,0.844,goldschmidts,0.67,defoe,0.624,nationalekonom,0.61
68,gifv,0.844,philosoph,0.67,chevreul,0.624,figurmålare,0.609
69,preludium,0.844,frangois,0.67,thackeray,0.623,anakreon,0.607
70,visconti,0.844,lenz,0.669,repetitorium,0.623,romanförfattare,0.607
71,mästarehand,0.844,tennyson,0.669,anakreon,0.623,qualis,0.607
72,lifvadt,0.844,oppenheim,0.669,lyriker,0.622,thorild,0.607
73,besty,0.844,gramer,0.668,welhaven,0.622,skald,0.606
74,germaniska,0.844,stålben,0.668,författare,0.622,chevreul,0.606
75,omhölje,0.844,alphonse,0.668,adlerbeth,0.621,helmholtz,0.606
76,ynnestbevis,0.844,stålbrand,0.667,lustspelsförfattare,0.62,språkman,0.605
77,fuskare,0.844,beecher,0.667,filantrop,0.62,granfelt,0.605
78,afart,0.844,pseudonym,0.667,swinburne,0.62,nykterhetskämpe,0.604
79,glasskåp,0.843,mond,0.667,grundtvig,0.619,bulwer,0.604
80,kadaver,0.843,aristides,0.667,afrikaforskare,0.618,statsekonom,0.603
81,okränkbar,0.843,statsekonom,0.666,qualis,0.618,welhaven,0.603
82,återuppväcka,0.843,rättslärd,0.666,demosthenes,0.618,lifsuppfattning,0.603
