,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
88,seraf,0.735,kunni,0.657,lästermin,0.571,åtskiljande,0.574,berlintraktatens,0.538,kampministär,0.539
89,fund,0.735,annotera,0.657,uppasserskan,0.571,förvissadt,0.574,paristraktaten,0.538,edsförbundsdagen,0.538
90,llngkarl,0.735,gsd,0.657,öfverenskommes,0.571,statsinrättning,0.574,promulgerande,0.538,utrikesangelägenheterna,0.538
91,kunsta,0.735,stälig,0.657,hanan,0.571,klerikalism,0.573,afträdelse,0.538,berlintraktatens,0.538
92,promt,0.735,asiäta,0.656,jandet,0.57,lyckönskningsadress,0.573,osörtöswadt,0.538,paristraktaten,0.538
93,adrcst,0.734,hiis,0.655,äktenskapsskilnad,0.57,invänningar,0.573,utverkande,0.538,promulgerande,0.538
94,kcngl,0.734,dusör,0.655,ladugårdslandstorget,0.57,statsministerium,0.573,berlinkonferens,0.537,afträdelse,0.538
95,tandwärk,0.734,rilkänna,0.655,pantlåneinrättning,0.57,skoltvång,0.573,augustenborgaren,0.537,osörtöswadt,0.538
96,nägoc,0.734,astämne,0.655,tord,0.569,mötesbeslut,0.573,träarbetarne,0.537,utverkande,0.538
97,nigot,0.734,bosten,0.655,lenmar,0.569,eröfringsplaner,0.572,wienerfördragen,0.537,berlinkonferens,0.537
98,utloswas,0.733,täktes,0.654,anhild,0.569,fiåga,0.572,kallax,0.537,augustenborgaren,0.537
99,billek,0.732,ssdant,0.654,boställsinnehafvare,0.569,förhållanderne,0.572,prinsregent,0.537,träarbetarne,0.537
