,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,trupparne,0.844,polack,0.739,christinos,0.674,turk,0.641,turk,0.791,fransman,0.648,turkmen,0.616
1,drogo,0.842,flottilj,0.733,jnsurgenterne,0.638,kalafat,0.634,serberne,0.699,turk,0.631,magyarerne,0.612
2,rastadt,0.815,cadiz,0.732,warschau,0.636,österrikarne,0.623,montenegrin,0.685,turkmen,0.619,singh,0.603
3,ombord,0.81,korvett,0.724,slagtning,0.635,silistria,0.623,serb,0.684,italienarne,0.596,turk,0.6
4,flagit,0.809,estader,0.717,återkallande,0.631,sardinarne,0.615,insurgent,0.672,japanerne,0.595,serbernes,0.596
5,landstiga,0.806,estadern,0.716,allierad,0.629,sanz,0.611,erzerum,0.672,serberne,0.593,turkarno,0.595
6,annalkande,0.804,landsätta,0.716,flyktingarne,0.629,alliera,0.61,montenegrinerne,0.669,spanjorerne,0.584,bulgarerne,0.593
7,trupp,0.801,krigsstepp,0.716,carlist,0.629,eupatoria,0.61,plevna,0.663,österrikarne,0.58,japanerne,0.592
8,polack,0.801,kanonad,0.715,alaix,0.625,rebell,0.609,österrikarne,0.662,afghan,0.579,spanjorerne,0.59
9,beordra,0.799,eskader,0.713,antågande,0.625,lucknow,0.609,schumla,0.659,tyskarne,0.578,hannoveranarne,0.59
10,sicilien,0.799,fränsi,0.712,vittoria,0.624,sebastopol,0.608,deligrad,0.658,arnauter,0.575,fransman,0.589
11,besatt,0.798,afseglat,0.709,armse,0.623,jnsurgenterne,0.608,afghan,0.652,serbernes,0.575,abyssinierna,0.588
12,wanda,0.798,bosnien,0.709,cabrera,0.622,redutt,0.607,podgoritza,0.65,prenssarne,0.575,garibaldinerna,0.587
13,fientlig,0.797,fientlig,0.709,paskewitsch,0.622,widdin,0.607,plewna,0.646,engelsman,0.575,abessinier,0.587
14,armeer,0.795,bemägtigat,0.708,guerilla,0.621,fransman,0.602,carlist,0.645,singh,0.574,härmassorna,0.586
15,alexandria,0.792,montevideo,0.708,podolien,0.621,cabrera,0.602,silistria,0.644,bulgar,0.573,tzaren,0.584
16,retirera,0.792,royal,0.708,pålska,0.62,ungrarne,0.6,viddin,0.644,serb,0.573,debeb,0.583
17,framtränga,0.788,förolyckas,0.708,kairo,0.615,österrikare,0.599,alexinatz,0.643,kines,0.572,österrikarne,0.582
18,armeerne,0.788,haubitz,0.708,cosacker,0.615,fiende,0.597,suleiman,0.641,zulfikarpasset,0.571,moskovit,0.582
19,utrustning,0.787,bucharest,0.707,wapenhwila,0.614,offensiv,0.595,preussarne,0.64,magyarerne,0.569,turkomanerne,0.581
