,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,länderi,0.78,gebiet,0.606,gebit,0.622,omräde,0.653,omiåde,0.608,näringslifvets,0.566
1,kryssare,0.778,gebit,0.595,omräde,0.606,gebit,0.615,gebit,0.586,verksamhetsområde,0.556
2,furstendöme,0.778,integritet,0.572,gebiet,0.525,omrädet,0.527,omräde,0.574,omiåde,0.545
3,hafwct,0.777,territorium,0.567,territorium,0.512,montenegrinsk,0.521,rayon,0.563,rayon,0.531
4,kades,0.776,intelligens,0.56,uruguay,0.496,konstslöjd,0.519,näringslifvets,0.561,mejerihandteringens,0.518
5,kyrkostat,0.774,union,0.549,skranka,0.493,naturkunskap,0.514,gränsområde,0.559,hvarinom,0.517
6,beskydda,0.767,absolutistisk,0.548,statsförbund,0.486,specialstudium,0.514,margarinfabrikation,0.555,inspektionsområde,0.516
7,palen,0.764,samhällsskick,0.547,spher,0.482,odlingshistoria,0.513,enklav,0.543,vattenområde,0.51
8,misslyckas,0.762,asiatisk,0.546,laglighet,0.48,inhägnadt,0.513,vetenska,0.54,omräde,0.51
9,afmäta,0.759,insurgera,0.546,tyrol,0.476,samhällslifvet,0.512,vattenområde,0.538,enklav,0.506
10,plata,0.757,protestantism,0.543,vidtomfattande,0.467,kolindustri,0.509,bergslagsort,0.537,margarinfabrikation,0.506
11,götting,0.757,baskisk,0.542,gränsorna,0.464,bergslagsort,0.508,kulturell,0.537,vetenska,0.504
12,dona,0.757,schweitziska,0.542,gebietet,0.462,oinräde,0.503,mejerihandteringens,0.535,damtoilettens,0.498
13,ferne,0.756,kryssare,0.542,suveränitet,0.459,läkarevetenskap,0.503,handelsgren,0.535,gränsområde,0.497
14,fördrifwer,0.756,ideell,0.541,stiftning,0.457,samhällslära,0.502,kolindustri,0.533,gebit,0.496
15,batterierne,0.756,nissa,0.54,militärväsende,0.457,handelsområde,0.501,oinräde,0.532,uppvisningsplats,0.492
16,afrätta,0.755,dogm,0.54,occupation,0.456,grufdrift,0.501,romandiktning,0.527,bergslagsort,0.492
17,territorium,0.755,schelden,0.539,gräns,0.454,fortbestånd,0.499,stapelort,0.527,kolindustri,0.49
18,omgifwa,0.755,distrikter,0.539,theorier,0.452,omrädc,0.492,själslifvets,0.526,mejeridrift,0.49
19,werkstäder,0.755,ockupera,0.539,inkräktning,0.45,handelsgren,0.491,fabriksgren,0.526,själslifvets,0.488
20,landsträcka,0.753,milieu,0.538,ockupera,0.45,råmärke,0.489,handelsområde,0.525,orgelbyggeri,0.488
21,bygde,0.753,begränsning,0.537,kyrkostat,0.45,gebiet,0.488,damtoilettens,0.522,befästningsväsende,0.484
22,loff,0.753,mascara,0.536,sjöstyrka,0.449,kulturutveckling,0.487,fåtalsvälde,0.519,stadshagen,0.483
23,komplott,0.752,underkufva,0.535,tvedrägt,0.448,epokgörande,0.486,verksamhetsområde,0.519,jakträtt,0.481
24,brudgum,0.752,handelsplats,0.534,bergshöjd,0.448,handelsväg,0.485,samhällslifvets,0.518,gluppen,0.48
25,farlighet,0.752,jemnvigt,0.533,föreflaget,0.448,naturalhistorisk,0.484,vänskapskrets,0.518,undervisningssystem,0.48
26,krigsgärd,0.752,byssland,0.532,fridlysa,0.448,inkräktning,0.482,omrädet,0.517,sfer,0.479
27,staten,0.752,schacka,0.531,armenien,0.446,spekulationsandan,0.482,stadsområde,0.517,hufvuddelen,0.478
28,defilera,0.751,vendee,0.531,interesset,0.444,spektralanalys,0.481,målningskonst,0.515,gatumark,0.478
29,magafiner,0.751,förmanskap,0.531,libanon,0.443,patagonien,0.478,vapenteknik,0.514,handelsgren,0.476
30,fängsla,0.75,gränsor,0.529,gränsor,0.443,gebietet,0.478,qvarnindustriens,0.514,handelsområde,0.474
31,rat,0.75,indus,0.529,närgränsande,0.443,journalistisk,0.478,uppvisningsplats,0.513,afstycka,0.474
32,hannoversta,0.749,föredöme,0.529,vendee,0.441,bränvinsutskänkningen,0.478,orgelbyggeri,0.513,intressesfer,0.473
33,utrecht,0.749,rättstillstånd,0.529,ideernas,0.441,lärosystem,0.477,områdo,0.513,stapelort,0.472
34,klagomal,0.748,undantränga,0.529,universell,0.441,fenicisk,0.477,statslifvets,0.511,vapenteknik,0.472
35,znnewänare,0.747,afväpna,0.529,spekulationsandan,0.441,kolförande,0.477,outforskad,0.511,kolförande,0.472
36,jördens,0.747,söndring,0.528,skotthåll,0.439,fabriksgren,0.476,gränsorna,0.51,organisativa,0.471
37,begrafwa,0.747,befästande,0.528,trajani,0.439,omräden,0.476,befästningsväsende,0.51,stadsområde,0.471
38,upgifwit,0.746,grushög,0.527,uprätta,0.439,enklav,0.475,konstgren,0.509,fåtalsvälde,0.471
39,enge,0.745,skiljda,0.527,affärs,0.438,ethnografisk,0.474,järnvägsdrift,0.508,oinräde,0.469
40,medelpunkt,0.745,representationsrätt,0.527,fabriksindustri,0.438,furstedömet,0.474,konstart,0.508,idkarne,0.469
41,medwerka,0.745,lustläger,0.526,adana,0.438,territoriel,0.473,utställningsområde,0.506,bankverksamhet,0.469
42,gebiet,0.745,intervenera,0.525,katolicism,0.438,partiställning,0.473,inspektionsområde,0.506,elektroteknik,0.468
43,innewanare,0.744,flandern,0.525,uplysa,0.438,hufvudskälet,0.472,befolkningsförhållande,0.506,romandiktning,0.468
44,ögonsigte,0.744,enväldig,0.525,isolera,0.437,theorier,0.472,stenkolsindustri,0.504,statslifvets,0.468
45,afstära,0.744,förhållanderne,0.525,wadliga,0.437,provin,0.471,organisativa,0.502,fabriksgren,0.467
46,arliga,0.743,föreningspunkt,0.525,industriel,0.437,vidgjordt,0.471,upphjälpande,0.502,färjplats,0.467
47,rangera,0.743,inkräktning,0.525,tvisteämne,0.437,rörelsegren,0.471,handelsväg,0.5,rörelsegren,0.467
48,servi,0.743,krigstillstånd,0.523,plantskola,0.436,planlägga,0.47,monopolisering,0.5,stadstomt,0.466
49,tyrol,0.743,utgrening,0.523,vigtigasle,0.436,revolutionsparti,0.47,elektroteknik,0.499,experimentell,0.465
50,körsla,0.743,gränsorne,0.523,pavia,0.436,spräkens,0.469,skyddspolitik,0.499,försäkringsgren,0.465
51,cherson,0.743,theatrar,0.522,statssystem,0.436,öfversvämmadt,0.469,lifsfrågor,0.499,outforskad,0.465
52,beskjuta,0.743,organisering,0.521,utrecht,0.436,kommersielt,0.468,jernindustriens,0.499,stenkolsindustri,0.464
53,krossa,0.743,slafhandel,0.521,montenegrinsk,0.436,koltillgång,0.468,terrain,0.498,mosskultur,0.464
54,flöda,0.742,slafveri,0.521,farlighet,0.436,kulturförhållanden,0.468,kolförande,0.498,curs,0.464
55,wikar,0.742,mediation,0.521,kommerciel,0.435,afsöndradt,0.468,våldsgärning,0.497,utställningsområde,0.464
56,hemföra,0.742,mägtige,0.52,neufchatel,0.435,tessalien,0.468,näringsverksamhet,0.497,omreglera,0.463
57,mähren,0.742,underskrifva,0.52,tiderymd,0.435,hvarinom,0.467,inrikespolitik,0.497,områdo,0.462
58,upphäfwa,0.742,fiendtlighet,0.52,skådebana,0.435,oskön,0.467,landområde,0.497,kulturell,0.462
59,nybygge,0.741,omräde,0.52,konstflit,0.435,spher,0.467,apatitfyndigheter,0.497,förnärvarande,0.462
60,klippan,0.741,truppernes,0.519,fortvara,0.434,wetenskaper,0.467,vigtigasle,0.496,fälad,0.462
61,orient,0.741,tillvext,0.519,gråns,0.434,framåtgående,0.467,folkfattig,0.496,målningskonst,0.462
62,upförd,0.74,maestricht,0.519,existence,0.433,nomiska,0.466,realpolitik,0.495,gränsorna,0.462
63,bränwinet,0.74,hannoversta,0.519,skamfläck,0.433,vigtigastc,0.466,fullständiggöra,0.495,upphjälpande,0.461
64,2co,0.74,föryngra,0.518,maritim,0.433,grond,0.466,botydande,0.495,sjöwapnets,0.461
65,rige,0.74,förenta,0.517,aflägsnaste,0.433,malmtillgångar,0.466,samhällslifvet,0.494,jagtförening,0.461
66,psi,0.74,äfventyrare,0.517,bergsbruk,0.433,existence,0.466,experimentell,0.494,vänskapskrets,0.461
67,allarm,0.74,minnesmärke,0.517,alperna,0.433,kommersiel,0.465,hjälpkälla,0.493,veiksamhet,0.46
68,garnizon,0.739,genomtåga,0.517,mästerwerk,0.433,gränsorne,0.465,laudets,0.493,afröjde,0.46
69,äfwan,0.739,chaos,0.517,hvarenda,0.432,statssystem,0.465,lärosystem,0.493,djuruppfödare,0.459
70,förswunnit,0.739,inveckla,0.517,dominera,0.432,verksamhetsområde,0.465,mosskultur,0.493,krematorict,0.459
71,kumlinge,0.739,haiti,0.517,riglning,0.432,veckorevy,0.464,existence,0.493,samfundsklasser,0.459
72,marande,0.739,atlantisk,0.517,schweizarne,0.432,mångfaldiga,0.463,försäkringsgren,0.493,hamnområde,0.458
73,hemligen,0.739,bolivia,0.516,oöfverstigliga,0.432,uralsk,0.463,hvarinom,0.492,länsrepresentation,0.458
74,armse,0.739,inpraktisera,0.516,materiela,0.431,centralpunkt,0.463,rågodling,0.492,sannegården,0.457
75,dunsta,0.738,högland,0.516,bolgrad,0.431,befolkningsförhållande,0.463,hufvudgren,0.492,jernäs,0.457
76,colonier,0.738,fridlysa,0.516,uthungra,0.431,jordegande,0.463,socialekonomisk,0.492,hnfvndsakligast,0.457
77,pröfwas,0.738,florida,0.516,penningrörelse,0.431,befordringssystem,0.463,spher,0.492,finansväsen,0.457
78,korps,0.738,öfverlägsenhet,0.515,obestridd,0.431,lifsfrågor,0.462,inhägnadt,0.492,swältorna,0.456
79,exponera,0.738,tyrol,0.515,beliöfver,0.431,folkstammarne,0.462,gatumark,0.492,lifsfrågor,0.456
80,franfla,0.737,uprätta,0.515,föreställningssätt,0.431,terrain,0.462,uppbjelpande,0.491,qvarnindustrien,0.456
81,kammer,0.737,alliance,0.515,terräng,0.43,länsrepresentation,0.461,idkarne,0.491,landtmannaföreningen,0.456
82,irländsk,0.737,behofver,0.515,nissa,0.43,rämärken,0.461,naturalhistorisk,0.491,hufvudplatsen,0.455
83,rugen,0.737,reciprocitet,0.515,fredsfot,0.43,kommerciel,0.46,kreatursafveln,0.491,andorra,0.455
84,werken,0.737,cantavieja,0.515,krigshär,0.43,utforskande,0.46,afsättningsområde,0.491,tilllämpande,0.455
85,bibchälla,0.737,konstflit,0.515,pascharne,0.43,bolgrad,0.46,ntveckling,0.491,taststälda,0.455
86,spären,0.737,öfvervälde,0.515,ferrara,0.43,gräns,0.46,territoriela,0.49,kretser,0.455
87,sirt,0.736,genomskära,0.514,materialierna,0.429,jordbeskrifning,0.459,religionsfilosofisk,0.49,samhällslifvets,0.454
88,widröra,0.736,utrymmande,0.514,serbisk,0.429,skogskultur,0.459,novellistik,0.49,tändstickstillverkning,0.454
89,bleswe,0.736,återvändande,0.514,skogstrakt,0.429,undervisningssystem,0.459,wetenskaper,0.49,telefoni,0.454
90,härisrän,0.735,vidi,0.514,grundläde,0.429,landsdel,0.459,driffjädern,0.49,punktör,0.453
91,omräde,0.735,lifskraft,0.514,bländverk,0.428,wetenstapernas,0.459,länsrepresentation,0.49,verldshandelns,0.453
92,werkstalla,0.735,lein,0.514,mingrelien,0.428,inspektionsområde,0.459,känbaraste,0.49,realpolitik,0.453
93,koll,0.735,äfveu,0.514,kroatien,0.428,nationalkonvent,0.459,afsoendo,0.489,panique,0.453
94,unker,0.735,laud,0.513,heroer,0.428,tvistefrö,0.459,undervisningssystem,0.489,inhägnadt,0.453
95,mayn,0.735,oafhängig,0.513,tscherkesserna,0.428,abstrahera,0.458,stadstomt,0.489,järntillverkning,0.453
96,paradera,0.735,genomvandra,0.513,integritet,0.428,folkoch,0.458,storbragd,0.489,fängelseväsende,0.453
97,plars,0.735,inskränkt,0.513,omgärda,0.427,nuva,0.458,territoriel,0.488,konstgren,0.453
