,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
87,8om,0.764,löntagande,0.523,canth,0.462,canth,0.478
88,toto,0.764,chocolader,0.523,öfversättnings,0.462,hellwald,0.478
89,krigifla,0.763,guldstandard,0.523,tullunion,0.461,bibelläsare,0.477
90,adrén,0.763,hvarutom,0.523,littré,0.461,kalligrafi,0.477
91,carlsunds,0.763,bokbålleriet,0.522,realstudent,0.461,symbolist,0.477
92,sillgarn,0.763,segelflotta,0.521,ninon,0.46,yska,0.477
93,böga,0.763,språkvetenskap,0.521,enk,0.46,provinsialism,0.477
94,twähundra,0.763,verb,0.521,folkkarakteren,0.46,naturalist,0.477
95,handlwerkare,0.763,konungabok,0.521,kardinalkollegiet,0.46,systerland,0.477
96,contorets,0.763,iänder,0.521,gallikanska,0.46,hegelska,0.477
97,öfwerlåta,0.762,gödsellära,0.521,interpunktion,0.46,tondiktning,0.477
98,xr,0.762,småstycken,0.52,romarspråket,0.46,universitetslärarne,0.477
99,wäras,0.762,reallinien,0.52,enhetstanke,0.459,målarkonst,0.476
