,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,qvarstadna,0.756,archipelagen,0.634,syska,0.58,rysk,0.658,rysk,0.575
1,giller,0.751,piemontesiska,0.629,rysk,0.578,fransk,0.521,fransk,0.534
2,preussare,0.75,latour,0.626,hyska,0.572,österrikisk,0.512,fransica,0.529
3,tillskrifver,0.748,serbisk,0.623,expeditionskår,0.566,fransica,0.512,gäfves,0.527
4,uteblifvit,0.748,upbragt,0.618,iransk,0.563,engelsk,0.507,estnisk,0.525
5,hao,0.748,landtroppar,0.617,ambassadhotellet,0.562,finsk,0.507,gelska,0.524
6,sennaar,0.748,savoyen,0.617,fransk,0.562,gelska,0.506,albaniska,0.523
7,doek,0.747,prosaiker,0.616,gelska,0.556,byska,0.505,österrikisk,0.514
8,oförskämd,0.746,viceamiral,0.614,toskansk,0.555,albaniska,0.498,franska,0.505
9,intervenera,0.745,tripoli,0.614,chocolader,0.551,franska,0.491,byska,0.504
10,flender,0.745,hyska,0.613,novoje,0.55,italienska,0.486,lyska,0.497
11,schelden,0.744,fregattkapten,0.611,zara,0.543,estnisk,0.483,italienska,0.497
12,genomsöka,0.743,gros,0.609,folkkarakteren,0.543,gäfves,0.483,barrére,0.495
13,envälde,0.743,beirut,0.609,korea,0.543,tysk,0.481,rumänisk,0.494
14,väska,0.742,mecklenburgska,0.607,peruansk,0.542,lyska,0.48,serbisk,0.49
15,rådgifvande,0.742,depeche,0.607,militärkorrespondent,0.54,spansk,0.479,hitrovo,0.489
16,bortskymma,0.741,united,0.606,garibaldiska,0.539,serbisk,0.478,undervisningsspråk,0.488
17,ogenerad,0.74,talbot,0.606,utrikesministéren,0.537,portugisisk,0.467,feking,0.487
18,fästningsverk,0.74,batavista,0.606,wienertidningar,0.535,rumänisk,0.464,nygrekisk,0.487
19,afkorta,0.74,cavallerie,0.605,piemontesiska,0.534,hyska,0.46,tananarivo,0.487
20,förmycket,0.739,ockupera,0.603,franff,0.532,fianska,0.458,änkekejsarinna,0.484
21,madridska,0.738,dobrutscha,0.601,portugis,0.531,portugisiska,0.458,nelidov,0.483
22,preussiste,0.736,estland,0.601,thonfisk,0.53,yska,0.457,eskaderbesöket,0.481
23,skiljt,0.735,korfu,0.6,senegal,0.526,änkekejsarinna,0.456,manassein,0.48
24,såll,0.735,söderhafvet,0.599,portugisiska,0.525,steklök,0.456,yska,0.479
25,befraktning,0.735,ancona,0.599,mitre,0.525,tyska,0.454,slovakisk,0.478
26,handelsplats,0.733,gumri,0.599,wremja,0.525,barrére,0.454,turinerkabinettet,0.477
27,kontinenten,0.733,belgisk,0.599,krigsministéren,0.524,tananarivo,0.453,portugisiska,0.477
28,professo,0.733,argentinsk,0.598,hemkallande,0.524,nelidoff,0.451,sändebudshotellet,0.476
29,anconas,0.732,friedland,0.597,upbragt,0.522,algieriska,0.451,correct,0.476
30,premiss,0.732,trup,0.597,yokohama,0.522,iransk,0.45,regeringsbladen,0.476
31,missräkning,0.732,gesandlen,0.596,franska,0.522,nelidov,0.45,offiserare,0.475
32,uteblifven,0.731,sydamerikansk,0.596,nole,0.521,beaulieu,0.449,turkisk,0.475
33,belysa,0.731,vaktskepp,0.596,miantonomah,0.52,nygrekisk,0.448,spala,0.475
34,protestantism,0.73,pålska,0.596,ranska,0.52,svenska,0.448,algieriska,0.474
35,bresch,0.73,eidern,0.595,kaffer,0.519,hitrovo,0.448,beaulieu,0.474
36,skulie,0.729,seeland,0.595,tysko,0.519,slovakisk,0.448,nelidoff,0.474
37,suez,0.729,revoltera,0.595,transka,0.517,turinerkabinettet,0.446,engelsk,0.474
