,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
69,utgå,0.574,ständerne,0.484,nädigst,0.405,nnderdäniga,0.423,dtnna,0.514,reglementsförändring,0.473,kostnadsfråga,0.425,skiek,0.401
70,fortsätta,0.574,stne,0.484,öfwerenskommelfe,0.405,hwilande,0.423,införselförbud,0.513,konstitu,0.472,samvärka,0.425,rebellstaterna,0.401
71,flock,0.574,angäende,0.483,anställande,0.403,frimarknad,0.422,förunnadt,0.512,orepresenterad,0.472,ordensstjerna,0.425,tidsskifte,0.401
72,fastställa,0.574,fastställa,0.483,behåll,0.403,försvinnande,0.422,utskott,0.512,ständs,0.472,ickp,0.424,stallbygnad,0.401
73,befordran,0.573,nädigst,0.483,nädcr,0.403,lagenlig,0.421,representationsrätt,0.511,hemmansegares,0.471,jämvigt,0.424,uppbjelpande,0.4
74,ästundade,0.572,rusa,0.482,kare,0.402,fastmera,0.421,veto,0.51,ståthållarefrågan,0.471,digas,0.424,centreville,0.4
75,ständet,0.572,auktion,0.482,ständspersoner,0.401,afskrifning,0.421,lagberedning,0.509,kreditivrörelse,0.471,portförbud,0.424,strömförhållande,0.4
76,rättegång,0.572,värd,0.481,organisation,0.401,äbyggnader,0.42,myntsystem,0.508,ridderskap,0.47,kreatursimportförbudet,0.424,omgifniugar,0.4
77,fransta,0.571,förläggare,0.481,afflag,0.401,motionär,0.419,bauk,0.508,fiåga,0.47,järnvägstaxa,0.423,upptändts,0.4
78,mästbjudande,0.571,militairen,0.481,medlem,0.4,kcngl,0.419,åsyftning,0.508,borgarstånd,0.469,ötvertygade,0.423,lagarno,0.4
79,probsten,0.57,revisor,0.481,däröfwer,0.4,iland,0.419,reformsällskaper,0.508,bondcständet,0.469,skråf,0.423,bunds,0.4
80,utdrag,0.57,råd,0.48,collegium,0.399,utsi,0.417,högloflig,0.508,genomdrefs,0.467,fårhållande,0.423,uppsvinga,0.4
81,medbroder,0.569,utfå,0.48,privilegium,0.398,stämpelafgift,0.417,ständct,0.507,elementarlärarne,0.467,8ro,0.422,otu,0.4
82,swea,0.569,mauritz,0.48,söremäl,0.398,chals,0.417,statsmakt,0.506,anslöto,0.467,illfundighet,0.422,angrepe,0.4
83,sist,0.568,gurka,0.479,förmån,0.398,hvilketdera,0.416,fåvitsk,0.506,formfråga,0.467,koalitionsregering,0.422,trafikområde,0.399
84,hans,0.567,borgerstapet,0.479,aflägga,0.397,frigifven,0.416,borgarstånd,0.506,omformälda,0.466,gripenbergsbanan,0.422,diirför,0.399
