,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,andemening,0.802,misstydning,0.678,invänningar,0.636,anmärkning,0.693,anmärkning,0.629
1,indignation,0.793,tillvitelse,0.668,ansvarsyrkande,0.619,inkast,0.634,inkast,0.59
2,tillmål,0.791,invänningar,0.654,inkast,0.598,invänningar,0.601,invänningar,0.579
3,motiverna,0.79,svaromål,0.642,gendref,0.583,ersättningspåståenden,0.572,ersättningspåståenden,0.545
4,slutledning,0.788,tillmål,0.641,anmärkning,0.578,invända,0.568,gravamen,0.535
5,oriktighet,0.785,inkast,0.637,angifvelser,0.578,gravamen,0.558,invändts,0.533
6,häktning,0.785,kabinettsfråga,0.636,spörjsmål,0.573,invändts,0.556,påpek,0.531
7,vederlagd,0.785,otidighet,0.635,ansvarstalan,0.568,påpek,0.553,plausibel,0.527
8,obetänkt,0.784,tvångsmedel,0.631,ansvarspåstående,0.563,plausibel,0.541,invän,0.526
9,beifran,0.778,tillvita,0.631,kabinettsfråga,0.562,ansvarspåstående,0.54,invända,0.526
10,ådagalagdt,0.777,ersättningsanspråk,0.624,bevisföring,0.561,mellanmening,0.54,anklagelsepunkt,0.518
11,opinionsyttring,0.777,funné,0.624,fördragsbrott,0.561,detaljanmärkning,0.539,klagopunkt,0.516
12,tillbakavisa,0.777,tillrättavisning,0.624,positift,0.558,inpass,0.534,kabinettsfråga,0.511
13,reklamation,0.775,förbigången,0.622,åklagaremakten,0.556,klagopunkt,0.533,inpass,0.51
14,åklagaremakten,0.774,åklagaremakten,0.619,tillvägagående,0.553,kabinettsfråga,0.532,principiela,0.508
15,beifra,0.774,ådagaläggande,0.618,sjelfvillig,0.552,anklagelsepunkt,0.528,tenta,0.508
16,lagstadgande,0.773,angifvelser,0.616,hawkesbury,0.55,afslagsyrkande,0.526,mellanmening,0.507
17,insinuera,0.772,skrupel,0.615,gravamen,0.55,tenta,0.526,traktats,0.504
18,tidningsredaktion,0.772,slutpåstående,0.612,gendrifva,0.549,unionsförslag,0.523,beskattningsfråga,0.504
19,vidrig,0.772,oöfvervinnelig,0.609,käranderne,0.548,angifvelserna,0.523,jernvägsfrågorna,0.503
20,naturkraft,0.771,overkställbar,0.606,framstälts,0.548,motskäl,0.522,träger,0.502
