,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,ärindra,0.86,werkställigheten,0.797,emanera,0.707,messager,0.596,offentliggöra,0.591,offentliggöra,0.68,offentliggöra,0.674
1,akademi,0.857,hufwudsakligen,0.786,reproducera,0.707,referater,0.586,diritto,0.556,vjestnik,0.58,vjestnik,0.586
2,förbudne,0.852,jämwal,0.782,redactionen,0.694,offentliggöra,0.576,tillhandakommen,0.548,offentliggjordt,0.567,återgifvits,0.569
3,förständiga,0.842,stadeständ,0.782,allmängöra,0.693,inregistrera,0.575,zeitungs,0.548,oktoberhäfte,0.564,tidendes,0.568
4,desin,0.841,ultimatum,0.777,revue,0.688,sammanträdt,0.572,gaulois,0.548,century,0.563,offentliggjordt,0.567
5,friwilliga,0.836,innchäll,0.776,omförmäldte,0.687,telegramm,0.571,reichsanzeiger,0.547,madridtidning,0.561,century,0.562
6,directionen,0.836,fäges,0.772,tidningspapper,0.679,regeringsbeslut,0.568,desavouera,0.54,nineteenth,0.561,madridtidning,0.559
7,huruledes,0.834,omedelbarligen,0.771,messager,0.679,avisa,0.567,bekantgjordt,0.54,moskovskija,0.556,moskovskija,0.558
8,besagd,0.831,anmaning,0.77,programm,0.679,westmakterne,0.567,offentliggjordt,0.538,broschyrform,0.554,freiheit,0.555
9,warna,0.829,äterkalla,0.77,bekantgöra,0.675,kölnische,0.564,opinione,0.537,zukunft,0.552,aftrycka,0.547
10,förläggare,0.829,mediation,0.769,tullstyrelse,0.674,emanera,0.562,bresse,0.534,freiheit,0.55,regeringstidning,0.544
11,lysning,0.829,sturle,0.768,inrikesminister,0.673,inskicka,0.562,messager,0.533,contemporary,0.546,moskowskija,0.544
12,kungörcs,0.827,sages,0.768,omnämda,0.671,rättfärdigande,0.56,promulgera,0.53,ntgafs,0.544,zukunft,0.544
13,florera,0.827,wägra,0.767,offentliggöra,0.67,beriktigande,0.56,parisertidningen,0.525,aftrycka,0.543,oktoberhäfte,0.542
14,dlifwa,0.826,wägrade,0.766,morning,0.668,tidningspapper,0.559,imparcial,0.523,politique,0.541,contemporary,0.541
15,direction,0.826,landtdag,0.766,fiåga,0.667,tillhandakomna,0.558,graphic,0.522,tidendes,0.54,vjädomosti,0.54
16,tildela,0.825,nögde,0.766,uppstodo,0.667,relatera,0.555,neddela,0.521,sensationsartikel,0.539,sensationsartikel,0.54
17,foglig,0.825,stadfästelse,0.766,efterlysning,0.665,promulgera,0.553,wienertidningen,0.521,européen,0.535,doknmenter,0.54
18,fastta,0.825,declaration,0.765,wederläggning,0.665,publiceradt,0.553,tillsändts,0.519,economiste,0.535,nineteenth,0.54
19,hwarförutan,0.824,rycktet,0.764,kringspridt,0.665,patrie,0.553,liberte,0.518,prenumerationsanmälan,0.535,regeringsbladet,0.54
20,anhalles,0.824,förberedelse,0.764,omnämt,0.665,föreligga,0.553,nppgifter,0.517,wochenblatt,0.535,broschyrform,0.536
21,efterfölja,0.824,bestraffa,0.764,auctors,0.665,euligt,0.553,jernvägsturerna,0.517,moskowskija,0.534,européen,0.534
22,bombardera,0.823,constitutionen,0.763,inhibera,0.664,undertecknadt,0.553,augsburger,0.516,fortnightly,0.533,wochenblatt,0.532
23,ärhällit,0.823,beskyddare,0.762,jämwal,0.664,exposé,0.552,officicla,0.515,doknmenter,0.533,zeituug,0.532
24,magters,0.822,trouppar,0.761,civillag,0.663,pariserkorrespondent,0.551,korrespondentartikel,0.515,petermanns,0.532,petersburgkorrespondent,0.531
25,bibehällas,0.822,wistte,0.759,riksdagsbeslut,0.663,utkommande,0.55,insand,0.514,regeringsbladet,0.529,halfofficiella,0.529
26,atstillige,0.821,magterna,0.759,intervenera,0.661,memorandum,0.549,parisertidningarne,0.514,publiceradt,0.528,publiceradt,0.529
27,resultat,0.82,altsedan,0.759,ministeriel,0.661,inhemtar,0.549,halfofficiella,0.513,comptes,0.528,vjedomosti,0.529
28,förbehåll,0.819,sådan,0.758,pärs,0.66,förcflagit,0.549,offieiela,0.511,vjädomosti,0.527,politique,0.528
