,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,återgiswa,0.796,hjeltesaga,0.755,hjeltesaga,0.755
1,allmogemål,0.79,mytologi,0.713,mytologi,0.71
2,goldschmidts,0.775,mythologi,0.71,mythologi,0.71
3,hjeltesaga,0.774,världshistoria,0.699,världshistoria,0.699
4,inströdda,0.767,nationalskald,0.698,nationalskald,0.698
5,spirituelt,0.766,gudalära,0.696,gudalära,0.696
6,livius,0.762,kilskrift,0.681,kilskrift,0.681
7,mystiker,0.762,skaldeverk,0.681,skaldeverk,0.681
8,förbisedd,0.761,mytologisk,0.678,mytologisk,0.678
9,nicanders,0.761,folksaga,0.677,folksaga,0.677
10,offenbachska,0.76,homerus,0.677,homerus,0.677
11,corneille,0.76,tondiktning,0.676,tondiktning,0.676
12,lamartines,0.76,fjolners,0.675,fjolners,0.675
13,epos,0.759,mytisk,0.674,klassiker,0.672
14,målande,0.757,klassiker,0.672,gammalnordisk,0.669
15,acharius,0.756,gammalnordisk,0.669,romarnes,0.669
16,synnöve,0.756,romarnes,0.669,lamartines,0.668
17,lexi,0.756,lamartines,0.668,diktcykel,0.668
18,karaktersteckningar,0.756,diktcykel,0.668,homeros,0.668
19,småberättelser,0.755,homeros,0.668,assyrisk,0.666
20,tennyson,0.755,assyrisk,0.666,glfna,0.665
21,seneca,0.754,glfna,0.665,stormaktstid,0.664
22,silhuett,0.754,stormaktstid,0.664,vikingatid,0.663
23,recitera,0.754,vikingatid,0.663,fenicisk,0.661
24,prosaist,0.753,fenicisk,0.661,ethern,0.66
25,kean,0.753,ethern,0.66,petöfi,0.66
26,impromptu,0.753,petöfi,0.66,mytisk,0.66
27,bildrik,0.751,fornsvensk,0.658,fornsvensk,0.658
28,öfvertro,0.75,numismatik,0.658,numismatik,0.658
29,häpnadsväckande,0.75,sjökonung,0.658,sjökonung,0.658
30,sektor,0.75,epos,0.657,folksägen,0.658
31,folklek,0.75,sågorna,0.656,kalevala,0.656
32,hwimlande,0.749,kalevala,0.656,vapenbrödraskap,0.656
33,terrail,0.749,folkpoesi,0.655,epos,0.655
34,beråttelser,0.748,folksägen,0.654,folkpoesi,0.655
35,jazede,0.748,folkkarakteren,0.654,hjältinna,0.654
36,sängmö,0.748,petrarca,0.653,folkkarakteren,0.654
