,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
90,nyssnämnda,0.697,janzons,0.575,afköra,0.408,afskedsansökau,0.399,skrifwelfer,0.42
91,statsmedel,0.697,reformbill,0.574,inkomstskatt,0.407,retourlasta,0.398,hufvudtitlar,0.419
92,begifvande,0.697,nedpruta,0.574,sakfälde,0.407,harland,0.398,förbindolso,0.419
93,262,0.697,klausul,0.574,rattare,0.407,olörändradt,0.398,besiutade,0.419
94,uppskofvet,0.697,afsende,0.574,riv,0.407,frikallelse,0.398,blekastads,0.419
95,tillspörja,0.697,straffsystem,0.574,slätna,0.407,representationsform,0.398,läraresyssla,0.419
96,solidarisk,0.697,grundlagsändring,0.574,oförpassad,0.406,bonnesen,0.398,gångpost,0.419
97,hänvisning,0.697,förlikningsförslag,0.573,jernvägstid,0.406,psalmboksförslag,0.398,granskningsarbete,0.419
98,uplifwa,0.697,länsvis,0.573,marnas,0.406,erare,0.397,distriktvis,0.418
99,begärta,0.696,landtstat,0.573,värnpligtslag,0.406,lördagstur,0.397,erare,0.418
