,sv_1740,sv_1740_d,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
56,mäste,0.34,wäga,0.513,fanste,0.455,enhet,0.417,ideen,0.452,brödrafolk,0.54,lekamligen,0.538,mennifkor,0.516,folkvett,0.474
57,hon,0.339,koja,0.513,framföre,0.455,werksamt,0.416,intelligens,0.452,omstörtning,0.54,jemnlikheten,0.538,nationalära,0.516,folkelement,0.474
58,hwar,0.338,soln,0.513,ledare,0.454,mant,0.416,trofast,0.452,usurpera,0.539,familjeband,0.537,folkanda,0.516,handelsverlden,0.473
59,intet,0.334,förmärka,0.511,förmåga,0.454,fair,0.416,nationalitet,0.452,nationaläran,0.539,gästvänlighet,0.537,amerikanisera,0.515,lutersk,0.473
60,låta,0.334,ann,0.511,fölgd,0.454,onekligen,0.416,envishet,0.451,ingeri,0.539,landtbefolkning,0.537,kunskapsbegär,0.515,guldålder,0.473
61,sitta,0.334,nt,0.511,förtära,0.454,stönt,0.416,tygla,0.451,intolerans,0.539,hjeltebragd,0.537,malsman,0.515,förenings,0.473
62,den,0.331,skicklighet,0.511,wäcker,0.454,förswarare,0.416,kines,0.45,mellanlänk,0.539,sparsamhetsanda,0.537,näringsomsorger,0.515,hersklysten,0.473
63,wi,0.327,försörja,0.511,anwände,0.454,tilfoga,0.416,lycksökeri,0.45,godtrogen,0.538,majlagarne,0.536,lifssaft,0.515,verldeus,0.473
64,man,0.326,vi,0.51,orsaka,0.453,monument,0.416,hyfsning,0.45,rättstillstånd,0.538,antirepublikansk,0.536,förbrödring,0.515,framtidsmål,0.472
65,ord,0.324,ga,0.51,hjertats,0.453,bortrycka,0.416,obildad,0.45,motsvarighet,0.538,ideerna,0.536,partifanatism,0.514,stamförvandter,0.472
