,sv_1740,sv_1740_d,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,forn,0.594,oreda,0.619,sednare,0.63,sednare,0.534,sednare,0.492,forre,0.476,lörra,0.577,förliden,0.623,föira,0.506
1,äga,0.552,wägnar,0.606,sen,0.615,sörre,0.52,sörre,0.487,sednare,0.466,sörra,0.526,föira,0.566,förliden,0.493
2,händelse,0.516,sednare,0.6,stulder,0.582,forre,0.468,förin,0.44,sistförflulna,0.45,förliden,0.526,sörra,0.561,förlidot,0.457
3,blifwit,0.514,utöfning,0.6,ingifwa,0.538,stulder,0.434,forre,0.43,firén,0.445,föira,0.518,föregående,0.56,torstorp,0.456
4,fast,0.501,bryta,0.591,bliftvit,0.53,ffulder,0.432,öfverstigande,0.426,äterstäcnde,0.441,sistförlidne,0.511,förlibet,0.536,frånstulits,0.455
5,ak,0.491,kostsam,0.585,sörre,0.528,sen,0.426,sistförflutna,0.418,sista,0.438,föregående,0.506,lörra,0.509,duhlin,0.454
6,stark,0.478,förening,0.585,liqvidera,0.525,ssulder,0.426,embet,0.416,wing,0.436,börsdag,0.502,undir,0.508,westannor,0.448
7,få,0.461,lösa,0.584,inbetala,0.52,stuldcr,0.426,orgelnisten,0.416,grundlagsbud,0.434,weckan,0.478,förlidot,0.506,feiö,0.448
8,samma,0.461,innefatta,0.581,ssulder,0.517,fordring,0.424,krigshofrätt,0.415,sednares,0.43,föreg,0.477,prissänkning,0.504,urvalla,0.446
9,ställe,0.456,förment,0.572,ffulder,0.511,lcmnade,0.423,församlingsbo,0.414,balancen,0.428,seuare,0.475,seduaste,0.498,brandanläggningen,0.443
10,ena,0.453,fattigdom,0.571,titz,0.493,bewisligen,0.416,1787,0.414,lörre,0.427,förlibet,0.471,veckau,0.498,föregående,0.443
11,hög,0.447,påstående,0.569,sakerne,0.493,bt,0.412,greiner,0.414,riksdagsförhandlingarne,0.427,hörsdagen,0.47,sistförflulna,0.495,ufvered,0.442
12,lycka,0.447,hwarsöre,0.569,afbörda,0.492,verka,0.411,jaen,0.414,magistratssekreterare,0.423,jutländsk,0.469,femtioåtta,0.49,bonnarp,0.441
13,as,0.445,inlösen,0.568,rakning,0.49,anmälte,0.41,andres,0.413,göthen,0.423,ijorton,0.465,örliden,0.489,nyantagne,0.44
14,snar,0.441,mm,0.568,ätertaga,0.49,alldenstund,0.409,bysätta,0.413,staaff,0.423,nästförflutna,0.458,sistliden,0.487,kvalitéen,0.439
15,gammal,0.438,dc,0.567,widrig,0.486,enstildta,0.405,lindell,0.412,omnämde,0.423,flauare,0.458,föreg,0.487,hebytinget,0.439
16,sä,0.431,idog,0.567,sself,0.476,boskillnad,0.404,janston,0.412,tersmedens,0.421,förflntna,0.456,gådgna,0.484,i83a,0.438
17,warit,0.43,olycklig,0.567,bane,0.473,bcwisa,0.402,undantagsman,0.412,sörra,0.421,llau,0.455,biografera,0.483,bergagården,0.438
18,behaga,0.426,besittning,0.566,århundrade,0.472,cession,0.402,troi,0.411,bibehöllos,0.421,förlida,0.454,werpinge,0.479,lörra,0.436
19,som,0.421,olägenhet,0.563,skuld,0.471,angifwa,0.401,ministérens,0.411,tapto,0.421,stadfästades,0.454,seuaste,0.477,knifskäring,0.436
20,tank,0.419,ändamäl,0.562,stne,0.471,qvittera,0.399,rusthållare,0.411,stjernsköld,0.421,seduaste,0.453,nästförflutna,0.476,lovisedal,0.436
21,bli,0.417,förtryck,0.56,storherren,0.468,villkor,0.398,misshushållning,0.41,tades,0.42,briinvin,0.451,delsboligan,0.476,vallén,0.436
22,ung,0.413,skrift,0.56,handt,0.468,insticka,0.396,afdragas,0.41,brissman,0.419,kolonialvarumarknad,0.451,förcgäende,0.475,fajer,0.435
23,derföre,0.413,tanke,0.558,antekna,0.468,afgifwa,0.395,longberg,0.41,hwarefker,0.418,veckau,0.45,fjor,0.475,åttersta,0.434
24,ha,0.413,begynna,0.557,samtlig,0.467,wiff,0.395,augustin,0.41,seduaste,0.417,spanmålslaster,0.45,fredagö,0.474,poströfveri,0.434
25,denna,0.411,stadgar,0.557,ansenligen,0.467,hiller,0.395,strindlund,0.409,bondestånden,0.417,seuaste,0.446,hederstiernas,0.472,törra,0.434
26,öfwer,0.409,därifrån,0.556,anmana,0.466,äaa,0.394,sälom,0.409,1680,0.416,derlek,0.445,hebytinget,0.472,drared,0.433
27,anseende,0.409,förordning,0.555,ana,0.466,flulder,0.394,kronohemman,0.409,landtbonden,0.416,sistförfiutna,0.445,adman,0.471,förli,0.433
28,mänga,0.408,walet,0.555,ärets,0.462,öfwerenskommit,0.392,bräkne,0.408,träslända,0.416,tisdagsberättelse,0.445,förlida,0.469,gådgna,0.433
29,kalla,0.407,besynnerlig,0.555,dcnna,0.462,utestående,0.392,husman,0.408,tilländagängna,0.415,fogdö,0.445,persfon,0.469,werpinge,0.432
30,namn,0.404,jämförelse,0.554,tekning,0.462,asstädde,0.39,1850,0.406,fastighetsvärde,0.415,edén,0.444,tröstning,0.469,lörre,0.432
31,ära,0.404,ansenligen,0.554,stuld,0.462,bemältc,0.388,storligen,0.406,458,0.415,löfmarknaden,0.444,hufvudtidningen,0.469,kjuge,0.43
32,vara,0.403,förbud,0.553,enstildta,0.461,bibehällit,0.388,omföra,0.406,förtegat,0.415,prisställning,0.443,pensionsmässig,0.468,östervåla,0.43
33,länge,0.403,utwäg,0.551,fördrifwer,0.46,ingifwa,0.386,tillagdt,0.406,röfvarband,0.414,hasle,0.443,scdnastc,0.468,engarn,0.429
34,men,0.398,förändring,0.551,lian,0.459,uppsyningsman,0.385,lånsta,0.406,hägglund,0.414,hallqvist,0.442,vallén,0.468,poströfveriet,0.429
35,fru,0.398,gifne,0.55,valuta,0.459,oagtadt,0.385,kyrkovärd,0.406,tisdagsbladet,0.414,göthen,0.442,benaste,0.468,rogslösa,0.429
36,ännu,0.398,orimlig,0.55,ofelbar,0.456,werkstäldt,0.385,spöstraff,0.405,gårdfarihandlande,0.414,smörmarknaden,0.441,sistförflntna,0.468,edestad,0.429
37,ibland,0.397,utgifne,0.55,bein,0.456,nägonfin,0.385,högvördig,0.405,lördagsnummer,0.414,noteringsdag,0.44,iörra,0.467,äbocn,0.428
38,tänka,0.394,gilla,0.55,liquidera,0.455,afiedne,0.384,almqwist,0.405,bliivit,0.413,saisonens,0.44,förlldet,0.467,blekastad,0.428
39,annan,0.394,dom,0.548,häruti,0.455,inoin,0.383,jakobsson,0.405,377,0.413,riokaffe,0.439,angerdshestra,0.466,järsta,0.428
40,est,0.393,rörer,0.548,widrigt,0.455,ffcr,0.383,tjufgods,0.405,laske,0.413,skeppnetorp,0.439,sistlirne,0.465,brattby,0.428
41,war,0.392,förnya,0.547,förfall,0.455,kopparslagare,0.383,månsson,0.405,ednare,0.413,brottby,0.438,gangna,0.465,cigarettrökning,0.428
42,resa,0.389,underkasta,0.547,godtgöra,0.455,defj,0.383,chwad,0.405,tkulle,0.413,spanmålslastade,0.437,kvalitéen,0.464,sedelförfalskning,0.428
43,än,0.389,ewiga,0.547,inlaga,0.455,liquidera,0.383,forordna,0.404,statshvälfning,0.413,sednasie,0.436,bjertförlamning,0.463,mardal,0.428
44,intet,0.388,innehäll,0.547,uttaga,0.453,tilkommer,0.382,försumlig,0.404,sistförflntna,0.412,mänåden,0.436,örserum,0.463,sånnersta,0.427
45,sätt,0.387,förmon,0.546,wänlig,0.453,ino,0.382,inti,0.403,nästförflutna,0.411,afslötos,0.435,jduns,0.462,åbosonen,0.427
46,tid,0.385,erfarenhet,0.546,manligen,0.453,arfsrätt,0.382,pehrsdotter,0.403,forlidet,0.411,egendon,0.435,föregå,0.462,vassbo,0.427
47,konung,0.385,lämpa,0.546,inbetalning,0.452,tjenste,0.381,frau,0.402,magisterpromotion,0.411,eista,0.435,bärgslagsbladet,0.462,hästhandlaren,0.426
48,sitta,0.383,förmögenhet,0.545,arbetslön,0.452,försälda,0.381,insulin,0.402,slulet,0.411,totalomsättning,0.435,vockan,0.462,humlarp,0.426
49,första,0.38,endaste,0.545,genie,0.451,dcst,0.381,utgiswen,0.402,180g,0.411,apotekareexamen,0.434,knifskäring,0.462,brödåkra,0.426
50,s,0.379,rättegäng,0.545,anstälde,0.451,mänsson,0.38,thurgau,0.401,hvartannat,0.41,sistförflntna,0.434,sistförlidne,0.462,remmarlöf,0.426
51,nog,0.375,åstadkomma,0.545,fordran,0.45,lull,0.38,håkansson,0.401,dne,0.41,bitkomna,0.434,björkström,0.462,sistförflutua,0.426
52,torde,0.375,huruledes,0.545,förbudne,0.45,hasiva,0.38,granlund,0.4,föregående,0.41,eriksöre,0.433,tilländalnpna,0.462,kumlander,0.426
53,komma,0.367,gunst,0.544,oagtadt,0.45,flasta,0.38,botvid,0.4,perry,0.41,svebilius,0.432,törra,0.461,vinnerstad,0.426
54,herre,0.366,anwända,0.544,härefter,0.45,afbörda,0.38,fortskynda,0.4,gradman,0.41,180g,0.432,laxpris,0.461,rotnäs,0.426
55,ligga,0.366,wärkeligen,0.543,utmätning,0.449,esker,0.38,utrotande,0.4,borgenårerne,0.41,utvägning,0.431,weckan,0.461,wittsell,0.425
56,hon,0.364,koja,0.542,aldra,0.449,pästäende,0.38,integrera,0.4,himble,0.41,sistförflutne,0.43,nflidit,0.46,drätselkamma,0.425
57,desse,0.363,folck,0.541,gälla,0.449,mlg,0.379,rutberg,0.4,ulföra,0.41,emigrantagenten,0.43,torsberg,0.46,häradsköp,0.425
58,fader,0.361,stridig,0.541,samilia,0.448,osördröjeligen,0.379,besivär,0.399,1743,0.41,aftonsammanträdet,0.43,föregåendo,0.46,afjaga,0.425
59,göra,0.361,stuld,0.541,förfallen,0.448,lälit,0.379,ahle,0.399,götheborgska,0.41,örliden,0.43,räkenflapsäret,0.46,jndep,0.425
60,4,0.358,myndighet,0.54,kungörcs,0.448,wiensta,0.379,carlskoga,0.399,1844,0.409,måndagspriser,0.43,hörsdagen,0.459,simlund,0.424
61,woro,0.358,pröfning,0.54,granskning,0.447,plars,0.379,gustafson,0.398,vändpunkt,0.409,jernvägsolyckan,0.429,mötesordförande,0.459,sextionio,0.424
62,dygd,0.356,närwaro,0.54,jun,0.447,allseende,0.379,gabrielsson,0.397,såta,0.409,dohau,0.429,sistförflutne,0.459,ransakuingen,0.424
63,här,0.356,answar,0.54,leii,0.447,uppi,0.378,stäldt,0.397,komiténs,0.408,örjan,0.429,sörflutna,0.459,ångköksföreståndaren,0.424
64,stor,0.355,os,0.539,förestäende,0.446,lagné,0.378,statshvälfning,0.397,upgifwit,0.408,sistförflulna,0.429,lovisedal,0.459,söderholtz,0.424
65,egen,0.354,lopp,0.539,obetydlig,0.446,upgifwit,0.378,afslagna,0.397,hitförvänta,0.408,remmarlöf,0.429,disciplinsoldaten,0.459,biografera,0.423
66,dock,0.351,omyndig,0.538,flitt,0.446,skilnad,0.378,räntefot,0.397,giftven,0.407,nedåtgående,0.429,llau,0.459,vestergren,0.423
67,aldrig,0.35,förswar,0.538,fältmarskalk,0.445,beediga,0.378,fängelsestraff,0.397,bergstedts,0.407,fondmarknad,0.429,furubattens,0.459,porsson,0.423
68,wörö,0.35,bewisar,0.538,underteknad,0.445,qvitto,0.378,studentexamen,0.397,ake,0.407,hudiks,0.428,hålsten,0.459,lessingteatern,0.423
69,land,0.349,medföra,0.538,sine,0.445,tweta,0.377,ryd,0.397,kidd,0.407,räkenflapsäret,0.428,lektionsdag,0.459,måstad,0.423
70,ta,0.349,förman,0.537,härleda,0.444,skolmästare,0.377,fältjägare,0.396,öfverlygelsen,0.407,jndep,0.428,tisdagsbladet,0.458,iörra,0.423
71,hwilken,0.348,ven,0.537,redeligen,0.444,mln,0.376,sörst,0.396,upptogo,0.406,nästföregående,0.428,jagtsäsongen,0.458,lindarm,0.423
72,gifwa,0.346,osäker,0.536,förära,0.443,bröderne,0.376,sandahl,0.396,uppbördsskrifvare,0.406,innevar,0.428,1s68,0.458,mollenhauer,0.423
73,der,0.346,ena,0.536,esler,0.443,armera,0.376,olofsson,0.395,ulanför,0.406,1367,0.428,ransakningsmål,0.458,joles,0.423
74,redan,0.345,tjänstefolk,0.536,dcrpä,0.443,friherrinnan,0.376,ajournera,0.395,wcckorna,0.406,svartnäs,0.427,answarighetssumman,0.457,löregående,0.423
75,ej,0.343,grund,0.536,1796,0.441,astidnc,0.375,edsbergs,0.395,heia,0.406,hah,0.427,iöregående,0.457,edsäng,0.423
76,last,0.343,ärfarenhet,0.536,ätagit,0.441,samilia,0.375,hwarifrån,0.395,tingsryd,0.406,stjernsköld,0.427,tönnersa,0.457,falskmyntning,0.422
77,deraf,0.339,jin,0.536,1779,0.441,flu,0.375,lekman,0.395,embetstid,0.406,tisdagsbladet,0.427,sisil,0.457,tisdagsbladet,0.422
78,ar,0.337,titel,0.536,äterstäende,0.441,uppgifne,0.374,danielson,0.395,krigssång,0.405,föreläsningsskyldighet,0.427,föregäende,0.457,polson,0.422
79,ju,0.336,ve,0.535,undfäende,0.441,ilia,0.374,lörra,0.395,förlöpa,0.405,1s68,0.427,polisförhörsprotokoll,0.456,iöregående,0.422
80,jag,0.336,operation,0.535,förknippa,0.44,händel,0.374,helin,0.395,nlis,0.404,vårleverans,0.426,béve,0.456,a5o,0.422
81,dag,0.332,åkerbruk,0.535,frägan,0.44,silla,0.374,undwikandc,0.395,ansvarspåstående,0.404,senasto,0.425,häradsköp,0.456,bärgslagsbladet,0.422
82,af,0.331,tel,0.535,vänja,0.44,deposition,0.374,fastigheterne,0.395,sistförflutna,0.404,sumners,0.425,janston,0.456,örserum,0.422
83,mi,0.329,upkomst,0.535,giftva,0.44,räa,0.374,mysa,0.395,mollenhauer,0.404,wittnets,0.425,förlidct,0.456,anestad,0.422
84,hand,0.326,bota,0.535,universitet,0.44,afgifwande,0.374,jönson,0.395,måndagsbladet,0.404,polisransakning,0.425,vrängebol,0.455,adseke,0.421
85,nägra,0.325,deremot,0.534,rc,0.439,gästgifwaren,0.373,qwist,0.395,183s,0.404,brattby,0.425,dahlqwists,0.455,fadermord,0.421
86,at,0.324,twist,0.534,cours,0.439,fordne,0.373,borgargarde,0.394,kansliförhör,0.404,westannor,0.425,fröderyd,0.455,undersåker,0.421
87,mycket,0.323,arfwingar,0.534,foglig,0.439,förwaltare,0.373,omnämde,0.394,postexpeditör,0.403,vidhöllo,0.425,noteri,0.455,nordenheim,0.421
88,up,0.322,bero,0.534,mom,0.439,debitor,0.373,uppf,0.394,990,0.403,sörre,0.424,totaltillförsel,0.455,halftokig,0.421
89,nu,0.321,fullkomlighet,0.534,siut,0.438,förwalta,0.372,fries,0.394,faye,0.403,bränvinspriset,0.424,rotnäs,0.455,persfon,0.421
90,nägot,0.32,wisat,0.534,gunstling,0.438,upsöka,0.372,nuvarande,0.394,fadermord,0.403,förseln,0.424,partihandlare,0.455,1565,0.421
91,gärd,0.319,olaglig,0.534,angifwa,0.438,enom,0.371,justi,0.394,välbeställd,0.403,björner,0.423,ekerön,0.454,ekerön,0.42
92,andra,0.319,täger,0.533,fful,0.438,efrer,0.37,profvet,0.393,värjemålsed,0.403,nymö,0.423,nederbördsmängd,0.454,kråkeryd,0.42
93,mer,0.318,däremot,0.533,matros,0.437,corpsens,0.37,afskedstagande,0.393,tegneby,0.403,östnor,0.423,rosqvist,0.454,uppbördsskrifvare,0.42
94,efter,0.318,ästundade,0.533,behörigen,0.437,effecter,0.37,ssdant,0.393,bysättning,0.403,endait,0.423,carlesons,0.454,thuregård,0.42
95,nära,0.315,twärt,0.533,walet,0.437,hvil,0.37,frik,0.393,anhängiggjorda,0.402,halda,0.423,humlarp,0.454,åtskiilige,0.42
96,til,0.314,efterdöme,0.533,favorit,0.437,annai,0.37,vagnmakare,0.393,345,0.402,wcckan,0.422,sonarp,0.454,nppkomna,0.42
97,mera,0.313,fasta,0.533,ombyta,0.437,ärla,0.37,omyndighetstillstånd,0.393,envast,0.402,jenisei,0.422,sednasie,0.453,ranseröd,0.42
98,sedan,0.313,obehörig,0.533,upgifwit,0.437,dagade,0.37,verkstäldt,0.393,sednaie,0.402,innestodo,0.422,skattekomitén,0.453,lördag3,0.42
99,ben,0.313,förmögen,0.532,oc,0.436,gudstjänst,0.37,celeber,0.393,grisbacka,0.402,angåfvos,0.422,denovan,0.453,trävaruhandlaren,0.419
