,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
70,förskingring,0.71,kansas,0.573,försäljningslag,0.55,kyrkomötesförordning,0.577,vallag,0.572
71,förhöjdt,0.71,upphäswande,0.573,handelslag,0.549,lagförklaring,0.575,lagändring,0.571
72,anfort,0.71,prutning,0.573,mellanrikslagen,0.549,stadgar,0.575,lagbeslut,0.571
73,parlamentsval,0.709,skolordning,0.573,stadgarnes,0.548,öfvergångsstadgande,0.575,föreflriften,0.57
74,grekiska,0.709,wallag,0.572,skollag,0.548,redaktionsförändringar,0.573,värnepligtslag,0.57
75,cederschöld,0.709,prospektus,0.572,handelsordning,0.548,shermanbillen,0.573,förefkrifwer,0.568
76,uteslutning,0.709,ädömas,0.572,återremittera,0.547,mantalsskrifningsförordningen,0.572,grundlagsbud,0.567
77,förkastadt,0.709,amendement,0.572,drakonisk,0.547,lagändring,0.572,civillag,0.567
78,omnämda,0.709,nationalbank,0.572,lagparagraf,0.547,bränvinsförsäljningsförordningen,0.572,reglemente,0.567
79,repertoiren,0.709,kriminallag,0.572,reglementarisk,0.547,bolagsreglorna,0.572,folkskolestadga,0.566
80,uppf,0.709,protokollerna,0.571,bewillningsförordningen,0.546,grundlag,0.57,krigslag,0.566
81,yttradt,0.708,krigsartiklar,0.571,hufwudfaklig,0.546,stadgame,0.57,öfvergångsstadgande,0.566
82,räfst,0.708,uud,0.571,läroverksstadga,0.546,värnpliktslag,0.569,formulering,0.565
83,styfver,0.708,asgifna,0.571,förordning,0.545,ordalydelse,0.568,redaktionsförändringar,0.564
84,går,0.708,upphäfvet,0.571,klausul,0.545,disciplinstadga,0.567,utsökningsväsende,0.564
85,262,0.708,omarbetning,0.57,lagstadgande,0.545,tilläggsbestämmelse,0.567,grundlag,0.563
86,pärs,0.708,valsätt,0.57,kyrkohandbok,0.545,föreskrefve,0.567,ansvarighetslag,0.563
87,trivialskola,0.707,regeringsledamot,0.569,voteringsproposition,0.543,hemstälts,0.567,stadgarnes,0.563
88,promovera,0.707,modifiera,0.569,öfwcrensstämmelse,0.543,bewillningsförordningen,0.566,lagförklaring,0.562
89,hufvudtiteln,0.707,kompromiss,0.568,bolagsregler,0.543,vallag,0.566,tillbehandling,0.562
90,besvärsskrift,0.707,syslem,0.568,lagförändring,0.543,värnepligtslagen,0.565,jagtstadga,0.562
91,diskutera,0.706,voteringsproposition,0.567,grundlagsändringsförslag,0.543,poststadga,0.565,stadgeförslag,0.562
92,intägt,0.706,hufwudgrunder,0.567,landstingsförordning,0.543,krigslag,0.564,giftomannarätt,0.561
93,bådskap,0.706,afsende,0.567,hufvudtitlar,0.542,ofvanåberopade,0.563,kommunalförfattningarne,0.561
94,ziirich,0.706,stängselskyldighet,0.566,fattigvårdsförordning,0.542,stadgeförslag,0.563,slutorden,0.561
95,omnämt,0.705,herdabref,0.566,punkt,0.542,stämpelpappersafgiften,0.563,bolagsreglorna,0.561
96,chikan,0.705,ansvarighetslag,0.566,sörändrade,0.542,sörordning,0.563,själfdeklaration,0.561
97,obestämdhet,0.705,utfärdande,0.566,riksdagsordning,0.541,tilläggsförslag,0.562,omredigering,0.56
98,hänskjuta,0.705,utspridande,0.565,stadgauden,0.54,civillag,0.562,reglementarisk,0.56
99,jernhandteringen,0.705,auetor,0.565,lagutstottets,0.54,utskottsförslag,0.561,bevillningsstadgan,0.56
