,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,älsklighet,0.704,betagande,0.72
1,naturfolk,0.696,älsklighet,0.71
2,karaktärsteckning,0.695,formfulländning,0.709
3,allmogemål,0.692,retorik,0.707
4,folkdikt,0.689,naturfolk,0.706
5,retorik,0.687,folkdikt,0.705
6,betagande,0.684,karaktärsteckning,0.698
7,verve,0.682,verldskännedom,0.696
8,karaktersteckningen,0.68,natursinne,0.695
9,underström,0.68,allmogemål,0.694
10,verldskännedom,0.68,bonhommie,0.693
11,natursinne,0.68,känslolif,0.693
12,formfulländning,0.679,verve,0.693
13,känslolif,0.678,underström,0.693
14,tankedjup,0.677,känslofullhet,0.69
15,hvardagsmenniska,0.676,själsriktning,0.689
16,karaktersteckning,0.675,själsgåfva,0.687
17,bonhommie,0.675,utpreglade,0.687
18,skaldisk,0.675,berättaretalang,0.686
19,själsgåfva,0.675,pointeradt,0.684
20,verldshistoriens,0.674,verldshistoriens,0.683
21,ahasverus,0.673,intuition,0.681
22,karrikerade,0.673,fornsvensk,0.681
23,godlynthet,0.673,tankedjup,0.681
24,själsriktning,0.672,karaktersteckningen,0.681
25,framställningskonst,0.67,skaldisk,0.68
26,intuition,0.67,versform,0.678
27,djuptänkt,0.67,konstskapelse,0.677
28,familjelifvet,0.669,karrikerade,0.677
29,pointeradt,0.668,vekhet,0.677
30,förvekliga,0.668,täckhet,0.677
31,nyromantik,0.667,omedelbarhet,0.677
32,återklang,0.667,patricisk,0.676
33,petrarca,0.666,själfullhet,0.676
34,opoetisk,0.666,hvardagsmenniska,0.676
35,bildrik,0.664,opoetisk,0.675
36,versform,0.664,österländingarne,0.675
37,fantasirikedom,0.664,offenbachska,0.675
38,utpreglade,0.664,folkanden,0.674
39,känslofullhet,0.664,själsstämning,0.674
40,konstskapelse,0.664,återsvar,0.674
41,tankerik,0.664,återklang,0.674
42,afspegling,0.663,ahasverus,0.673
43,inpreglat,0.663,afspegling,0.673
44,återsvar,0.663,ursprunglighet,0.673
45,konception,0.663,godlynthet,0.672
46,själfullhet,0.663,karaktersteckning,0.672
47,själsstämning,0.663,hjärtelag,0.672
48,offenbachska,0.662,fantasirikedom,0.672
49,ingemanns,0.662,viljekraftig,0.672
50,bellmanska,0.662,tankerik,0.671
51,sentiment,0.662,hjertegodhet,0.67
52,uppstyltad,0.662,lefnadsvett,0.67
53,inspireradt,0.661,storslagenhet,0.67
54,fornsvensk,0.661,skärhet,0.67
55,hjärtelag,0.661,gemyt,0.669
56,lefnadsvett,0.66,karaktärsdrag,0.669
57,utvecklingsgång,0.66,konception,0.668
58,verklighetstrogen,0.66,målningssätt,0.668
59,patricisk,0.66,naturmålning,0.667
60,onatur,0.66,djuptänkt,0.667
61,berättaretalang,0.66,trohjärtad,0.667
62,ingemann,0.66,lifsglädje,0.667
63,elegi,0.66,omisskänlig,0.667
64,lifsglädje,0.659,nyromantik,0.667
65,österländingarne,0.659,verklighetstrogen,0.667
66,målningssätt,0.659,tankans,0.666
67,lifsuppfattning,0.658,jemnmått,0.666
68,fornålder,0.658,utvecklingsgång,0.666
69,snilleverk,0.657,gedigenhet,0.666
70,karaktersskildring,0.657,inpreglat,0.666
71,folkanden,0.656,mästarhand,0.665
72,parodisk,0.656,lifsuppfattning,0.665
73,konstriktning,0.656,familjelifvet,0.665
74,omedelbarhet,0.656,sentiment,0.665
75,horatii,0.656,tongång,0.664
76,naturscen,0.656,naturscen,0.664
77,skriftställarskap,0.655,förvekliga,0.664
78,hjertegodhet,0.655,petrarca,0.664
79,skaldeverksamhet,0.655,habitus,0.663
80,skärhet,0.655,elegi,0.663
81,gedigenhet,0.655,natursanna,0.663
82,skaldeverk,0.654,affektation,0.663
83,versmått,0.654,tankereda,0.662
84,ursprunglighet,0.654,abcbok,0.662
85,viljekraftig,0.654,tankeskärpa,0.661
86,karaktärsdrag,0.654,ingemanns,0.661
87,naturmålning,0.654,bellmanska,0.661
88,täckhet,0.654,stämföring,0.661
89,naivetet,0.654,skaldeverksamhet,0.661
90,lifsglädjen,0.653,framställningskonst,0.661
91,offerväsen,0.653,skaldenatur,0.661
92,individualisera,0.653,tondiktning,0.661
93,öfvertro,0.652,lifsåskådning,0.661
94,klafver,0.652,onatur,0.661
95,nationalskald,0.652,karaktersskildring,0.66
96,beherskning,0.652,konstriktning,0.66
97,förstlingsarbete,0.651,fornålder,0.66
98,blåstrumpa,0.651,inspireradt,0.659
99,kärlekssång,0.651,frasmakeri,0.659
