,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,kejsar,0.79,kejsar,0.563,kejsar,0.725,kejsar,0.84,bonaparte,0.629,bonaparte,0.617
1,äterkomst,0.685,bonapartes,0.562,bonaparte,0.62,kejsare,0.737,napoleona,0.608,napoleona,0.598
2,buonaparte,0.684,buonaparte,0.553,bonapartes,0.58,jérome,0.646,napoléon,0.6,xviii,0.59
3,wellingtons,0.677,bonaparte,0.55,louis,0.579,maximilian,0.64,jérome,0.592,xvi,0.587
4,ferdinand,0.677,xvi,0.54,keisar,0.569,bonaparte,0.631,berthier,0.589,napoléon,0.586
5,gemål,0.673,cesar,0.533,jerome,0.565,napoleona,0.627,jerome,0.582,eugöne,0.579
6,hoswet,0.672,xviii,0.524,kejsare,0.563,jeromes,0.616,xviii,0.577,berthier,0.579
7,bayersk,0.672,nicolaus,0.523,canino,0.555,jerome,0.611,bonapartes,0.574,jeröme,0.574
8,konvention,0.672,sjuksäng,0.519,napoleons,0.551,prins,0.605,jeröme,0.563,frederic,0.571
9,bulletin,0.672,eugene,0.519,storhertig,0.546,napoléon,0.602,kejsar,0.562,fjortondes,0.566
10,högqwarter,0.672,goethe,0.519,nicolaus,0.542,napoleons,0.598,xvi,0.556,sully,0.566
11,westphalen,0.671,märkwärdigaste,0.519,hofwets,0.541,kejsarprinsen,0.596,amadeo,0.555,jérome,0.562
12,buonapartes,0.669,kejsardöme,0.518,infantinna,0.532,oranien,0.592,sully,0.551,kouung,0.56
13,rystland,0.668,utte,0.517,toskana,0.531,amadeus,0.59,balduins,0.546,napoleone,0.559
14,castlereagh,0.667,ministrame,0.517,joinville,0.528,ajaccio,0.589,davoust,0.544,davoust,0.556
15,hess,0.667,gunstling,0.517,gregorius,0.528,keisar,0.586,thiers,0.544,bonapartes,0.55
16,rysiland,0.665,cardinal,0.516,xvi,0.526,kejfar,0.585,eugöne,0.544,amadeo,0.548
17,sachsen,0.664,öfwersatt,0.514,coburg,0.526,enkekejsarinnan,0.585,napoleone,0.543,tredjes,0.548
18,kejser,0.664,dagbok,0.51,declaration,0.526,poleon,0.583,orléanska,0.542,markgrefve,0.547
19,metternich,0.66,lucien,0.509,prin,0.523,napoleous,0.579,gregorius,0.539,jerome,0.546
20,preusten,0.66,bäjern,0.509,storherren,0.522,auvergne,0.577,detronisera,0.536,gregorius,0.545
21,vii,0.656,nikolai,0.509,oranien,0.521,umberto,0.576,napoleonska,0.536,oranien,0.543
22,lucien,0.655,hess,0.507,ängland,0.52,prius,0.572,piccolomini,0.534,piccolomini,0.542
23,hwaruli,0.651,anträde,0.507,metternich,0.52,amadeo,0.571,wagram,0.532,ärkehertig,0.542
24,uppror,0.651,segerrik,0.505,bayern,0.52,mexicos,0.569,markgrefve,0.532,xiy,0.539
25,toulonsta,0.65,juan,0.505,auvergne,0.519,eugöne,0.568,alerander,0.531,avilhelm,0.538
26,suwarow,0.65,nassau,0.505,morny,0.518,napolen,0.566,frederic,0.53,wagram,0.537
27,bonapartes,0.649,paula,0.504,nicaragua,0.517,reuss,0.566,alexander,0.53,1523,0.533
28,etrurien,0.648,fredmans,0.502,napoleona,0.517,corvo,0.565,ärkehertig,0.53,balduins,0.532
29,wapenhwilan,0.647,kurfurste,0.501,orsinis,0.517,hohenzollern,0.565,alcantara,0.53,napoleonska,0.532
30,chur,0.646,infantinna,0.5,bourmont,0.516,tronarfvinge,0.564,poleon,0.526,fjerdes,0.531
31,äterwanda,0.646,moreau,0.5,nikolai,0.516,marimilian,0.564,kouung,0.526,brabant,0.531
32,coburg,0.646,indisk,0.499,preusen,0.516,battenberg,0.563,luitpold,0.526,detronisera,0.531
33,potemkin,0.645,folksaga,0.499,darmstadt,0.513,miramare,0.563,jeromes,0.525,orléanska,0.531
34,marocco,0.644,pedres,0.498,buonapartes,0.511,napo,0.563,alphonso,0.524,frihetshjelten,0.53
35,ratifikation,0.643,äterkomst,0.498,pafliga,0.51,abdikera,0.562,alfonso,0.523,canino,0.53
36,preussista,0.641,handbref,0.497,schah,0.51,reichstadt,0.562,iii,0.522,landtgrefwen,0.528
37,mortier,0.641,extraordinär,0.497,polignac,0.509,exkejsar,0.561,kurfurste,0.522,iii,0.526
38,arrestering,0.64,grans,0.496,folkräkning,0.509,orleansta,0.561,soliman,0.52,soliman,0.526
39,whitworth,0.64,chur,0.496,kossuth,0.508,chartres,0.56,castelnau,0.519,castelnau,0.526
40,grans,0.64,humboldt,0.495,gioberti,0.508,tronkandidat,0.558,reichstadt,0.519,konuug,0.526
41,tilsit,0.64,ärhundradet,0.494,antonelli,0.508,bonapartisternes,0.557,tredjes,0.518,kudvig,0.525
42,rytzland,0.639,ärofull,0.494,päswen,0.508,billault,0.557,oberdank,0.517,iils,0.525
43,böhmen,0.639,nikolaus,0.493,maximilian,0.508,asturi,0.557,bourboner,0.517,luitpold,0.525
44,arnade,0.639,declaration,0.493,talleyrand,0.508,humbert,0.557,oranien,0.516,xvii,0.524
45,rodney,0.638,fältherre,0.492,cavaignac,0.507,storfurst,0.556,ruprecht,0.516,ryttarestaty,0.523
46,armöe,0.638,ludwig,0.492,potemkin,0.506,exkonung,0.556,kejsarprinsen,0.516,prinö,0.522
47,neral,0.638,tragisk,0.491,napolcons,0.506,gramont,0.555,reformationstidehvarfvet,0.515,ils,0.522
48,bernadotte,0.637,herrlighet,0.491,arnade,0.504,czar,0.555,canino,0.515,alphonso,0.521
49,conference,0.636,orientalist,0.491,fältrop,0.504,xviii,0.554,liechtenstein,0.514,kurfurste,0.521
50,marquis,0.636,gibbon,0.491,blanc,0.504,kossuth,0.554,mikado,0.514,marmorstod,0.521
51,dresden,0.636,bayern,0.49,ministrame,0.504,aumale,0.551,hjeltekonungen,0.513,xlv,0.521
52,moreau,0.636,bedrift,0.489,bäjern,0.503,coburg,0.551,napo,0.513,hjeltekonungen,0.521
53,formligen,0.636,rousseau,0.488,buonaparte,0.502,bayern,0.551,maximilian,0.512,wilheim,0.52
54,ministeren,0.636,föregifna,0.488,montemolin,0.501,lamarmora,0.55,guizot,0.512,beauharnais,0.52
55,konun,0.636,vitalis,0.486,garibaldi,0.501,chislehurst,0.55,kejsardöme,0.512,reformationstidehvarfvet,0.52
56,moore,0.636,filip,0.486,poleon,0.501,bonapartes,0.549,frihetshjelten,0.512,ludvid,0.52
57,laudon,0.636,westphalen,0.486,adalbert,0.5,kejsarinna,0.548,landtgrefve,0.511,oberdank,0.519
58,arab,0.635,bajern,0.486,asturi,0.5,sarén,0.548,niko,0.511,maximilian,0.517
59,ral,0.635,brigadieren,0.485,usurpator,0.5,asturien,0.548,radama,0.509,pilip,0.516
60,ständerne,0.635,uppwakta,0.484,rygtbara,0.5,prin,0.547,trajanus,0.509,tolftes,0.515
61,wurtemberg,0.634,diktera,0.484,mohammed,0.499,bassano,0.547,avilhelm,0.509,reichstadt,0.515
62,declaration,0.634,dynasti,0.484,pius,0.499,radama,0.547,beauharnais,0.508,durer,0.515
63,afsägelse,0.634,förswarare,0.484,marstalken,0.498,preussen,0.546,chislehurst,0.508,generalfältmarskalk,0.515
64,narwaro,0.633,wellingtons,0.483,boulogne,0.498,prinö,0.546,napoleous,0.508,hessen,0.515
65,marskalk,0.633,hämd,0.483,lublin,0.497,alfons,0.545,radzivill,0.507,alcantara,0.514
66,sändebud,0.632,vincent,0.483,kejsåren,0.497,alerander,0.545,brabant,0.507,ruprecht,0.513
67,persien,0.632,xii,0.483,storamiral,0.497,boyer,0.545,käjsardömet,0.506,wiirtemberg,0.513
68,proklamera,0.632,obefläckad,0.483,ragusa,0.497,preusen,0.544,breussen,0.506,radzivill,0.512
69,blucher,0.632,etrurien,0.482,angouleme,0.497,suwarow,0.542,jaime,0.505,grotius,0.512
70,georgien,0.632,achilles,0.481,vicekonung,0.497,castelnau,0.542,mördarehand,0.505,rainer,0.512
71,pälen,0.632,frihetskrig,0.48,abdikera,0.496,tronbestigning,0.542,käjsar,0.505,konnngarne,0.511
72,armse,0.631,kompl,0.48,inkognito,0.496,alfonso,0.541,moncasi,0.504,landtgrefve,0.51
73,bistä,0.631,ludvic,0.48,wellingtons,0.495,rappellera,0.541,xvii,0.504,liechtenstein,0.51
74,mustapha,0.631,förfwara,0.48,marocco,0.495,latour,0.54,marmorstod,0.504,bourboner,0.51
75,krigsrustning,0.63,marocko,0.479,kalif,0.495,toskana,0.54,yilhelm,0.503,alerander,0.509
76,strifwelse,0.63,bourbon,0.479,nesselrode,0.495,orleanistiska,0.54,kavallerigeneral,0.503,loubat,0.509
77,bosnien,0.63,marocco,0.479,monark,0.495,xvi,0.54,sigismund,0.503,ceesar,0.508
78,ärkehertig,0.629,loire,0.479,kejsarn,0.494,antonelli,0.539,suwarow,0.503,niondes,0.508
79,bay,0.628,pius,0.479,schachen,0.494,erkehertig,0.538,ils,0.503,roslin,0.508
80,erkehertig,0.628,utgaf,0.479,massena,0.494,orléanska,0.538,prinö,0.502,ungarns,0.507
81,gesandt,0.628,milton,0.478,buoncompagni,0.494,kej,0.537,massena,0.502,jokai,0.507
82,storhertig,0.628,washington,0.478,diktator,0.493,georgios,0.537,patterson,0.501,neipperg,0.507
83,furst,0.628,hjeltemod,0.477,pachan,0.493,cortez,0.537,gallifet,0.501,guizot,0.507
84,högqwarteret,0.627,storhertig,0.477,throntal,0.493,benedetti,0.537,neipperg,0.501,alexander,0.506
85,medlare,0.627,rysilands,0.477,preusien,0.493,petöfi,0.536,bigelow,0.501,pompejus,0.506
86,höfwen,0.627,ragusa,0.477,latour,0.492,alexander,0.536,arnulf,0.501,revolutionsår,0.505
87,engländarnes,0.627,öfvervälde,0.476,kurfurste,0.492,kejsåren,0.535,vapenkamrat,0.5,orths,0.505
88,artois,0.626,ratifikation,0.476,carbonari,0.492,metternich,0.535,conciergeriet,0.5,karageorgevitsch,0.504
89,wigliga,0.626,päfwens,0.476,philippe,0.492,savoyska,0.535,pompejus,0.5,bonifacius,0.503
90,pachan,0.626,neral,0.476,girardin,0.491,tiberius,0.535,fjortondes,0.499,yictor,0.503
91,ultimatum,0.625,naturalisera,0.476,curir,0.491,bourboner,0.534,landtgrefwen,0.499,kavallerigeneral,0.502
92,krigsminister,0.625,oxford,0.475,whitworth,0.491,espartero,0.534,statsstreck,0.499,poleon,0.502
93,nyffe,0.625,ludvig,0.475,marquis,0.491,thronföljarens,0.533,hessen,0.498,jaime,0.502
94,fältmarskalk,0.625,christus,0.474,ludvig,0.491,patrie,0.533,fjerdes,0.498,amadeus,0.502
95,burdett,0.625,talleyrand,0.474,conference,0.49,bismarck,0.532,wiirtemberg,0.498,angouléme,0.502
96,befalt,0.625,romantisk,0.474,öfwerbefälet,0.49,wilhelmshöhe,0.532,gramont,0.498,mirabeau,0.502
97,armöen,0.624,lionel,0.474,alerander,0.49,tronafsägelse,0.532,bourbonerna,0.498,schaumburg,0.501
98,bäjern,0.624,voltaire,0.474,nikolaus,0.49,tillskyndan,0.532,couza,0.497,yilhelm,0.501
99,sardinien,0.624,xiv,0.474,morella,0.49,chambord,0.531,mirabeau,0.496,bigelow,0.5
