,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,syndig,0.855,änven,0.831,väsen,0.724,verldshändelse,0.616,skapadt,0.608,chimär,0.591,samhällighet,0.569
1,wärsta,0.855,kallsinnig,0.827,inneboende,0.724,täckmantel,0.613,utopist,0.589,afvinna,0.59,maktförhållande,0.565
2,galenskap,0.854,lanka,0.826,naturligen,0.72,trängande,0.612,ädlare,0.586,skapadt,0.579,osäkerhetstillstånd,0.553
3,orimlighet,0.852,wärsta,0.825,melankolisk,0.72,materie,0.609,diktkonst,0.582,ofira,0.578,vidmagthålla,0.553
4,fäfängt,0.851,mennistans,0.823,missförstå,0.716,upwäcka,0.604,menniskoanden,0.577,hoplappa,0.576,samkänsla,0.552
5,medförer,0.849,upfylt,0.823,ideel,0.713,vantro,0.602,nyvunnen,0.575,framhäfva,0.571,vesterlandet,0.551
6,röfware,0.848,hänföra,0.821,menskligheten,0.711,hjälte,0.601,omgestalta,0.574,fanatici,0.569,förbrödra,0.55
7,plägsed,0.847,ädraga,0.821,fantastisk,0.708,mägtigt,0.601,undergräft,0.572,stapa,0.569,människohjärta,0.546
8,uste,0.847,bemärkelse,0.82,värf,0.708,förqväfva,0.601,återförsätta,0.572,påvärka,0.569,brödrakrig,0.545
9,bwars,0.845,likgiltig,0.82,känslolös,0.707,familjelif,0.599,lifskraftig,0.571,exploitera,0.567,välsignelserikt,0.545
10,männistjan,0.844,wälmening,0.82,ädelhet,0.707,håfvor,0.599,föränderlighet,0.57,afslöjar,0.567,skapadt,0.545
11,manne,0.844,högfärd,0.819,tankans,0.706,skönhetssinne,0.597,qväsa,0.57,vidmagthålla,0.567,förkofring,0.544
12,förlika,0.843,rättfärdighet,0.819,hjälte,0.703,vämjelig,0.595,herlighet,0.569,pånyttfödd,0.566,intvinga,0.543
13,alfid,0.843,dumhet,0.819,oädel,0.703,ingjuta,0.595,diabolisk,0.569,samhällighet,0.566,nyvunnen,0.543
14,förgäten,0.841,fäfängt,0.818,medborgarnes,0.703,undergräfva,0.594,beherska,0.567,återförsätta,0.566,verldsvälde,0.541
15,lcmnar,0.841,anwänder,0.817,gudomlighet,0.703,uppblomstra,0.593,uppåtsträfvande,0.566,verkliggöra,0.566,utplånande,0.54
16,gudlös,0.841,gudlös,0.817,konstlad,0.702,statsborgerlig,0.59,lifsprincip,0.565,närslägtad,0.565,samhörighetskänsla,0.54
17,motsäga,0.841,werkcligen,0.817,tidehvarfvets,0.702,sjelfviskhet,0.59,gestaltning,0.565,realunion,0.564,ofira,0.539
18,bemärkelse,0.84,lätom,0.816,genomgripande,0.701,påfinna,0.59,invertes,0.561,utopist,0.563,näringstvång,0.538
19,ädraga,0.84,upphof,0.815,sväfva,0.701,absorbera,0.59,dualism,0.561,inkarnera,0.562,realunion,0.538
20,upfylt,0.84,afwända,0.814,envishet,0.7,sammanhopa,0.589,chimär,0.561,näringsskydd,0.561,tidsriktning,0.536
21,obegriplig,0.839,fördunkla,0.812,vidskeplig,0.699,besjäla,0.588,eftersträfvar,0.56,vandla,0.561,närslägtad,0.536
22,onaturlig,0.839,tillfällighet,0.812,kraftyttring,0.698,nedtynga,0.587,stapa,0.56,skaldenatur,0.561,människosläkte,0.536
23,maner,0.839,doch,0.811,tungomål,0.698,skickelse,0.587,individuel,0.559,intvinga,0.561,förvärkliga,0.534
24,stelf,0.839,förblinda,0.811,syndig,0.698,naturenlig,0.587,häfdvunnet,0.559,lifsprincip,0.56,hängifvenheten,0.534
25,almant,0.837,boch,0.811,sinlig,0.698,danad,0.586,lifskraftigt,0.559,likbetydande,0.56,kolonisationsföretag,0.533
26,oförnuftig,0.836,fäfänga,0.81,individuell,0.697,menskor,0.586,familjelifvets,0.558,werkcligen,0.56,afvinna,0.533
27,fördunkla,0.836,tadel,0.809,förundransvärd,0.697,inbilsk,0.585,öfverändakasta,0.557,rothschildarne,0.559,verldsdelens,0.532
28,utwärtes,0.836,oförnuftig,0.809,ehr,0.696,sammanhålla,0.585,medeltida,0.557,människosläkte,0.557,kapitalism,0.532
29,förblanda,0.836,odygd,0.808,laglydig,0.696,undantränga,0.585,uppvexa,0.557,männistjor,0.557,oändeligen,0.532
