,sv_1740,sv_1740_d,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,simma,0.55,följe,0.631,tilfaller,0.465,dcl,0.48,verldshistorien,0.469,hufvudsumma,0.504,dolén,0.545,dol,0.608,dol,0.59
1,hop,0.511,fördel,0.631,mjölka,0.455,nionde,0.46,tidehvarfvet,0.46,vägbyggnad,0.501,deleu,0.538,deleu,0.555,dolon,0.548
2,lika,0.51,nytta,0.628,intag,0.454,tel,0.428,vele,0.453,skamfläck,0.498,äfi,0.525,delarue,0.493,dolo,0.519
3,hwilket,0.498,förman,0.627,upförde,0.451,statistik,0.425,wäuingen,0.449,gamia,0.488,delarue,0.52,dtl,0.493,dolén,0.498
4,första,0.459,förmögen,0.618,antwerpen,0.45,peru,0.423,ilin,0.445,förminskat,0.488,dol,0.519,delarne,0.491,deleu,0.497
5,som,0.403,kännare,0.615,arne,0.45,grekista,0.422,stålgravyr,0.445,hazardspel,0.485,dtl,0.518,dolo,0.482,oförsäkradt,0.491
6,ak,0.401,ersättning,0.614,class,0.449,omarbeta,0.418,tillökta,0.445,dele,0.484,delarno,0.505,dolon,0.482,munförråd,0.49
7,händelse,0.401,besparing,0.61,bayern,0.447,krigsmakt,0.417,inlin,0.444,folkvandring,0.48,beqvämliglieter,0.496,dél,0.48,delarno,0.49
8,lära,0.4,botemedel,0.608,nederländerna,0.446,älv,0.416,hatva,0.444,undergräft,0.479,brygghusbyggnad,0.496,dolén,0.478,bygnadsverksamheten,0.488
9,blifwit,0.396,myckenhet,0.599,aste,0.444,flygelbyggnad,0.415,fiel,0.441,jordegaren,0.479,vigg,0.489,nedrasad,0.475,dtl,0.486
10,$,0.394,yppighet,0.598,fortsättande,0.443,delarne,0.413,omnämde,0.441,landskapsstycke,0.479,specialkarta,0.489,delarno,0.473,spanmålsproducerande,0.484
11,wörö,0.392,osäker,0.598,declaration,0.442,werkställigheten,0.412,iiro,0.439,assureradt,0.478,utplånande,0.487,mängd,0.471,huvudsaklig,0.483
12,en,0.389,rad,0.597,åtnjutande,0.44,stas,0.41,dele,0.439,kommunikationsanstalt,0.477,prisreduktion,0.486,oförsäkradt,0.467,auvändts,0.482
13,wisa,0.385,förändring,0.596,föremäl,0.439,angränsa,0.41,apologi,0.439,föne,0.477,sidoskepp,0.484,delan,0.466,delarue,0.482
14,liten,0.382,somlige,0.595,sself,0.438,barack,0.409,ovärderlig,0.439,omreglering,0.476,naturtillgång,0.484,dejen,0.466,förnåmsta,0.48
15,af,0.381,utsprida,0.594,omgifwen,0.437,convention,0.406,otryckt,0.439,höstplöjning,0.476,ritkontor,0.482,huskomplex,0.465,smålotter,0.48
16,vara,0.378,tjäna,0.593,erkänd,0.437,granstap,0.405,rallare,0.439,båst,0.475,delea,0.481,klappbassin,0.463,industriland,0.477
17,bok,0.376,gäfwor,0.593,regementer,0.435,adertonde,0.405,delarne,0.438,resonnemanger,0.475,classer,0.48,reservförråd,0.46,mädgd,0.475
18,deraf,0.376,mängd,0.592,gälda,0.435,kärna,0.404,förkommen,0.438,afsåttningen,0.475,inwändiga,0.48,köksbyggnad,0.459,drätselkm,0.474
19,mycket,0.373,städerne,0.591,tina,0.435,tryckct,0.404,kompl,0.436,classer,0.475,dclcn,0.48,lånebehöfvande,0.459,yrkesfotograf,0.473
20,kropp,0.371,stöd,0.591,md,0.434,ärstid,0.403,nionde,0.436,lörsök,0.474,delarne,0.479,hefans,0.459,personår,0.472
21,nära,0.37,borgerlig,0.59,sölje,0.434,krigsgärd,0.401,zoologi,0.436,tiderymd,0.473,behölliga,0.478,vudsakligast,0.458,kapitalfattig,0.472
