,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
90,harm,0.701,darpä,0.605,stanna,0.524,marknadsplats,0.475,knuffa,0.439,derwio,0.447,bortilande,0.465,paralellt,0.47
91,församla,0.701,ängland,0.604,krossa,0.524,sofva,0.474,afsvimmade,0.439,dagöppning,0.447,hästärne,0.464,framskynda,0.47
92,gäst,0.701,rodney,0.604,utsända,0.524,passera,0.474,flimra,0.439,suden,0.447,mällan,0.463,löfdungar,0.47
93,tränga,0.701,eskader,0.604,ihjäl,0.524,nedstörta,0.474,hästgarde,0.439,vingslag,0.447,fjärdingsväg,0.463,hasivet,0.469
94,ärende,0.7,rhen,0.604,sture,0.524,framgå,0.474,landthus,0.439,ditut,0.447,skockas,0.463,uppföre,0.469
95,regel,0.7,debatt,0.603,skott,0.524,elfven,0.473,hojta,0.438,gräfvande,0.446,österut,0.463,skottlossning,0.469
96,sif,0.7,ankomst,0.603,explosion,0.523,höstråg,0.473,babords,0.438,dolce,0.446,grannstuga,0.463,uppöfver,0.468
97,nyfikenhet,0.7,ärkehertig,0.603,nork,0.523,defilera,0.473,afbrötos,0.438,kyrkbacke,0.446,asstäud,0.463,rosel,0.468
98,nalkas,0.7,rof,0.603,styndade,0.523,bonddräng,0.473,framme,0.438,löddrig,0.446,helgdagsdrägt,0.463,långsluttande,0.468
99,uppehålla,0.699,utanför,0.602,befallte,0.523,vandt,0.473,geck,0.438,foro,0.446,téten,0.463,flodbrädd,0.468
