,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,kansaa,0.9,europan,0.776,europan,0.887,europan,0.962
1,seassa,0.883,europassa,0.725,europau,0.835,enropan,0.896
2,meren,0.882,maakunnissa,0.72,saksanmaan,0.776,curopan,0.879
3,joiden,0.882,kansoissa,0.717,enropan,0.77,eurovan,0.857
4,melkein,0.875,muissaki,0.705,guropan,0.766,europau,0.852
5,suuria,0.875,amerikan,0.686,keisarikunnan,0.73,enroopan,0.841
6,maakunnan,0.863,aasian,0.679,europa,0.729,eurupan,0.838
7,mälistä,0.861,saksanmaan,0.675,maltakunnan,0.726,euroopau,0.837
8,niissä,0.86,kansojen,0.671,maakuntain,0.717,guropan,0.824
9,muutamat,0.86,maatamme,0.658,europassa,0.714,englannin,0.822
10,kuulumat,0.859,kansalta,0.655,aasian,0.705,euiopan,0.81
11,turkkilaiset,0.858,pohjois-,0.654,kreikkalaisten,0.699,aasian,0.797
12,aikoina,0.857,kohdissa,0.653,maakuntien,0.694,ranskan,0.79
13,näissä,0.854,kielillä,0.646,armenian,0.692,europassa,0.79
14,masten,0.853,sisä,0.642,euroopassa,0.691,intian,0.788
15,erinomattain,0.851,indian,0.641,itämallan,0.689,etelä-amerikan,0.778
16,niillä,0.849,suomalaisten,0.641,guropassa,0.678,indian,0.777
17,turkkilaisten,0.849,suomalaisissa,0.64,afrikan,0.677,saksanmaan,0.769
18,ihmisiä,0.848,maissa,0.638,turkinmaan,0.672,kiinan,0.769
19,huoneet,0.843,kielistä,0.637,puolan,0.671,länsi-euroopan,0.769
20,asukkaat,0.839,suomenkin,0.635,turkin,0.671,afrikan,0.765
21,pohjan,0.833,afrikan,0.633,amerikan,0.67,europa,0.764
22,miehiä,0.831,kansain,0.629,europaa,0.668,kansain,0.762
23,ihmisten,0.819,maasa,0.625,aasiassa,0.668,italian,0.76
24,ikäänkuin,0.812,aasiassa,0.624,pohjois-amerikan,0.666,australian,0.759
25,suomalaiset,0.807,länsi,0.624,indian,0.664,britannian,0.758
26,sanotaan,0.807,suomessakin,0.619,bosnian,0.664,espanjan,0.755
27,sia,0.805,muutenki,0.616,valtakuntain,0.659,amerikan,0.752
28,huo,0.804,itä-,0.615,nenäjän,0.658,amcriikan,0.751
29,runsaasti,0.804,suomenmaan,0.613,englandin,0.657,emämaan,0.75
30,kansat,0.803,etelä-,0.612,kiinan,0.656,ameriikan,0.749
31,nykyisin,0.799,useimmissa,0.609,italian,0.654,itaalian,0.749
32,suuret,0.798,itämeren,0.609,tnrkin,0.653,etelä-afrikan,0.748
33,meden,0.796,rajoilla,0.607,itälvallan,0.652,keski-aasian,0.747
34,olleen,0.795,egyptin,0.606,kreikan,0.652,unkarin,0.744
35,sangen,0.791,simis,0.605,turkissa,0.649,siamilaisten,0.739
36,esimerkiksi,0.787,monissa,0.603,mannermaan,0.649,saksan,0.737
37,rannalla,0.786,paikkakunnissa,0.602,kansain,0.649,maailman,0.736
38,kielellä,0.785,kreikan,0.599,itä-,0.648,pohjois-ameriikan,0.735
39,paitti,0.782,kansassa,0.598,bulgariassa,0.647,ihdysmaltain,0.734
40,huoneita,0.781,kansat,0.595,itämailla,0.645,euroopassa,0.733
41,maasta,0.781,muissakin,0.592,englannin,0.644,schmeitsin,0.732
42,joissa,0.78,melkeen,0.592,itämaiden,0.644,salsan,0.732
43,oppia,0.78,pohjais,0.587,turkinmaalla,0.644,itä-aasiassa,0.731
44,näinä,0.78,etelä,0.586,turkiu,0.644,ameriitan,0.73
45,maltakunnan,0.776,olletikin,0.585,tanskan,0.644,euroopankin,0.726
46,monta,0.776,maltakunnan,0.581,afganistanin,0.643,belgian,0.723
47,mereen,0.771,maiden,0.581,numänian,0.643,japanin,0.722
48,erittäin,0.77,pohjois,0.577,itävallan,0.642,tansain,0.719
49,keskenänsä,0.77,etenkin,0.576,maltain,0.641,laapanin,0.719
50,kaikista,0.769,yksinäisten,0.576,itsenäisyyden,0.64,mdysmaltain,0.719
51,aikaan,0.767,samossa,0.576,kuningaskunnan,0.64,ulkomaitten,0.714
52,namät,0.765,kaupunkien,0.576,unkarilaisten,0.639,kolmiliiton,0.714
53,uusia,0.764,kielissä,0.575,syrian,0.639,yhdysmaltain,0.713
