,fi_1880,fi_1880_d
0,myöhäinen,0.844
1,marhainen,0.838
2,warhainen,0.822
3,helteinen,0.772
4,leuto,0.75
5,kylmä,0.707
6,myöhä,0.704
7,poutainen,0.704
8,lauha,0.694
9,kylinä,0.693
10,tylmä,0.688
11,kolkko,0.686
12,lauhkea,0.678
13,lumeton,0.667
14,sateinen,0.665
15,syksyinen,0.665
16,kuuma,0.664
17,lylmä,0.663
18,ihaua,0.66
19,lämpöinen,0.655
20,pyryinen,0.654
21,suojainen,0.652
22,huono,0.651
23,aikainen,0.651
24,kalsea,0.647
25,satemen,0.646
26,tuulinen,0.645
27,miileä,0.644
28,kemäinen,0.642
29,laskiainen,0.639
30,valjennut,0.637
31,helteistä,0.637
32,myöhää,0.637
33,oikullinen,0.636
34,sateineen,0.636
35,myrskyinen,0.636
36,kewäinen,0.634
37,sumuinen,0.632
38,päimäpaiste,0.63
39,herttainen,0.629
40,synltä,0.626
41,loma,0.626
42,talivi,0.624
43,hämärä,0.624
44,suloinen,0.619
45,pilmetön,0.617
46,kaunis,0.615
47,ihana,0.614
48,alkukesä,0.614
49,sydännä,0.612
50,synkeä,0.61
51,lopullaan,0.61
52,101110,0.609
53,korkeimmallaan,0.609
54,kolkoksi,0.609
55,wirkistäwä,0.608
56,rasittava,0.608
57,sumi,0.607
58,leutoa,0.607
59,suotuisa,0.607
60,varhaista,0.607
61,synkkä,0.607
62,marhaista,0.606
63,kirkas,0.606
64,puhallellut,0.606
65,ailaseen,0.605
66,karmis,0.605
67,pimeä,0.604
68,paistanut,0.603
69,huouo,0.603
70,viileä,0.603
71,päimänpaiste,0.603
72,painostama,0.603
73,kylmempi,0.602
74,myötäinen,0.602
75,keivät,0.601
76,myöhäistä,0.601
77,epämakainen,0.6
78,aamuinen,0.6
79,lyhyt,0.599
80,kiusallinen,0.599
81,sateiseksi,0.599
82,lemäinen,0.599
83,riemuinen,0.598
84,lirlas,0.598
85,wirwoittawa,0.598
86,hnono,0.597
87,kylmine,0.596
88,epäsuotuisa,0.596
89,niukka,0.596
90,wiileä,0.595
91,taltvi,0.594
92,talmi,0.593
93,hätäinen,0.593
94,taunis,0.592
95,pilminen,0.591
96,koiva,0.59
97,rauhainen,0.589
98,lyhytaikainen,0.589
99,takatalvi,0.588
