,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,pappi,0.842,herttua,0.79,prinssi,0.864,kuuingas,0.916
1,kuninkaan,0.797,kuninkaan,0.769,knningas,0.85,knningas,0.904
2,pispa,0.794,ministeri,0.737,tuningas,0.849,prinssi,0.898
3,kerran,0.781,paawi,0.726,kuuingas,0.847,kruununprinssi,0.877
4,tuomari,0.771,napoleon,0.706,kuningatar,0.824,herttua,0.87
5,talonpoika,0.753,gas,0.696,herttua,0.817,ruhtinas,0.863
6,muuan,0.753,kuningatar,0.694,luningas,0.805,tuningas,0.859
7,poika,0.745,ruhtinas,0.687,kuuiugas,0.794,kuniugas,0.857
8,nuori,0.734,päämies,0.687,napoleon,0.762,prinsi,0.849
9,äiti,0.714,kuninkaalle,0.682,prinsi,0.755,kuningatar,0.848
10,pietari,0.697,lord,0.676,kuninkaaksi,0.753,luningas,0.832
11,mies,0.689,prinsi,0.669,ruhtinas,0.75,keisari,0.83
12,ruhtinas,0.686,keisari,0.667,kuninkaan,0.747,kuuiugas,0.826
13,pojan,0.684,amiraali,0.62,paami,0.741,paami,0.826
14,waimo,0.683,kunin,0.615,arkkiherttua,0.741,lunirgas,0.814
15,keisari,0.676,greiwi,0.615,paawi,0.74,priussi,0.81
16,istui,0.672,kenraali,0.613,keisariksi,0.725,kunirgas,0.807
17,papin,0.671,keisarille,0.596,teisari,0.725,lnningas,0.806
18,niminen,0.654,keisaria,0.591,keisari,0.724,arkkiherttua,0.802
19,tyttö,0.652,keisarin,0.588,sultaani,0.718,lcisari,0.801
20,eteen,0.652,paami,0.583,sankari,0.714,kossuth,0.791
21,tytär,0.65,kuningasta,0.583,garibaldi,0.712,rnhtinas,0.781
22,kuuli,0.647,asiamies,0.577,isabella,0.709,paawi,0.777
23,koira,0.645,kaarle,0.568,sultani,0.705,teisari,0.775
24,lapsi,0.642,keisarinna,0.563,ruhtiuas,0.704,leisari,0.774
25,wanha,0.639,englannin,0.563,hallitessa,0.704,hallitsija,0.773
26,poikansa,0.638,preussin,0.56,kardinaali,0.703,perintöprinssi,0.768
27,astui,0.635,pääkaupunkiin,0.56,pääministeri,0.692,shahi,0.767
28,rikas,0.635,kuninkas,0.553,lähettiläs,0.69,bismarck,0.766
