,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,mikä,0.76,hetki,0.588,aita,0.888,aita,0.883
1,paha,0.755,muosi,0.545,aila,0.694,aikakin,0.772
2,aiwan,0.743,käsissä,0.489,hetki,0.619,aila,0.757
3,asia,0.743,loppunut,0.487,odotus,0.617,hetki,0.678
4,syy,0.733,aikoja,0.483,aikoja,0.605,loma-aika,0.672
5,siltä,0.718,muuttunut,0.476,syksy,0.603,mäliaika,0.664
6,kuka,0.713,pitkäksi,0.468,kuukausi,0.586,aikn,0.656
7,elämä,0.708,aita,0.466,aikakausi,0.581,ivuosi,0.642
8,paras,0.701,talwi,0.458,mnosi,0.575,aika^,0.636
9,ihminen,0.701,teko,0.458,muosi,0.565,aikoja,0.617
10,ihmisen,0.701,tämäkin,0.456,kiire,0.559,vuodenaika,0.609
11,hymä,0.697,myöhään,0.456,wuosi,0.555,muosi,0.606
12,elää,0.696,meno,0.453,wuofi,0.549,vuosikymmen,0.601
13,aina,0.693,wuosi,0.452,talmi,0.539,muosikymmen,0.599
14,hywää,0.686,tapa,0.45,toimottu,0.529,ajanjakso,0.598
15,työ,0.684,syksy,0.45,nmosi,0.524,odotusaika,0.597
16,aiman,0.683,yö,0.449,miitko,0.524,vuosikausi,0.596
17,kyllä,0.679,hätä,0.448,muofi,0.521,elonaika,0.595
18,meille,0.678,sikin,0.448,tapa,0.519,miespolmi,0.587
19,hywä,0.678,leikki,0.448,ajat,0.516,wuosi,0.587
20,jokainen,0.676,kuluu,0.448,muost,0.513,aikakausi,0.587
21,ilo,0.674,hukkaan,0.447,lvuosi,0.51,nika,0.584
22,komin,0.673,sillon,0.445,askele,0.509,loma-aita,0.583
23,meitä,0.669,talmi,0.445,talwi,0.508,nmosi,0.582
24,nyt,0.668,siittä,0.444,miikko,0.508,määräaika,0.582
25,meijän,0.659,täysi,0.443,tallvi,0.507,wuosikymmen,0.581
26,tarpeellinen,0.657,täytetty,0.441,aamurusko,0.506,niuosi,0.58
27,lailla,0.655,alkaa,0.441,kewät,0.504,miikto,0.58
28,usko,0.653,meillä,0.437,vuosi,0.504,tuokio,0.574
29,parempi,0.653,pelko,0.436,toiwottu,0.503,wuusi,0.572
