,fi_1880,fi_1880_d
0,irroittaa,0.85
1,wääntää,0.803
2,pusertaa,0.776
3,puhkaista,0.766
4,tawoittaa,0.764
5,vääntää,0.756
6,kuristaa,0.755
7,määntää,0.753
8,musertaa,0.752
9,piiloittaa,0.749
10,työntää,0.745
11,tulehuttaa,0.74
12,katkaista,0.738
13,piilottaa,0.738
14,murtaa,0.736
15,tamoittaa,0.73
16,pehmittää,0.729
17,likistää,0.729
18,repiä,0.726
19,sitoa,0.724
20,halkaista,0.722
21,pyyhkäistä,0.716
22,raappia,0.715
23,puristaa,0.714
24,eroitlaa,0.708
25,eroiltaa,0.707
26,wäistää,0.707
27,lämistää,0.707
28,nielaista,0.703
29,puistaa,0.701
30,haawoittaa,0.7
31,kätkeä,0.698
32,kytkeä,0.697
33,satuttaa,0.697
34,temmata,0.695
35,puhdistaa,0.695
36,puskea,0.694
37,liikuttaa,0.693
38,irtautua,0.692
39,irtaantua,0.691
40,hangata,0.69
41,pysähdyttää,0.688
42,aukaista,0.687
43,imeä,0.687
44,särkeä,0.685
45,silitellä,0.683
46,kuumentaa,0.681
47,lääkitä,0.68
48,sulattaa,0.68
49,tunnustella,0.676
50,eroittaa,0.676
51,pudottaa,0.674
52,leikellä,0.674
53,liskoa,0.673
54,siepata,0.673
55,tutahuttaa,0.671
56,croittaa,0.671
57,lyödä,0.671
58,taittaa,0.668
59,karaista,0.666
60,jäähdyttää,0.666
61,rutistaa,0.666
62,hampaillaan,0.666
63,miskata,0.665
64,takoa,0.664
65,nostaa,0.664
66,käännellä,0.664
67,murentaa,0.663
68,väistää,0.662
69,punoa,0.662
70,purra,0.661
71,haihduttaa,0.661
72,ruhjoa,0.66
73,sysätä,0.659
74,vierittää,0.659
75,nyhtää,0.659
76,leikata,0.658
77,potkaista,0.658
78,tukistaa,0.657
79,säikäyttää,0.657
80,tamoitella,0.656
81,taluttaa,0.656
82,eroiltua,0.654
83,myrkyttää,0.654
84,tallata,0.654
85,pysäyttää,0.654
86,tavoittaa,0.653
87,pelastaa,0.652
88,tulehduttaa,0.652
89,pidätellä,0.651
90,pyöräyttää,0.651
91,tnntea,0.65
92,syöstä,0.65
93,kietoa,0.649
94,wiskata,0.647
95,murtua,0.647
96,iskeä,0.647
97,kostuttaa,0.647
98,juoksuttaa,0.646
99,sammuttaa,0.645
