,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,italian,0.606,suomi,0.73,ruolsi,0.83
1,tanskan,0.606,opetuskielenä,0.705,rnotsi,0.81
2,valtakunnassa,0.601,lenä,0.687,ruoisi,0.777
3,valtakunnan,0.597,ruotsilla,0.675,menäjä,0.766
4,snomen,0.596,latina,0.668,nuotsi,0.718
5,europan,0.59,ruotsin,0.663,opetuskielenä,0.708
6,europa,0.589,kielenä,0.66,suomi,0.697
7,saksanmaan,0.585,ruotsiu,0.636,puhekielenä,0.681
8,kansalta,0.583,latinan,0.635,ruotstn,0.678
9,maltakunnan,0.582,rnotsin,0.632,keskustelukielenä,0.677
10,kreikan,0.577,ruotsin-,0.632,opetuskieli,0.677
11,italia,0.575,snomi,0.622,puhekieli,0.675
12,saksan,0.574,suomella,0.619,snomi,0.672
13,sotamäki,0.573,ruotiin,0.607,ruotsi-,0.665
14,liitto,0.573,suomenkieli,0.606,lielenä,0.664
15,norjan,0.573,suomenkielisissä,0.6,norja,0.651
16,valta,0.571,kieli,0.599,pääkielenä,0.65
17,itämeren,0.57,norja,0.59,venäjänkieli,0.65
18,kielelle,0.565,suomalaisissa,0.586,ruotsin,0.648
19,euroopan,0.565,äidinkieli,0.578,ruolsin,0.648
20,kieli,0.564,ruotsinkielisissä,0.576,suomeu-,0.646
21,ruotsin,0.557,opetuskieleksi,0.572,ruotsin-,0.646
22,europassa,0.55,oppikouluissa,0.568,äidinkielenään,0.641
23,preussi,0.549,ruotsalaisissa,0.567,wirkakielenä,0.639
24,kielillä,0.549,opetuskieli,0.567,rnotsin,0.634
25,suomalaisissa,0.548,nuotsiu,0.566,lielinen,0.633
26,italiassa,0.544,ruotsinkieli,0.562,äidinkielenä,0.633
27,äitimme,0.543,opetuskie,0.558,latina,0.631
28,kielistä,0.541,fuomen,0.546,kielenä,0.63
29,kielten,0.539,suomenmaa,0.538,ruotnn,0.624
30,latinan,0.535,kieleksi,0.537,virkakielenä,0.619
31,yhteys,0.533,tanska,0.536,licli,0.618
32,hallitusta,0.53,ruotsalaisiin,0.532,kieli,0.61
33,suomenkieli,0.529,suomenkielisiin,0.529,maakuntana,0.609
34,nenäen,0.528,kielessä,0.526,ruotsiu,0.606
35,kieleen,0.525,lyseoissa,0.524,suomi-,0.606
36,liittokunnan,0.523,opistoissa,0.522,kieleltään,0.606
37,wenäen,0.522,kirjallisuudessa,0.521,salsan-,0.606
38,vallan,0.522,kouluissamme,0.518,saksankieltä,0.604
39,hallituksen,0.522,suomalaisiin,0.517,tshekin,0.602
40,maakunta,0.519,kouluissa,0.515,ruotsalaisena,0.599
41,sotaa,0.519,kansallisuus,0.514,ruotsinkieliä,0.598
42,kiinan,0.515,suomenkielisessä,0.511,lietenä,0.598
43,simis,0.515,laulussa,0.51,ruolfin,0.597
44,halli,0.514,opetuslaitoksissa,0.51,saksankieli,0.595
45,puolan,0.511,miron,0.507,ruotsia,0.595
46,ranskan,0.511,oppilaitoksissa,0.499,ruoisin,0.593
47,mallan,0.51,suomen-,0.498,kielinen,0.593
48,suomenkin,0.509,suomenki,0.498,ruotsinkin,0.59
49,aasian,0.507,tieli,0.495,ruosin,0.587
50,sota,0.506,kielissä,0.494,ruotsinkieltä,0.586
51,suomi,0.506,liettä,0.494,lenä,0.581
52,itä,0.506,realikouluissa,0.492,ruolsia,0.581
53,itä-,0.505,ruotsinkielen,0.491,kiihkoiset,0.577
54,frankriikin,0.504,latinaa,0.491,tieli,0.576
55,yleinen,0.503,ruotsalaisuus,0.489,suonien-,0.575
56,suonien,0.503,suomenkielessä,0.489,kansankieli,0.574
57,laisten,0.503,ruotsinkielessä,0.489,norjalla,0.573
58,malta,0.503,unkari,0.488,englanninkieli,0.573
59,ministeri,0.501,korkeammissa,0.487,ruotsilla,0.573
60,ruotsalaisten,0.5,latinassa,0.486,lielessä,0.572
61,kirjallisuus,0.5,paineltuna,0.485,kielenään,0.571
62,danskan,0.496,kieleen,0.484,ruotfin,0.571
63,englandin,0.495,virkakunnissa,0.484,opetuskieleksi,0.57
64,itämallan,0.495,suomenkielinen,0.484,suomen-,0.569
65,länsi,0.493,ruotsalaisella,0.483,suomella,0.568
66,keskus,0.492,kielinen,0.482,lieli,0.567
67,hal,0.492,suomenkin,0.481,valtiona,0.567
68,kielessä,0.491,salsan,0.48,tielessä,0.567
69,paamin,0.488,ruotsinkieltä,0.48,luomen-,0.566
70,sardinia,0.484,oikeus-,0.48,ruotsinkieli,0.565
71,kie,0.483,rea,0.479,syntyperältään,0.564
72,persian,0.482,suomalaisuus,0.479,mirallisena,0.564
73,wenäjä,0.48,suomenkielen,0.478,suumi,0.563
74,wiron,0.479,suomenkieltä,0.477,suomenkielestä,0.561
75,itämältä,0.478,saksan,0.476,kielekseen,0.56
76,paami,0.477,viron,0.474,kansallisuus,0.559
77,suomelle,0.477,opetuskielellä,0.474,kielisissä,0.558
78,indiassa,0.476,maantiedossa,0.473,kielisenä,0.558
79,saksa,0.474,kotimainen,0.472,suomenkieliä,0.557
80,sotamäen,0.472,salsa,0.471,ruotsinkielissä,0.557
81,suomenmaan,0.471,ruotsinkielisiin,0.47,luomea,0.556
82,neapelin,0.47,lielen,0.469,tielisissä,0.555
83,eng,0.47,kielen,0.469,äidinkieli,0.554
84,muissaki,0.47,lyseoita,0.469,ruotftn,0.552
85,amerikan,0.468,ruotsalaisia,0.468,tanska,0.552
86,suomalaisten,0.468,nuotsin,0.468,nuolsin,0.551
87,suomeu,0.468,suomcu,0.467,ummikko,0.547
88,sotaan,0.467,mirallisissa,0.467,lielelsi,0.547
89,ruotsissa,0.465,painettuna,0.467,norjaa,0.547
90,englannin,0.464,saksa,0.466,menäjän-,0.547
91,tuomen,0.464,lisissä,0.466,saksankielisiä,0.546
92,englanti,0.464,kieli-oppi,0.466,lieltä,0.545
93,pohjois-,0.459,tanskan,0.465,saksankielten,0.545
94,preussin,0.459,nnotsin,0.464,kielistä,0.544
95,viljelys,0.458,kielioppi,0.462,tiele,0.543
96,aasiassa,0.457,hebrean,0.461,englannin-,0.54
97,kansa,0.456,suomalaiset,0.461,suomenkieltä,0.54
98,tiede,0.455,virastoissa,0.46,ticli,0.54
99,maasa,0.455,kielelle,0.46,suomalaisissa,0.539
