,fi_1860,fi_1860_d
0,kuoletus,0.815
1,korko,0.759
2,jäänös,0.75
3,poisluettua,0.739
4,korolle,0.725
5,wähennys,0.725
6,säästöstä,0.724
7,welka,0.708
8,pääomista,0.705
9,lainoille,0.703
10,korwaus,0.703
11,wähennystä,0.695
12,arwiolta,0.694
13,saatawista,0.693
14,wclka,0.686
15,kulunki,0.686
16,lainatuista,0.685
17,maksettawaksi,0.683
18,jäännös,0.678
19,kulungit,0.674
20,tuloista,0.673
21,matso,0.673
22,hyyry,0.672
23,rahoista,0.665
24,wajaus,0.663
25,seteleistä,0.663
26,kaswu,0.662
27,lainoista,0.661
28,korkoja,0.66
29,lainasta,0.659
30,korot,0.657
31,weroista,0.654
32,intressiä,0.653
33,tnlot,0.652
34,pää-omasta,0.65
35,maksot,0.649
36,rästejä,0.646
37,waroista,0.644
38,säästö,0.644
39,rahoille,0.643
40,matsettu,0.642
41,wero,0.642
42,osakkeista,0.641
43,läänös,0.639
44,kormaus,0.639
45,makso,0.639
46,arwio,0.637
47,wcro,0.637
48,tuloissa,0.637
49,summasta,0.637
50,maksaminen,0.635
51,werot,0.633
52,vuotuiset,0.633
53,lorot,0.632
54,rahastosta,0.627
55,matsot,0.626
56,maksamiseksi,0.626
57,lunastus,0.625
58,korkoineen,0.624
59,mähennys,0.624
60,malso,0.623
61,ulosteot,0.621
62,kulunkien,0.62
63,"450,000",0.62
64,rahamääräys,0.619
65,korkoa,0.619
66,wuotuinen,0.618
67,jywissä,0.618
68,lainain,0.616
69,rahastoon,0.615
70,pensioni,0.614
71,prosentti,0.613
72,sumina,0.613
73,wcrot,0.612
74,kassaan,0.61
75,summa,0.61
76,ruunulle,0.609
77,vähennys,0.609
78,"1,500,000",0.609
79,kruunulle,0.608
80,säästöpankkiin,0.608
81,maksuksi,0.607
82,kassasta,0.606
83,anviolta,0.605
84,kuitiksi,0.604
85,matsut,0.603
86,säästöön,0.603
87,yhdyspankissa,0.603
88,werosta,0.602
89,tawaroista,0.602
90,rästiksi,0.602
91,prosenttiin,0.599
92,jymissä,0.599
93,maksu,0.599
94,rästit,0.598
95,yhdyspankkiin,0.597
96,kustannukset,0.596
97,korkojen,0.596
98,"19,000",0.596
99,kustannuksista,0.596
