,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,taudin,0.936,hengellä,0.684,lutu,0.901,lukumäärä,0.942
1,sairain,0.924,lisääntynyt,0.656,lukumäärä,0.899,lnku,0.934
2,sairasta,0.903,henkeen,0.623,lukn,0.894,lnkn,0.916
3,hengeä,0.853,wäestö,0.588,lnku,0.887,lukn,0.908
4,henkiä,0.817,arwo,0.588,lnkn,0.838,lutu,0.887
5,kuollut,0.759,henkeä,0.58,oppilasmäärä,0.746,lutumäärä,0.853
6,ihmistä,0.706,määrä,0.557,lulu,0.73,lntu,0.829
7,sairaaksi,0.702,parikuntaa,0.544,keskimäärä,0.699,lulu,0.818
8,parani,0.697,oppilaista,0.542,mäkiluku,0.691,lulumäärä,0.816
9,i3,0.693,kaikkiaan,0.541,lästiluku,0.67,lukll,0.815
10,päimästä,0.688,miehen-,0.522,väkiluku,0.666,keskimäärä,0.794
11,jäi,0.687,wuodesta,0.517,wäkiluku,0.664,lv'v,0.764
12,sairastui,0.684,yhteensä,0.511,henkeen,0.649,prosenttiluku,0.749
13,ilma,0.672,summa,0.507,lumusta,0.625,lisäännys,0.743
14,kuolleita,0.665,poika-,0.507,syntyneitten,0.622,lufu,0.743
15,joista,0.649,104,0.505,syntyneiden,0.604,oppilaslutu,0.729
16,kowa,0.638,kuolleista,0.503,oppilasta,0.602,oppilasluku,0.723
17,sairastamaan,0.637,tuhanteen,0.502,henleä,0.596,enemmyys,0.72
18,3o,0.637,jaettu,0.498,oppilaista,0.594,lnlu,0.716
19,lasta,0.621,101,0.489,määrä,0.593,jäsenluku,0.713
20,syntyi,0.62,seassa,0.487,henkeä,0.588,oppilaslulu,0.711
21,saakka,0.62,oppilaisten,0.486,enentynyt,0.588,oppilasmäärä,0.71
22,i5,0.617,paljous,0.484,lisääntyminen,0.587,luolemaisuus,0.705
23,kylmä,0.6,asukasta,0.472,prosentti,0.586,kumäärä,0.704
24,lunta,0.598,syntyneitä,0.467,kaikkiansa,0.584,miesluku,0.702
25,46,0.597,liikkeessä,0.463,tappio,0.583,jäsenmäärä,0.702
26,wälillä,0.593,nousnut,0.458,wähennyt,0.578,luwusta,0.696
27,19,0.591,tnh,0.457,luwusta,0.578,asukasluku,0.695
28,päi,0.591,mieheen,0.455,paljous,0.578,keski-ikä,0.688
29,teen,0.591,kuolleita,0.454,oppilaasta,0.575,tuolemaisuus,0.686
30,elok,0.588,säästöä,0.451,kaikkiaan,0.574,mäenlisäys,0.683
31,23,0.579,49,0.449,lisäys,0.574,lumusta,0.682
32,18,0.578,keskimäärin,0.447,heukeä,0.566,raha-armo,0.68
33,tuuli,0.576,mies-,0.447,lisääntynyt,0.563,lisääntyminen,0.68
34,kolmatta,0.576,102,0.446,oppilasten,0.561,keskiluku,0.679
35,heinäk,0.573,laskettu,0.441,henteä,0.559,wäenlisäys,0.676
36,26,0.572,97,0.439,kaikkiastaan,0.556,raha-arwo,0.674
37,melkeen,0.569,37,0.437,wähentynyt,0.555,lufumäärä,0.672
38,tauti,0.568,paikoille,0.436,sumina,0.555,lisäys,0.672
39,27,0.567,tuh,0.436,hengeksi,0.551,eneneminen,0.672
40,28,0.565,79,0.436,enennyt,0.55,suhdeluku,0.671
41,3i,0.56,109,0.431,suhta,0.548,mäkilutu,0.67
42,2i,0.557,säästö,0.431,lukumäärän,0.547,jäsenlulu,0.669
43,7,0.552,lastia,0.431,suhde,0.543,mäkiluku,0.667
44,mennyt,0.55,niinmuodoin,0.43,lv'un,0.542,asukasmäärä,0.667
45,22,0.549,mähempi,0.43,arwo,0.54,wäliluku,0.665
46,asti,0.547,135,0.43,kuolleitten,0.538,prosentti,0.663
47,wiellä,0.54,54,0.428,hengellä,0.536,kuolcmaisuus,0.661
48,yhteen,0.539,jako,0.428,lukumäärästä,0.536,enennys,0.661
49,puolta,0.539,miljonaa,0.428,syntyneistä,0.534,kuolemaisuus,0.66
50,saatu,0.538,milj,0.427,lisäynyt,0.531,mätiluku,0.655
51,alusta,0.536,94,0.426,snmma,0.53,lukuisuus,0.653
52,muonna,0.534,tuhatta,0.426,lisäytynyt,0.529,prosenttimäärä,0.653
53,39,0.532,paria,0.426,oppilaalla,0.529,mähennys,0.651
54,tiimaa,0.532,lisään,0.426,oppilaisista,0.525,muosimaksu,0.65
55,i4,0.531,87,0.424,suuruus,0.523,lasluku,0.648
56,päim,0.531,moitto,0.424,miespuolta,0.521,kuolcwaisuus,0.647
57,stä,0.529,teensä,0.423,wajaus,0.521,mätilulu,0.647
58,päin,0.526,nousee,0.421,karttunut,0.521,mälilutu,0.647
59,14,0.519,wero,0.421,kuolleista,0.521,wäkilulu,0.644
60,9,0.514,ruplaan,0.42,wäestö,0.521,yhteenlaskettu,0.644
61,34,0.514,64,0.418,lisääntyi,0.519,mätilutu,0.643
62,yöllä,0.514,47,0.417,ihteensä,0.519,wähennys,0.642
63,43,0.513,kustannus,0.417,mähennys,0.517,lunmsta,0.642
64,35,0.512,39,0.416,lukumäärää,0.516,lukumäärästä,0.642
65,löytyi,0.511,palkka,0.416,miljonaan,0.516,väkiluku,0.641
66,na,0.51,noin,0.415,oppilaisten,0.515,lukumäärää,0.636
67,20,0.509,seuralla,0.415,yhteeusä,0.514,kuolewaisuus,0.632
68,6,0.509,184,0.413,pilasta,0.513,yhteissumma,0.632
69,lut,0.505,84,0.412,prosenttiin,0.513,wätiluku,0.63
70,17,0.505,57,0.411,poika-,0.512,mäkilulu,0.63
71,37,0.504,74,0.41,parikuntaa,0.511,väliluku,0.629
72,25,0.502,ainoana,0.409,summa,0.511,vähennys,0.628
73,33,0.502,34,0.406,maikutus,0.51,inku,0.627
74,samana,0.499,tub,0.406,miehenpuolta,0.507,mäliluku,0.623
75,2o,0.497,48,0.406,ikä,0.505,kuolevaisuus,0.62
76,12,0.494,löytyi,0.406,luwultaan,0.505,rahaliike,0.62
77,tena,0.493,kolera,0.404,vähentynyt,0.504,lasmäärä,0.619
78,koko,0.493,kysymys,0.403,pilaista,0.504,wäkiluku,0.619
79,kokonaan,0.491,96,0.403,yhteensä,0.503,luolewaisuus,0.618
80,loppuun,0.49,kirjain,0.403,kuolleiden,0.503,keskimääräinen,0.616
81,i2,0.49,yleensä,0.403,oppilaiden,0.502,tilausmäärä,0.615
82,loka-kuusa,0.489,noussut,0.403,syyslukukaudella,0.501,wätilutu,0.614
83,kesäk,0.487,86,0.402,miehenp,0.501,arivo,0.613
84,kuoli,0.487,hengelle,0.401,vähennyt,0.5,tuolewaisuus,0.613
85,48,0.486,armo,0.401,wähennys,0.5,aliluku,0.612
86,tenä,0.486,180,0.401,ylläpidoksi,0.5,mastuusumma,0.611
87,kymmentä,0.484,32,0.4,oppilaitten,0.498,lumäärä,0.611
88,42,0.483,82,0.4,lapsista,0.497,lukumäärässä,0.608
89,44,0.482,pituus,0.399,äpäriä,0.497,valmistusmäärä,0.606
90,toista,0.481,upseeria,0.399,pariskuntaa,0.496,lukumäärän,0.606
91,29,0.481,makso,0.398,pyrkijöitä,0.495,mälilulu,0.606
92,jalkaa,0.481,44,0.398,äpärää,0.495,tulopuoli,0.604
93,pitkä,0.479,51,0.398,waikutus,0.493,wäkilutu,0.603
94,miestä,0.477,62,0.397,kumäärä,0.491,kulutus,0.601
95,yhteensä,0.477,hoito,0.396,miehen-,0.49,vajaus,0.601
96,21,0.476,luwun,0.396,arlvo,0.49,makuutussumma,0.599
97,70,0.474,kirjasto,0.396,waimonp,0.488,kantamuus,0.596
98,toissa,0.471,88,0.394,arvo,0.487,awiottomain,0.596
99,lapsia,0.471,yht,0.394,mähennyt,0.487,suhta,0.595
