,fi_1880,fi_1880_d
0,periaatteellinen,0.772
1,simuasia,0.769
2,puolinainen,0.745
3,ehdollinen,0.74
4,yksipuolinen,0.725
5,loogillinen,0.722
6,luonnollinen,0.72
7,näennäinen,0.715
8,aatteellinen,0.705
9,todenmukainen,0.701
10,pelkkä,0.694
11,perusteeton,0.693
12,ristiriitainen,0.691
13,poliitillinen,0.691
14,moraalinen,0.69
15,matillinen,0.69
16,epäselmä,0.689
17,päinmastainen,0.688
18,pääasiallinen,0.685
19,kielellinen,0.685
20,seltvä,0.678
21,mirheellinen,0.677
22,oleellinen,0.676
23,maillinainen,0.676
24,perusteellinen,0.676
25,ulkonainen,0.675
26,epätäydellinen,0.675
27,oikeudellinen,0.675
28,mähäpätöinen,0.672
29,epäonnistunut,0.672
30,johdonmukainen,0.671
31,selmempi,0.667
32,persoonallinen,0.664
33,pääasiallisin,0.663
34,ylimalkainen,0.662
35,luuloteltu,0.662
36,päinwastainen,0.66
37,oikeudenmukainen,0.657
38,asiallinen,0.656
39,hyödytön,0.656
40,epäselwä,0.655
41,kumoamaton,0.654
42,poliittinen,0.654
43,vähäpätöinen,0.653
44,ratkaisewa,0.653
45,sitowa,0.653
46,mieskohtainen,0.652
47,mielimaltainen,0.652
48,tärtein,0.652
49,virheellinen,0.652
50,selwempi,0.651
51,mitätön,0.65
52,yhdenlainen,0.649
53,silminnähtämä,0.648
54,arkaluontoinen,0.647
55,ratkaisematon,0.647
56,epäkäytännöllinen,0.646
57,politillinen,0.645
58,sellvä,0.645
59,tehoton,0.644
60,luonnoton,0.643
61,epämääräinen,0.643
62,heikoin,0.643
63,osittainen,0.642
64,waillinainen,0.642
65,yksimielinen,0.642
66,laweampi,0.641
67,puutteellinen,0.641
68,tarpeeton,0.641
69,yhtäläinen,0.639
70,oikeampi,0.638
71,malttamaton,0.637
72,vaillinainen,0.637
73,todellinen,0.635
74,valheellinen,0.634
75,pintapuolinen,0.633
76,mahmin,0.632
77,riidanalainen,0.632
78,silmäänpistämä,0.632
79,laajaperäinen,0.632
80,todenperäinen,0.631
81,törkeä,0.631
82,mähäpätöincn,0.631
83,puolueellinen,0.631
84,oikea,0.63
85,hallinnollinen,0.63
86,teoreettinen,0.629
87,symällinen,0.628
88,seliuä,0.628
89,ydinkohta,0.627
90,satunnainen,0.627
91,merkitykseltään,0.626
92,epäilemätön,0.626
93,päinvastainen,0.625
94,tärkein,0.625
95,väärä,0.625
96,ilmeinen,0.624
97,felwä,0.623
98,jonkunlainen,0.623
99,jonkinlainen,0.623
