,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,maksu,0.675,anvo,0.678,raha^,0.703
1,rahassa,0.653,welka,0.672,naha,0.677
2,laina,0.646,rahan,0.666,raha-,0.662
3,kustannus,0.631,arlvo,0.661,toimilamari,0.614
4,kalu,0.616,velka,0.658,rahll,0.613
5,kruunulle,0.599,wclka,0.648,toimilamarin,0.612
6,makso,0.597,pää-oma,0.639,welka,0.602
7,rahan,0.593,seteli,0.638,roha,0.598
8,wero,0.584,wcro,0.637,krediitti,0.59
9,tamara,0.583,rahaa,0.636,mclka,0.582
10,moitto,0.574,melka,0.632,valtiolle,0.581
11,melaksi,0.573,snmma,0.612,toimikamarille,0.577
12,arwo,0.57,metalli,0.611,waltiollc,0.574
13,rahaa,0.567,maksaminen,0.606,wclka,0.571
14,paperi,0.566,valtiolle,0.603,rahan,0.569
15,palkinto,0.565,korko,0.601,rahaa,0.569
16,rahalla,0.563,wero,0.6,wero,0.567
17,tasan,0.557,rahasta,0.598,rahalaina,0.565
18,weron,0.554,summa,0.594,raba,0.563
19,waiwaisten,0.552,vero,0.59,malliolle,0.563
20,welka,0.552,rabaa,0.59,toimilamarissa,0.561
21,hopiaa,0.548,kulunki,0.589,lisämäärä,0.557
22,työ,0.548,yhdyspankkiin,0.587,melka,0.554
23,rahaksi,0.544,sumina,0.583,ulosmaksu,0.552
24,kustannukset,0.544,arwo,0.583,maltiollc,0.549
25,mak,0.538,kormaus,0.574,maltiomelan,0.548
26,summa,0.536,maksu,0.573,toimikamariin,0.545
27,muosittain,0.534,talletettu,0.572,miinamero,0.541
28,lainan,0.533,arvo,0.571,monopoli,0.54
29,korko,0.533,kultaraha,0.57,mallion,0.538
30,tawara,0.524,prosentti,0.57,maltiolle,0.538
31,hop.,0.519,rahalle,0.567,maltiopankin,0.536
32,rahat,0.517,edeswastaus,0.566,aitiolle,0.536
33,kruunulta,0.514,rahasto,0.566,krediti,0.536
34,tawa,0.513,voitto,0.566,lvero,0.535
35,kruunu,0.512,pääoma,0.566,rahai,0.534
36,yhdistys,0.512,lvoitto,0.564,rahain,0.53
37,hoito,0.508,pankista,0.562,waltiowelan,0.529
38,luonnossa,0.506,panos,0.561,korto,0.528
39,rahain,0.506,matso,0.561,truunulle,0.526
40,hopeata,0.505,rahasumma,0.561,waltiorahastoon,0.526
41,ansio,0.505,panttina,0.561,maltiorahaston,0.525
42,poltto,0.502,kukkaroon,0.56,waltiolle,0.525
43,postissa,0.502,hopean,0.555,maillinli,0.524
44,kassaan,0.501,vähennys,0.554,valtio,0.524
45,yksityisten,0.495,setelien,0.554,velka,0.523
46,lainaksi,0.494,mcro,0.553,vallio,0.523
47,summan,0.492,kaswu,0.553,matsettawatsi,0.523
48,elatus,0.491,rahoja,0.552,paperirahan,0.52
49,wuosittain,0.49,moitto,0.551,wallion,0.518
50,kalliimpi,0.489,rahoissa,0.547,maltlo,0.516
51,kalliimmaksi,0.488,pankkiin,0.547,valtion,0.515
52,rahoja,0.488,hopearaha,0.545,waltion,0.515
53,summat,0.488,rahalla,0.544,arwu,0.514
54,maksamaan,0.487,kruunulle,0.544,pantilta,0.514
55,rahoista,0.486,korotus,0.543,pankilta,0.514
56,saanti,0.485,kruunu,0.543,toimikamari,0.514
57,jokaiselle,0.483,kalu,0.543,arivo,0.514
58,puute,0.479,summat,0.54,maltlon,0.514
59,kassan,0.477,jäännös,0.539,takaussumma,0.513
60,summasta,0.475,pankilla,0.538,kruunu,0.51
61,kalun,0.472,rahana,0.538,vaillinki,0.51
62,papeille,0.471,säästöön,0.537,tvaltio,0.51
63,maakunnalle,0.471,eläke,0.537,waltio,0.508
64,maksut,0.47,makso,0.536,maltion,0.508
65,maksettu,0.469,rahamäärä,0.535,malsulsi,0.507
66,kullekin,0.468,valtio,0.535,rahna,0.507
67,korkoa,0.468,rahat,0.534,valtiolla,0.507
68,kassasta,0.468,kukkarosta,0.533,altion,0.506
69,hopia,0.467,ruplan,0.531,maltiu,0.506
70,maksetaan,0.465,ruunulle,0.531,menona,0.506
71,tawaran,0.465,kukkarossa,0.53,tvaltion,0.505
