,fi_1880,fi_1880_d
0,neuwotella,0.847
1,neumotella,0.832
2,keskustella,0.739
3,leslustella,0.717
4,puhella,0.69
5,kiistellä,0.673
6,teddä,0.671
7,tendä,0.654
8,väitellä,0.654
9,telidä,0.653
10,tekdä,0.647
11,seurustella,0.645
12,tuumailla,0.642
13,vaieta,0.642
14,jutella,0.641
15,tuumitella,0.64
16,tenää,0.634
17,sopia,0.632
18,leikitellä,0.631
19,päätellä,0.63
20,menetellä,0.628
21,supia,0.626
22,tehdi,0.624
23,selvitä,0.624
24,puhua,0.623
25,punua,0.618
26,tebdä,0.618
27,riidellä,0.614
28,vastata,0.612
29,tehdä,0.611
30,sovitella,0.611
31,levätä,0.602
32,teliää,0.6
33,päättää,0.599
34,miettiä,0.597
35,hävetä,0.596
36,riippua,0.596
37,tapantua,0.596
38,tapailtua,0.595
39,neumoteltuaan,0.593
40,tehdl,0.59
41,vapautua,0.59
42,tiedustella,0.59
43,tehds,0.589
44,puliua,0.588
45,pudua,0.585
46,kävää,0.583
47,huolehtia,0.583
48,valita,0.582
49,suoriutua,0.579
50,luopua,0.579
51,arvata,0.578
52,kääntyä,0.577
53,puhna,0.575
54,viivyttää,0.574
55,selvittää,0.569
56,harkita,0.568
57,tedää,0.568
58,kysellä,0.567
59,pnhua,0.567
60,päättöä,0.567
61,neuwoteltuaan,0.566
62,pidättyä,0.566
63,kilpailla,0.564
64,maieta,0.561
65,läliteä,0.559
66,lädteä,0.557
67,tehoa,0.557
68,länteä,0.556
69,ystäviensä,0.556
70,kävellä,0.555
71,ehdä,0.555
72,avata,0.554
73,neuvotellut,0.554
74,kävclä,0.553
75,ratkaista,0.553
76,kuulustella,0.55
77,valvoa,0.549
78,läänlyä,0.548
79,nöyrtyä,0.547
80,tclidä,0.547
81,luvata,0.545
82,levähtää,0.544
83,keskustelemalla,0.544
84,lääntyä,0.543
85,selvitellä,0.543
86,kuvailla,0.543
87,pulina,0.542
88,huvitella,0.542
89,kustella,0.542
90,toivoa,0.541
91,tekää,0.541
92,vallita,0.54
93,puuhata,0.54
94,lilpailla,0.539
95,mukautua,0.539
96,esitellä,0.538
97,neuvottelun,0.538
98,työskennellä,0.538
99,nändä,0.537
