,fi_1880,fi_1880_d
0,politiki,0.887
1,polititi,0.886
2,politiikki,0.879
3,politili,0.866
4,politiilla,0.832
5,ulkopolitiikka,0.83
6,politiiki,0.825
7,diplomatia,0.821
8,sanomalehdistö,0.798
9,keisarikunta,0.775
10,ruhtinaskunta,0.765
11,kolminaisliitto,0.76
12,kolmiliitto,0.745
13,itsenäisyys,0.743
14,waltiomuoto,0.742
15,yliherruus,0.742
16,liittolainen,0.737
17,tiikka,0.737
18,tullisota,0.734
19,puolueettomuus,0.733
20,työmiespuolue,0.73
21,kuningaskunta,0.726
22,puolue,0.719
23,sotapuolue,0.715
24,kansallispuolue,0.715
25,diplomatiia,0.711
26,alusmaa,0.71
27,hallitusmuoto,0.709
28,politiikissa,0.708
29,politilia,0.707
30,wenäjä,0.707
31,venäjä,0.705
32,saksanmaa,0.703
33,politiikkaa,0.701
34,sosialismi,0.701
35,ministeristö,0.7
36,politiikassa,0.699
37,wallankumous,0.695
38,oikeuslaitos,0.694
39,keskipuolue,0.693
40,tasamaita,0.692
41,liitto,0.691
42,ylimalta,0.691
43,nenäjä,0.689
44,wapaawalta,0.689
45,yliwalta,0.689
46,maalaki,0.688
47,monarkia,0.687
48,ministeristä,0.687
49,waltakunta,0.687
50,vallankumous,0.686
51,mallankumous,0.686
52,sotalaitos,0.686
53,ministeristo,0.685
54,edistyspuolue,0.684
55,wenäja,0.682
56,politiikan,0.681
57,politiikalle,0.681
58,liittokunta,0.68
59,tasawalta,0.68
60,politiikia,0.68
61,pnolue,0.679
62,valtakunta,0.679
63,polititia,0.679
64,rahakanta,0.678
65,palkolaki,0.678
66,ranska,0.678
67,ylimystö,0.678
68,agitatsiooni,0.677
69,itäwalta,0.675
70,tukistus,0.675
71,maltakunta,0.675
72,kukistaminen,0.674
73,kiihoitus,0.674
74,itaalia,0.674
75,työwäenliike,0.674
76,rajariita,0.673
77,politiikkia,0.673
78,sodanjulistus,0.673
79,vihollisuus,0.672
80,politikia,0.672
81,puollustus,0.672
82,maakunta,0.671
83,erikoisasema,0.671
84,mallaksi,0.671
85,eduskunta,0.671
86,miuisteristö,0.671
87,politiillaa,0.671
88,englanti,0.67
89,ministerislö,0.669
90,ministcristö,0.669
91,tasavalta,0.667
92,saksakin,0.667
93,puolustus,0.667
94,kansallisliitto,0.667
95,kauppaliitto,0.667
96,liittolaisena,0.666
97,wallanlumous,0.666
98,ystäwyys,0.665
99,politiikkaan,0.665
