,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,historiassa,0.79,historiassa,0.812,hislorian,0.848
1,kielten,0.713,his,0.803,maantieteen,0.821
2,tieteen,0.702,historiaan,0.777,historiassa,0.801
3,his,0.693,torian,0.772,histoorian,0.779
4,lehtorin,0.69,toriassa,0.744,kirkkohistorian,0.773
5,kielen,0.689,maantieteen,0.742,kaswatusopin,0.768
6,latinan,0.661,runouden,0.732,historiaa,0.766
7,lukiossa,0.647,historiasta,0.729,torian,0.758
8,jumaluusopin,0.644,kieliopin,0.728,historia,0.748
9,ylä-alkeiskoulussa,0.636,kielitieteen,0.724,tieteen,0.74
10,opet,0.63,toriaa,0.72,uskonnon,0.732
11,opetuksen,0.625,historia,0.714,kansantalouden,0.732
12,suuden,0.618,toriasta,0.713,muinaistieteen,0.728
13,kirjalli,0.618,histo,0.708,kirjakielen,0.727
14,kielessä,0.612,kieli-,0.708,murteiden,0.726
15,tajan,0.611,historiaa,0.706,kansatieteen,0.726
16,jäsenen,0.609,tieteessä,0.698,historiaan,0.726
17,lutherin,0.607,luonnontieteen,0.692,historiasta,0.719
18,historiaa,0.605,muinaisuuden,0.689,simeysopin,0.717
19,opin,0.604,tieteen,0.685,kasmatusopin,0.717
20,rohmessori,0.603,histori,0.684,kielitieteen,0.713
21,kokelas,0.602,maantiedettä,0.679,taidehistorian,0.71
22,lehtori,0.6,historialle,0.679,luonnontieteiden,0.709
23,tohtorin,0.599,kirjallisuudessa,0.678,muinaisuuden,0.709
24,tohtor,0.598,maantieto,0.671,logian,0.703
25,piplian,0.591,historiat,0.668,kieliopin,0.702
26,yleisen,0.59,maatieteen,0.66,runouden,0.701
27,lukion,0.588,sanomakirjallisuuden,0.655,kielen,0.701
28,mirkansa,0.588,kielen,0.654,estetiikan,0.698
29,lönnrotin,0.587,tieteiden,0.652,maantiedon,0.698
30,alkeiskoulussa,0.584,kalewalan,0.652,filosofiassa,0.697
31,yleisessä,0.584,maantieteessä,0.651,kirjallisuudessa,0.696
32,yliopistossa,0.581,oppikirjan,0.649,tilastotieteen,0.695
33,majister,0.579,tiedetten,0.645,his,0.694
34,järjestyksen,0.577,kalemalan,0.64,suomenkielen,0.687
35,miran,0.577,maantietoa,0.638,kielitiede,0.686
36,yliopiston,0.576,kielioppia,0.637,geologian,0.686
37,kie,0.575,kauno,0.634,luonnonopin,0.685
38,maist,0.574,keskiajan,0.629,kasvatusopin,0.683
39,opetta,0.571,alkeet,0.627,tähtitieteen,0.683
40,magisteri,0.571,kielten,0.626,fysiikan,0.682
41,tiede,0.57,kielessä,0.626,latinan,0.681
