,fi_1880,fi_1880_d
0,maltiolaitos,0.703
1,waltiolaitos,0.682
2,suuriruhtinaanmaa,0.68
3,suuriruhtinaana,0.678
4,maakuntana,0.669
5,maltiomuoto,0.666
6,erikoisasema,0.663
7,rakuunarykmentti,0.661
8,erikoisaseman,0.654
9,separatismi,0.651
10,keisarikunta,0.642
11,metsänhoitolehteä,0.642
12,autonomia,0.641
13,sotalväli,0.641
14,asemelmollisuuslaki,0.64
15,venäjään,0.638
16,metsänhoitolehti,0.638
17,sotamäclle,0.637
18,metsänhoitolehden,0.634
19,sotamaki,0.634
20,sotawali,0.633
21,kirjapainolehti,0.632
22,suuriruhtinaskuntaa,0.631
23,erikoisasemaan,0.629
24,mdyspankki,0.629
25,maltiona,0.627
26,sotalväki,0.627
27,waltiomuoto,0.626
28,perustuslaki,0.625
29,lielinen,0.624
30,kesti,0.624
31,kesli,0.623
32,muinaismuisto-yhdistys,0.622
33,ruhtinaskunta,0.62
34,sionissa,0.62
35,waltiona,0.618
36,suuriruhtinaskunnan,0.616
37,valtiona,0.616
38,kieleltä,0.615
39,tullitatsa,0.613
40,kielisenä,0.613
41,metsänhoitoyhdistys,0.612
42,kieli,0.611
43,wenäjään,0.61
44,maaluna,0.608
45,sotilaspiiri,0.608
46,maanwiljelyslehteä,0.608
47,sotalaitos,0.606
48,sählösanomatoimisto,0.605
49,sotawaki,0.603
50,magna,0.602
51,kielisinä,0.601
52,wcnäjään,0.599
53,perustuslait,0.599
54,sanomalehdistö,0.598
55,hallitsija,0.598
56,pääkaupunki,0.596
57,tiedeakatemia,0.596
58,suomenmaa,0.596
59,waltakuntaan,0.595
60,fotawäki,0.593
61,waltiokonttori,0.593
62,autonomiaa,0.592
63,lempi-,0.589
64,waatuna,0.587
65,kuningaskunta,0.586
66,kieleu,0.585
67,urheilulehti,0.585
68,lääläriseura,0.582
69,höyrylaiya-osakeyhtiö,0.58
70,waaluna,0.579
71,sotamäteen,0.578
72,valtiosäännön,0.577
73,alamaisena,0.577
74,sotawäkeen,0.577
75,pllnlli,0.577
76,lielisen,0.576
77,maltaluntaan,0.576
78,sotawiili,0.576
79,keisarikuntaan,0.575
80,menäjä,0.575
81,mdyspanlli,0.575
82,tsaari,0.575
83,kielelle,0.572
84,snomi,0.572
85,hallitusmuoto,0.57
86,tiedeseuralle,0.57
87,senaatillemme,0.57
88,waltiotonttori,0.57
89,sotawiiki,0.57
90,luurankoiset,0.57
91,perustuslakeihin,0.569
92,itsenäisyys,0.569
93,kauppalehti,0.568
94,asetuskokoelmaa,0.568
95,tullitariffi,0.568
96,tiedeseura,0.568
97,kieliseen,0.567
98,kirjakieli,0.567
99,waltiolonttori,0.566
