,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,tarpeellinen,0.824,laillisesti,0.643,oikens,0.885,oikens,0.941
1,parempi,0.806,lupa,0.584,oiteus,0.847,oiteus,0.901
2,asia,0.767,hoitokunta,0.581,oileus,0.799,oitens,0.9
3,työ,0.755,oikeutta,0.577,oikcns,0.798,oikcns,0.893
4,tapa,0.753,welwollisuus,0.573,oitcus,0.767,oitcus,0.885
5,syy,0.751,oikeuden,0.568,keus,0.743,uikeus,0.869
6,näyttää,0.75,laki,0.561,oikeutta,0.695,oilcus,0.855
7,käynyt,0.749,säätty,0.559,melmollisuus,0.689,oileus,0.842
8,moni,0.738,laillinen,0.552,valta,0.666,oikeuö,0.816
9,ihmisen,0.737,saamista,0.551,lvalta,0.664,oileuö,0.814
10,paras,0.737,sääntö,0.541,walta,0.663,uileus,0.795
11,saattanut,0.715,oikeutensa,0.526,oilcus,0.66,oilens,0.788
12,tosin,0.714,malta,0.525,wclwollisuus,0.656,olleus,0.75
13,tapahtunut,0.713,kihlakunnan,0.516,mclmollisuus,0.655,oikeuskin,0.747
14,usko,0.711,mapaa,0.515,welwollisuus,0.654,vikens,0.718
15,minulla,0.71,määrää,0.514,ivalta,0.649,keus,0.713
16,maailman,0.707,antamista,0.511,malta,0.642,oikeutta,0.712
17,hymä,0.704,oikeudesta,0.505,oifeus,0.64,oikcus,0.709
18,aiman,0.702,täyttämisestä,0.502,oikcus,0.639,oifeus,0.706
19,tar,0.7,walta,0.5,laki,0.637,ollens,0.704
20,muutoin,0.698,nimismiehelle,0.5,oikeudelle,0.634,oikeuden,0.683
21,sentähen,0.696,annettama,0.499,lupa,0.63,lupa,0.682
22,oppi,0.693,perinnöksi,0.499,etu-oikeus,0.622,kcus,0.673
23,ihminen,0.692,käskenyt,0.496,tuomarilla,0.618,ikeus,0.67
24,tie,0.691,laissa,0.496,sallittu,0.61,leus,0.669
25,tarkasti,0.69,asetus,0.496,oikeuden,0.609,oifcus,0.666
26,hywä,0.689,kullakin,0.494,mapaus,0.605,ivalta,0.665
27,elämä,0.684,lupaa,0.492,maimaishoito,0.602,ileus,0.66
28,siltä,0.681,todistus,0.492,teus,0.601,mapaus,0.654
29,meille,0.681,takaus,0.489,oikeudella,0.597,welwollisuus,0.652
30,paljoa,0.68,erinäinen,0.481,lnpa,0.596,oikentta,0.649
31,kaikista,0.68,ehdoilla,0.48,oikeutensa,0.592,melmollisuus,0.647
32,paha,0.674,sallittu,0.477,etuoikeus,0.59,päätösmalta,0.645
33,elää,0.673,säätänyt,0.473,pakko,0.589,walta,0.644
