,fi_1880,fi_1880_d
0,kyläkunta,0.825
1,kylä,0.772
2,seurakuuta,0.738
3,paikkakunta,0.728
4,kappeliseurakunta,0.717
5,yhdyskunta,0.689
6,seutukunta,0.678
7,jokilaakso,0.672
8,kirkkokunta,0.664
9,kyla,0.664
10,käräjäkunta,0.661
11,koulupiiri,0.654
12,seutu,0.654
13,kyläkin,0.648
14,kirkonkylä,0.638
15,seurakuntakin,0.634
16,kappelina,0.631
17,kylätie,0.631
18,väkirikas,0.627
19,emäseurakunta,0.626
20,kansakoulupiiri,0.626
21,seurakunta,0.623
22,kuntakin,0.62
23,lylälunta,0.62
24,seuratuitta,0.617
25,yhtiömeijeri,0.616
26,seuratuilta,0.611
27,nurkkakunta,0.609
28,hautuumaa,0.607
29,kulmakunnalle,0.607
30,kappeliksi,0.606
31,kihlakunta,0.605
32,pitäjäät,0.603
33,perhekunta,0.601
34,tylä,0.601
35,kansakoulukin,0.597
36,virkakunta,0.592
37,vesikansan,0.591
38,nuorisoseurakin,0.591
39,kylänkin,0.591
40,seuratunta,0.59
41,maakunta,0.59
42,pappila,0.588
43,pitäjääseen,0.587
44,emäseurakunnasta,0.585
45,maimaistalo,0.585
46,maanmiesseura,0.584
47,isäntä-yhdistys,0.584
48,kylämeijeri,0.583
49,kappeliseura,0.582
50,isäntäyhdistys,0.581
51,meijeriyhtiö,0.581
52,pitäjäänsä,0.58
53,kansakoulu,0.579
54,paillalunta,0.579
55,pitäjämme,0.578
56,maanmiljelyskoulu,0.577
57,majatalo,0.576
58,koulupaikaksi,0.574
59,pohjoiskulmalla,0.572
60,kirkkokin,0.572
61,maamiesseura,0.572
62,tienoo,0.571
63,mesistö,0.571
64,koulupaikka,0.571
65,asutus,0.57
66,kihlakuutaa,0.57
67,kulmalle,0.567
68,opettajayhdistys,0.566
69,rutakon,0.565
70,kirkkoherrakunta,0.565
71,tienoolle,0.564
72,maalaiskunta,0.563
73,kihlakunnalle,0.562
74,koulukin,0.561
75,osuusmeijeri,0.561
76,soseura,0.559
77,emäseura,0.558
78,maakappale,0.557
79,kauppala,0.557
80,jänvi,0.554
81,pitäjääsen,0.554
82,lainamakasiini,0.554
83,kirkonkylänsä,0.553
84,kyläkunnan,0.553
85,edistysseura,0.553
86,fylä,0.552
87,mökki,0.552
88,tansatoulu,0.552
89,kurittulan,0.551
90,piiäjä,0.548
91,kylässäkin,0.547
92,maa-ala,0.547
93,kylään,0.546
94,kappelimme,0.546
95,kaupunti,0.544
96,lansatoulu,0.544
97,talokin,0.542
98,järmi,0.541
99,asuttu,0.541
