,fi_1880,fi_1880_d
0,yhteistyö,0.77
1,yhteenliittyminen,0.75
2,toiminta,0.747
3,työnjako,0.746
4,muoromaikutus,0.733
5,wuorowaikutus,0.723
6,harrastus,0.712
7,yritteliäisyys,0.707
8,raittiustyö,0.702
9,yhteistoimintaa,0.697
10,yhdysside,0.693
11,työskentely,0.689
12,edistyminen,0.687
13,työskenteleminen,0.684
14,yhteys,0.683
15,yhdysmaikutus,0.683
16,raittiusharrastus,0.681
17,yhteishenki,0.681
18,edistys,0.68
19,rappiotila,0.677
20,yhdystyö,0.676
21,yksimielisyys,0.675
22,yhdenmukaisuus,0.662
23,ammattitaito,0.66
24,yhteisyys,0.652
25,tehitys,0.651
26,kehitys,0.649
27,edislys,0.647
28,toimeliaisuus,0.645
29,lehitys,0.644
30,rappeutuminen,0.644
31,liittyminen,0.643
32,lieltolali,0.642
33,taantuminen,0.642
34,yhteistoiminnan,0.642
35,lainlaadinta,0.641
36,hajaannus,0.64
37,käsityötaito,0.638
38,tasapaino,0.638
39,keskusjohto,0.636
40,tiihoitus,0.635
41,työmäenliike,0.634
42,suurteollisuus,0.634
43,yhtyminen,0.634
44,agitatsiooni,0.63
45,toimiala,0.629
46,mullistus,0.628
47,yhdistyminen,0.628
48,hajaantuminen,0.626
49,pyrintö,0.625
50,raittiusaate,0.623
51,ammattilaisten,0.622
52,seuro,0.622
53,kiihotus,0.622
54,eripuraisuus,0.621
55,kehittyminen,0.619
56,toimintatapa,0.619
57,kehkeytyminen,0.618
58,lehilys,0.618
59,yhdyselämä,0.617
60,toimeentulo,0.616
61,asianharrastus,0.615
62,toimiminen,0.615
63,hyminmointi,0.614
64,kieltolaki,0.613
65,erimielisyys,0.613
66,lainsäädäntö,0.612
67,läheneminen,0.612
68,työtapa,0.611
69,työala,0.611
70,maatalous,0.61
71,varallisuus,0.61
72,kypsyys,0.61
73,raittiusasia,0.61
74,yhteistyötä,0.609
75,mireys,0.609
76,asuntokysymys,0.606
77,parannus,0.606
78,tutustuminen,0.605
79,tarkoitusperä,0.605
80,raittiusliike,0.605
81,keinottelu,0.604
82,asiaintila,0.603
83,ahdinkotila,0.602
84,maikutusala,0.601
85,uhraamaisuus,0.6
86,pyrkimys,0.6
87,ammattiyhdistyksien,0.599
88,liike,0.598
89,yhdessäolo,0.598
90,yksilöiden,0.597
91,uudistus,0.596
92,järjestelmä,0.595
93,eheys,0.595
94,maikulus,0.594
95,työväenliike,0.594
96,yhteiselämä,0.594
97,ristiriitaisuus,0.594
98,aate,0.594
99,leskuudessa,0.594
