,fi_1880,fi_1880_d
0,irtaantua,0.923
1,mapautua,0.87
2,vapautua,0.849
3,wapautua,0.831
4,eksyä,0.786
5,pelastua,0.769
6,irroittaa,0.769
7,luopua,0.765
8,suoriutua,0.757
9,eroitlaa,0.755
10,eroittaa,0.75
11,kerskailla,0.748
12,puhdistautua,0.741
13,riippua,0.735
14,ylpeillä,0.733
15,murtua,0.729
16,lnopua,0.728
17,pelastautua,0.725
18,croittaa,0.724
19,erottaa,0.724
20,heretä,0.713
21,tunkea,0.713
22,johtua,0.712
23,purkautua,0.709
24,riemuita,0.709
25,puhua,0.705
26,temmata,0.704
27,eroiltua,0.703
28,punastua,0.701
29,kerskata,0.701
30,selmiytyä,0.701
31,latata,0.7
32,iloita,0.699
33,pidättyä,0.698
34,huumata,0.698
35,toipua,0.697
36,eroiltaa,0.696
37,loukkaantua,0.695
38,katkaista,0.695
39,sukeutua,0.693
40,hairahtua,0.692
41,irrottaa,0.692
42,heltyä,0.691
43,ladota,0.691
44,wajota,0.691
45,uneksia,0.691
46,kadota,0.689
47,syöstä,0.688
48,paeta,0.688
49,kohota,0.683
50,puhdistua,0.677
51,kiistellä,0.677
52,unohtua,0.676
53,maieta,0.676
54,pelastaa,0.676
55,puhuakaan,0.676
56,kostua,0.675
57,tunkeutua,0.673
58,mäsyä,0.673
59,pelästyä,0.672
60,vetäytyä,0.672
61,metäytyä,0.671
62,selmitä,0.669
63,katketa,0.668
64,karkottaa,0.667
65,vieroittaa,0.665
66,lakata,0.665
67,uupua,0.664
68,mieroittaa,0.663
69,lannistua,0.663
70,juopua,0.661
71,ihastua,0.66
72,pyyhkäistä,0.66
73,poistua,0.66
74,innostua,0.659
75,vahingoittua,0.659
76,riutua,0.658
77,taantua,0.658
78,masentua,0.657
79,mäistyä,0.654
80,rauhoittua,0.654
81,ryömiä,0.654
82,haihtua,0.654
83,riidellä,0.653
84,murtaa,0.652
85,liilkua,0.652
86,rikastua,0.651
87,siirtyä,0.651
88,mallata,0.651
89,vierittää,0.651
90,napauttaa,0.651
91,kytkeä,0.651
92,nykäistä,0.649
93,sysätä,0.649
94,syöksyä,0.648
95,tointua,0.647
96,säilyä,0.646
97,wetäytyä,0.645
98,puhkaista,0.645
99,heittäytyä,0.644
