,fi_1880,fi_1880_d
0,europalainen,0.883
1,euroopalainen,0.869
2,egyptiläinen,0.802
3,kreikkalainen,0.77
4,afrikalainen,0.764
5,turkkilainen,0.741
6,serbialainen,0.741
7,espanjalainen,0.733
8,bulgarialainen,0.731
9,kiinalainen,0.731
10,bulgarilainen,0.726
11,ranskalainen,0.726
12,aasialainen,0.717
13,brittiläinen,0.71
14,siamilainen,0.71
15,flaamilainen,0.707
16,liinalainen,0.704
17,italialainen,0.7
18,japanilainen,0.699
19,muhamettilainen,0.699
20,saksalainen,0.693
21,indialainen,0.688
22,turllilainen,0.681
23,englantilainen,0.679
24,katolilainen,0.677
25,persialainen,0.677
26,jaapanilainen,0.675
27,ameritalainen,0.674
28,hollantilainen,0.67
29,sosialistinen,0.669
30,ameriitkalainen,0.668
31,roomalainen,0.668
32,lreillalainen,0.667
33,menolainen,0.666
34,franslalainen,0.664
35,sotainen,0.661
36,suurwalta,0.66
37,hindulainen,0.658
38,menälainen,0.658
39,panilainen,0.654
40,menäläinen,0.653
41,puolalainen,0.653
42,amerilalainen,0.651
43,maatieteellinen,0.649
44,arapialainen,0.648
45,maltalainen,0.646
46,ylimystö,0.645
47,sotaisa,0.645
48,ranslalainen,0.645
49,kapinallinen,0.644
50,ameriiktalainen,0.643
51,anarkistinen,0.641
52,itaalialainen,0.64
53,itämaltalainen,0.639
54,tansainmälinen,0.639
55,armeenilainen,0.639
56,armeenialainen,0.637
57,venäläinen,0.637
58,amerikkalainen,0.634
59,itäwaltalainen,0.633
60,poliitillinen,0.633
61,kapinoitsija,0.632
62,mahtawin,0.631
63,saksilainen,0.63
64,kansainmälinen,0.629
65,tuenalainen,0.629
66,lansainmälinen,0.629
67,protestanttinen,0.628
68,franskalainen,0.627
69,lättiläinen,0.626
70,itämainen,0.626
71,mahtumin,0.626
72,itämaalainen,0.626
73,intialainen,0.625
74,arabialainen,0.625
75,lansainwälinen,0.624
76,etelä-afrikan,0.623
77,portugalilainen,0.622
78,lvenäläinen,0.621
79,aseellinen,0.621
80,rooppalainen,0.62
81,malloitettu,0.62
82,brasilialainen,0.618
83,menäläincn,0.618
84,nykyaikainen,0.617
85,tasawaltainen,0.616
86,mcnäläincn,0.616
87,parlamentaarinen,0.616
88,kongossa,0.615
89,mahlawa,0.614
90,nialainen,0.611
91,mcnäläinen,0.61
92,ulkomaalainen,0.61
93,mahtava,0.609
94,skottilainen,0.609
95,amcrikalainen,0.608
96,abessiniassa,0.607
97,ruhtinaskunta,0.607
98,afrikassa,0.604
99,kiinassa,0.604
