,fi_1880,fi_1880_d
0,vikkelä,0.727
1,reipas,0.721
2,siilvo,0.72
3,pulskea,0.703
4,tukewa,0.701
5,siimo,0.699
6,nuorehko,0.681
7,siiwo,0.68
8,naimatoin,0.679
9,wanhanpuolinen,0.678
10,pulska,0.677
11,perheetön,0.675
12,tylsämielinen,0.675
13,3-wuotias,0.672
14,keski-ikäinen,0.672
15,pahankurinen,0.668
16,punaposkinen,0.664
17,raihnainen,0.663
18,juomaton,0.66
19,manhanpuolinen,0.659
20,rutka,0.658
21,9-wuotias,0.657
22,rotewa,0.656
23,kuppari,0.654
24,fiiwo,0.653
25,kunnollinen,0.653
26,lapsirakas,0.652
27,17-wuotias,0.652
28,näppärä,0.652
29,15-wuotias,0.652
30,säädyllinen,0.651
31,12-wuotias,0.649
32,ijällinen,0.649
33,palmelustytlö,0.648
34,7-wuotias,0.648
35,täysikasmuinen,0.646
36,wanhanpuoleinen,0.645
37,5-wuotias,0.644
38,13-wuotias,0.64
39,lapsenpiika,0.64
40,manhanpuoleinen,0.639
41,siiivo,0.634
42,renki-,0.634
43,naitis,0.632
44,rotema,0.631
45,toimekas,0.63
46,lihawa,0.629
47,fiimo,0.628
48,4-wuotias,0.627
49,toimellinen,0.627
50,karjapiika,0.627
51,pienenläntä,0.626
52,20-wuotias,0.625
53,wanya,0.624
54,lihama,0.624
55,hymäluontoinen,0.624
56,partasuu,0.623
57,6-wuotias,0.622
58,11-wuotias,0.622
59,mailis,0.621
60,maicha,0.62
61,8-wuotias,0.62
62,nianha,0.62
63,14-wuotias,0.62
64,16-wuotias,0.619
65,wantta,0.618
66,nuorenpuoleinen,0.617
67,tiiwo,0.616
68,kätewä,0.616
69,manya,0.615
70,tanakka,0.614
71,poikamies,0.614
72,naimaton,0.613
73,siiroo,0.613
74,helläsydäminen,0.612
75,palwclustyttö,0.61
76,siivo,0.609
77,renkipoika,0.608
78,ivanha,0.607
79,palmeluslyttö,0.606
80,samanikäinen,0.606
81,terlve,0.606
82,lyhytläntä,0.606
83,työteliäs,0.604
84,siisti,0.604
85,lunnollinen,0.604
86,pesijä,0.604
87,wanhempi,0.603
88,ketterä,0.603
89,/^iimo,0.602
90,tvanha,0.602
91,unori,0.602
92,palwelustytlö,0.602
93,wauha,0.599
94,pahainen,0.599
95,wankka,0.598
96,wanlka,0.598
97,ymmärtäwäinen,0.597
98,tallirenki,0.596
99,palweliatar,0.595
