,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,johdatus,0.738,historiasta,0.753,historiasta,0.8
1,käsikirja,0.719,his,0.746,historiaa,0.789
2,kielestä,0.705,oppikirja,0.742,historiaan,0.765
3,lukemisia,0.667,historian,0.714,historiassa,0.76
4,lyhykäinen,0.666,historiassa,0.713,historian,0.748
5,lyhy,0.661,kalewala,0.703,esihistoria,0.734
6,kansalle,0.654,kielioppi,0.7,histor,0.707
7,suomentanut,0.647,historiaan,0.695,his-,0.707
8,suomennettu,0.646,historiaa,0.695,histooria,0.706
9,his,0.638,kieli-oppi,0.692,his,0.701
10,nuorisolle,0.628,maantieto,0.689,maantiede,0.697
11,lutheruksen,0.626,historiat,0.683,kalewala,0.691
12,piplian,0.62,maantiede,0.672,runous,0.686
13,kumilla,0.616,lukukirja,0.668,satumaailma,0.68
14,selitetty,0.61,histo,0.655,histo-,0.677
15,kielelle,0.606,lukemisto,0.652,kalemala,0.677
16,historiassa,0.602,maatiede,0.65,kirjallisuus,0.674
17,suomennos,0.602,toriasta,0.644,historialla,0.672
18,raamatusta,0.599,kieli-,0.644,kielioppi,0.664
19,opetuksia,0.593,kirjallisuudesta,0.633,toriasta,0.663
20,historiasta,0.592,maantietoa,0.632,runoudesta,0.648
21,suomalaisille,0.592,sanakirja,0.627,nuijasota,0.647
22,historiaa,0.586,käsikirja,0.625,vaiheet,0.645
23,kaunistettu,0.586,maantieteen,0.624,historiata,0.644
24,wihko,0.582,kalemala,0.623,lirjallisuus,0.64
25,lohdutus,0.579,alkamille,0.623,hislo,0.639
26,kertomus,0.572,alkeet,0.622,kirkkohis,0.634
27,kristillinen,0.569,geografi,0.616,sanakirja,0.634
28,suomentama,0.567,toriassa,0.613,elämäkerta,0.633
29,kirjoittanut,0.552,kielioppia,0.61,kalevala,0.632
30,pyhästä,0.55,elämäkerta,0.608,historiat,0.631
31,kieli,0.547,biblia,0.608,taloustiede,0.63
32,kirjallisuus,0.544,maantiedettä,0.604,kielitiede,0.629
33,harjoitus,0.544,toriaa,0.601,histo,0.628
34,osoituksia,0.543,nuorisolle,0.598,loitsurunot,0.627
35,saarnoja,0.54,aikakausi,0.594,jumaluusoppi,0.626
36,lutherin,0.537,wihto,0.59,oppikirja,0.625
37,teos,0.53,katkismus,0.588,aarreaitta,0.625
38,laulu,0.529,kirjoitt,0.587,runoudessa,0.623
39,sidottuna,0.528,torian,0.585,romaani,0.622
40,lapsuuden,0.527,kielestä,0.585,tähtitiede,0.621
41,kartta,0.526,kumaelmia,0.584,sanaluettelo,0.621
42,raamatun,0.526,johdanto,0.582,kaunokirjallisuus,0.62
43,niottuna,0.523,dickens,0.581,aikakausi,0.62
44,autuuden,0.519,kerrottuna,0.579,romani,0.619
45,yhteiselle,0.518,lutherus,0.578,taru,0.619
46,manninen,0.516,vaiheet,0.577,turnaus,0.619
47,suomalaisuuden,0.514,muinaisuudesta,0.576,kirkkohistoria,0.618
48,kertomuksia,0.508,keski-ajan,0.575,kumaus,0.617
49,suonien,0.507,opiksi,0.575,sanasto,0.617
50,kielistä,0.503,kanteletar,0.573,kieli,0.615
51,kerrottu,0.499,kuwaelmia,0.573,jakso,0.614
52,runo,0.499,suomentama,0.572,logia,0.614
53,esimerkki,0.497,sid,0.572,alkuajoilta,0.613
54,elämästä,0.496,epistola,0.571,luonnonhistoria,0.613
55,rukous,0.494,keskiajan,0.571,uudistaja,0.609
56,lauluja,0.494,johdatus,0.57,protestanttisuus,0.609
57,ihmiskunnan,0.492,wiisaus,0.57,kehityshistoriassa,0.608
58,hyödyksi,0.492,runoelma,0.57,kumautsia,0.607
59,opissa,0.491,wihko,0.569,kuwaus,0.606
60,satuja,0.49,historialle,0.569,runotar,0.606
61,snomen,0.489,uskonto,0.567,uskonto,0.605
62,lauseita,0.487,biblian,0.562,runoutemme,0.604
63,kirjallisuutta,0.487,riasta,0.562,pääpiirteet,0.603
64,nuorelle,0.486,topeliuksen,0.562,hislorian,0.603
65,martti,0.486,runo,0.561,maantieteestä,0.602
66,kerto,0.485,kartta,0.56,kehityksestä,0.601
67,ajatuksia,0.485,käännös,0.56,esipuhe,0.601
68,salle,0.483,laskento,0.559,historialle,0.598
69,suomeu,0.483,nios,0.557,teos,0.597
70,kansan,0.482,kalevala,0.556,lauseoppi,0.597
71,kansalta,0.481,luonnontiede,0.556,kuvasto,0.596
72,kristityn,0.479,oppikirjasta,0.554,toriaa,0.596
