,fi_1880,fi_1880_d
0,yhteistoiminta,0.77
1,yksimielisyys,0.757
2,yhteishenki,0.732
3,yhdystyö,0.722
4,yhdysside,0.719
5,yhteenliittyminen,0.709
6,edistys,0.697
7,harrastus,0.689
8,uhraamaisuus,0.685
9,työskentely,0.683
10,siwistystyö,0.681
11,toiminta,0.68
12,tomeruus,0.676
13,pyrintö,0.675
14,muoromaikutus,0.67
15,toimeliaisuus,0.659
16,riento,0.655
17,tehitys,0.655
18,tarkoitusperä,0.654
19,luottamus,0.651
20,työ,0.65
21,yhteistyötä,0.645
22,työnjako,0.644
23,edistyminen,0.642
24,raittiustyö,0.639
25,sopusointu,0.639
26,yhdenmukaisuus,0.637
27,simistystyö,0.635
28,wuorowaikutus,0.633
29,yhteistyöhön,0.632
30,valistustyö,0.631
31,yhteisyys,0.63
32,liittyminen,0.628
33,yhdistyminen,0.628
34,makaumus,0.628
35,yhteys,0.624
36,pyrkimys,0.623
37,yhdessäolo,0.623
38,edislys,0.621
39,lehilys,0.621
40,mireys,0.621
41,yhdysmaikutus,0.618
42,toimiminen,0.617
43,yhleis,0.616
44,pyrintömme,0.613
45,wakaumus,0.613
46,kehitys,0.612
47,yhteistyössä,0.608
48,menestys,0.607
49,yhtyminen,0.605
50,yhteis,0.604
51,eheys,0.604
52,lehitys,0.604
53,yhteiselämä,0.603
54,sopu,0.602
55,periaate,0.602
56,raittiusharrastus,0.601
57,pyrkiminen,0.601
58,pyrinnöt,0.599
59,laimeus,0.599
60,yksilöiden,0.599
61,toimintatapa,0.598
62,yhteistunne,0.597
63,suwaitsewaisuus,0.596
64,tyd,0.595
65,wireys,0.595
66,työskenteleminen,0.593
67,yhtcis,0.592
68,silvistys,0.592
69,edellytys,0.592
70,asianharrastus,0.591
71,ammattitaito,0.59
72,uhraawaisuus,0.59
73,toimintakyky,0.59
74,toimettomuus,0.589
75,maikulus,0.589
76,tomeruuden,0.588
77,walaumus,0.587
78,innostus,0.587
79,aate,0.586
80,simislys,0.586
81,työtapa,0.586
82,yhteistoimintaa,0.586
83,into,0.585
84,vapaamielisyys,0.585
85,isänmaanrallaus,0.585
86,päämäärä,0.583
87,oileudentunto,0.582
88,fiwistys,0.581
89,tukeminen,0.58
90,päämaali,0.58
91,yhteismoimin,0.579
92,tyydytys,0.577
93,tyo,0.576
94,eripuraisuus,0.575
95,yksimielisyyttä,0.572
96,yritteliäisyys,0.572
97,wailulus,0.572
98,yksipuolisuus,0.571
99,ristiriitaisuus,0.569
