,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
79,miehiä,0.596,jako,0.406,joissakuissa,0.448,harmoissa,0.498
80,kin,0.596,semmoisten,0.405,kirkollisissa,0.448,soweltuwissa,0.497
81,suomen,0.594,sisä,0.405,sisä-,0.447,lullakin,0.497
82,osittain,0.594,sanojen,0.404,useampain,0.446,naiden,0.497
83,set,0.594,seuroja,0.403,parannuksista,0.445,seuraamissa,0.496
84,huoneita,0.592,siten,0.402,monissa,0.445,pääasiallisesti,0.496
85,toisella,0.591,aineet,0.4,erityistä,0.445,muntamissa,0.496
86,opin,0.591,tehdyt,0.4,edellisissä,0.445,skandinamian,0.496
87,otettu,0.59,maamiljelyksen,0.399,muissakin,0.444,teollisissa,0.496
88,wesi,0.59,maakunnan,0.399,useammista,0.444,näillä,0.495
89,ensiksi,0.588,koulut,0.398,samojen,0.444,tailissa,0.494
90,keskenänsä,0.587,asetuksissa,0.398,toisista,0.443,useampien,0.494
91,joilla,0.586,kuntain,0.397,hentilöistä,0.443,semmoisissakin,0.493
92,myöten,0.582,joihin,0.397,luokkain,0.443,joissakin,0.493
93,egyptin,0.581,jain,0.397,erilaisista,0.443,pienissä,0.493
94,kirjat,0.58,yhdistyksen,0.397,perustuksista,0.442,näistä,0.492
95,mesi,0.579,kirjoitetut,0.396,kuntiin,0.441,molemmilla,0.492
96,nimittäin,0.579,kansoissa,0.396,itsenäisiä,0.441,tamallisissa,0.491
97,niille,0.579,yhdeksi,0.396,isompiin,0.44,yksinomaan,0.491
98,muut,0.578,kokouksia,0.396,paraimmista,0.439,erilaisiin,0.491
99,omalla,0.577,opettajaa,0.394,yllämainituissa,0.439,kullakin,0.491
