,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,keisarin,0.834,keisarin,0.768,keisarinna,0.835,lcisari,0.892
1,majest,0.806,keisarinna,0.759,keisarin,0.753,keiiari,0.884
2,kenraali,0.764,keisarille,0.746,ruhtinas,0.752,keisan,0.882
3,majesteetinsä,0.757,napoleon,0.738,suuriruhtinas,0.734,teisari,0.874
4,kuninkaan,0.747,ruhtinas,0.725,keisarilta,0.725,leisari,0.872
5,majestetinsä,0.733,kenraali,0.711,kuningas,0.724,keijari,0.87
6,kuningas,0.676,ministeri,0.675,ruhtiuas,0.714,ruhtinas,0.864
7,läksi,0.667,keisa,0.667,teisari,0.706,tcisari,0.86
8,tykö,0.666,kuningas,0.667,keisarille,0.704,kcisari,0.838
9,kuninkas,0.662,nikolai,0.657,perintöruhtinas,0.703,.keisari,0.832
10,poikansa,0.662,keisaria,0.656,prinssi,0.701,kuningas,0.83
11,kaupunkiin,0.658,kuningatar,0.643,suuriruh,0.697,suuriruhtinas,0.83
12,käskyn,0.651,konstantin,0.639,keisaria,0.691,neisari,0.824
13,hänen,0.649,prinsi,0.636,keisarinnan,0.69,keifari,0.822
14,keisarillinen,0.637,aleksanteri,0.632,tinas,0.683,keisaii,0.818
15,tuomarin,0.632,herttua,0.625,keisarinnalle,0.679,suurruhtinas,0.818
16,tuli,0.631,amiraali,0.625,kuningatar,0.678,keisarinna,0.803
17,miehensä,0.614,ruh,0.608,ruh,0.672,suuriruhlinas,0.8
18,papin,0.6,lord,0.608,suuriruhtiuas,0.669,pcrintöruhtinas,0.8
19,ruhtinas,0.595,kreimi,0.607,napoleon,0.664,ruhlinas,0.799
20,puolan,0.593,paawi,0.606,kenraalikuwernöri,0.656,lelsari,0.797
21,isänsä,0.589,majesteetinsä,0.605,tinsa,0.651,perinlöruhtinas,0.793
22,talonpojan,0.587,majest,0.603,ylipäällikkö,0.647,rnhtinas,0.792
23,jäl,0.585,kei,0.6,luningas,0.641,suuriruhtiuas,0.792
24,ajoi,0.583,kuninkaan,0.586,adlerberg,0.64,kisan,0.79
25,otettiin,0.569,tinsa,0.58,herttua,0.633,prinssi,0.786
26,lähetti,0.561,pääkaupunkiin,0.579,krcimi,0.633,leifari,0.786
27,astui,0.56,armeijan,0.573,sultaani,0.63,keisarin,0.783
28,pidettiin,0.556,itämallan,0.564,suuriruhti,0.629,tsaari,0.779
29,kaarlo,0.555,päällysmies,0.563,sotaministeri,0.628,kruununprinssi,0.779
30,mennä,0.549,päämies,0.563,kreilvi,0.625,kuuingas,0.778
31,kaupunkissa,0.546,napoleonin,0.563,kenraali,0.625,perintöruhtinas,0.775
32,iltana,0.544,paami,0.562,kreimi,0.625,eisari,0.775
33,käwi,0.544,majesteettinsa,0.553,majesteettinsa,0.625,leskikeisarinna,0.773
34,pantiin,0.538,greiwi,0.553,lähettiläs,0.622,leisarl,0.77
35,jätti,0.538,kuninkaalle,0.552,perintöruhtinaan,0.619,suuriruht,0.767
36,tytär,0.532,wienissä,0.552,keisarit,0.618,ruhtiuas,0.749
37,luokse,0.527,kuninkas,0.551,korkeutensa,0.618,prinsi,0.748
38,wei,0.525,kii,0.551,ylh,0.617,tiuas,0.747
39,päämies,0.524,ömersti,0.551,kenraalikumernööri,0.616,tuningas,0.745
40,päällensä,0.523,aleksander,0.549,suttani,0.615,keisari,0.745
41,ruumis,0.523,nikolain,0.532,keisarilla,0.614,perintöruhlinas,0.744
42,kanssansa,0.523,hallitus,0.532,knningas,0.613,knningas,0.744
43,lähti,0.521,paroni,0.528,arkkiherttua,0.611,tinas,0.741
44,tuomari,0.518,keisarillinen,0.525,lreimi,0.61,keisar,0.737
45,meni,0.514,päällikkö,0.524,suitani,0.61,luningas,0.737
46,kon,0.513,majes,0.524,keisarimme,0.608,hallitsija,0.734
47,maalle,0.51,käskenyt,0.523,mttinsa,0.608,keisari-suuri,0.733
48,asui,0.509,pasja,0.523,paami,0.603,lunirgas,0.732
49,tykönsä,0.509,kreiwi,0.519,suittani,0.603,paami,0.731
50,frankriikin,0.506,isoruhtinas,0.512,kuuingas,0.599,keisari-suuriruhtinaan,0.728
51,otti,0.504,itäwallan,0.511,lreiwi,0.597,aleksandrowitsch,0.728
52,kau,0.503,sotajoukon,0.51,sultani,0.596,bismarck,0.728
