,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
83,hywän,0.476,lissa,0.414,alue,0.387,nsim,0.441
84,tien,0.475,naasan,0.413,piiriin,0.387,jälli,0.441
85,sanoin,0.474,nur,0.413,luoto,0.387,larjanlaidun,0.44
86,oikeus,0.471,hauhon,0.413,perintö,0.384,vaisto,0.44
87,talon,0.47,kolmannessa,0.412,pojille,0.381,kamara,0.44
88,saat,0.469,sääksmäen,0.412,mauttaalia,0.381,tynn.alaa,0.44
89,sanoa,0.468,pituus,0.411,allc,0.381,sisä,0.44
90,tulen,0.467,tyn,0.411,tynny,0.379,lorlea,0.44
91,wai,0.466,uudenkirkon,0.411,ulto,0.378,laajuudeltaan,0.439
92,syy,0.465,vaasan,0.409,osaan,0.377,länsin,0.437
93,näillä,0.462,salmin,0.407,puustelli,0.377,uiko,0.437
94,ma,0.462,kappe,0.407,ylinen,0.373,pohja,0.436
95,elämä,0.461,kappelia,0.405,viljelyksessä,0.373,puustelli,0.435
96,ty,0.46,56,0.405,osuuteen,0.372,lartt,0.433
97,manha,0.46,luokan,0.404,neljännessä,0.372,enftm,0.432
98,teidän,0.46,seurakunnasa,0.403,viljelty,0.372,taaria,0.432
99,pannut,0.459,eurajoen,0.403,alkeiskoulussa,0.372,truunu,0.432
