,fi_1880,fi_1880_d
0,sisällinen,0.87
1,ulkonainen,0.796
2,ihmisellinen,0.753
3,simecllinen,0.735
4,kansallinen,0.725
5,yhteiskunnallinen,0.721
6,moraalinen,0.719
7,inhimillinen,0.717
8,simeellinen,0.716
9,yksilöllinen,0.716
10,elähyttäwä,0.713
11,maailmallinen,0.706
12,yhtenäinen,0.705
13,yliluonnollinen,0.703
14,elimellinen,0.698
15,itsetietoisuus,0.698
16,simeellincn,0.697
17,poliitillinen,0.695
18,maltiollinen,0.693
19,uskonnollinen,0.692
20,uljuus,0.691
21,siveellinen,0.689
22,uudistama,0.688
23,todellinen,0.688
24,siweellinen,0.686
25,malliollinen,0.683
26,moimalas,0.682
27,waltiollincn,0.681
28,moimallinen,0.681
29,maltama,0.679
30,aistillinen,0.673
31,makamuus,0.672
32,jonkunlainen,0.672
33,elähyttämä,0.671
34,wuima,0.671
35,jonkinlainen,0.671
36,sotilaallinen,0.67
37,voimallisin,0.67
38,poliittinen,0.669
39,woimatas,0.669
40,luonnollinen,0.668
41,aatteellinen,0.667
42,symin,0.667
43,sammumaton,0.663
44,simcellinen,0.662
45,eläimellinen,0.661
46,mahmin,0.66
47,jonkunmoinen,0.66
48,moimatas,0.66
49,hehkuma,0.659
50,länsimainen,0.657
51,sotainen,0.657
52,heikkenee,0.656
53,sopusointuisuus,0.655
54,symällinen,0.654
55,kasmattama,0.652
56,politillinen,0.652
57,elämänhalu,0.652
58,pelkkä,0.65
59,sammuma,0.648
60,pintapuolisuus,0.646
61,moiina,0.646
62,ylcwä,0.646
63,fiweellinen,0.645
64,moima,0.645
65,muima,0.644
66,maallinen,0.643
67,pontemuus,0.642
68,valtiollinen,0.641
69,lakkaamaton,0.641
70,sällinen,0.641
71,ihanteellinen,0.64
72,mahtamuus,0.64
73,näkymä,0.639
74,voimallinen,0.639
75,moimakas,0.639
76,täydellinen,0.638
77,hedelmätön,0.638
78,kansallishenki,0.638
79,mirkeys,0.638
80,liimaus,0.637
81,mälitön,0.637
82,isänmaanrakkaus,0.637
83,sopusointuinen,0.636
84,tietoisuus,0.635
85,hetkellinen,0.634
86,itselläisyys,0.634
87,hillitön,0.634
88,mahma,0.633
89,eloton,0.633
90,isänmaanratkaus,0.633
91,inhimillisyys,0.633
92,mastustamaton,0.633
93,jumalallinen,0.633
94,ilmeellinen,0.631
95,itseluottamus,0.631
96,mahtuma,0.631
97,horjumaton,0.631
98,oikea,0.631
99,itsenäinen,0.631
