,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,kolmas,0.812,neljäs,0.544,osasta,0.618,usa,0.78
1,maa,0.798,joukko,0.525,pnoli,0.603,osakaan,0.666
2,suurin,0.775,asukkaista,0.52,osuus,0.602,kolmannes,0.643
3,eri,0.708,kolmas,0.518,puoli,0.595,viidesosa,0.633
4,paikka,0.705,pienempi,0.473,kolmasosa,0.593,neljäsosa,0.631
5,mainitaan,0.696,kaup,0.458,joukko,0.577,prosentti,0.629
6,menäjän,0.686,kortteli,0.454,neljäsosa,0.575,kolmasosa,0.598
7,löytyy,0.683,miehistä,0.45,kolmannes,0.559,o'a,0.598
8,kutsutaan,0.683,wihko,0.436,joukoin,0.549,oia,0.598
9,puolella,0.675,kaikista,0.435,maa-ala,0.539,kolmas-osa,0.595
10,meri,0.67,enin,0.428,prosentti,0.535,määrä,0.595
11,pieniä,0.669,laji,0.422,väestöstä,0.529,puolisko,0.594
12,seassa,0.669,kuudes,0.416,wäestöstä,0.521,joukko,0.593
13,ruotsin,0.663,näistä,0.413,joutto,0.517,osakin,0.59
14,olema,0.66,kappale,0.413,puolisko,0.509,osa^,0.586
15,tienoilla,0.66,toinen,0.408,oja,0.507,miiärä,0.582
16,kuu,0.656,ylsi,0.407,jouffo,0.503,joulko,0.576
17,nykyisin,0.653,puoli,0.401,joutko,0.499,maileus,0.573
18,niistä,0.642,kylä,0.397,joutlo,0.499,joutto,0.572
19,maassa,0.637,perhe,0.397,osalle,0.497,jontto,0.567
20,osaa,0.625,edellinen,0.397,puolet,0.496,ofa,0.564
21,englannin,0.619,yks,0.391,määrä,0.493,joukto,0.563
22,rannalla,0.618,wiides,0.39,joullo,0.488,kuudesosa,0.562
23,meren,0.618,painos,0.389,jonkko,0.485,prosenttiluku,0.562
24,wesi,0.618,isompi,0.388,ofa,0.483,maanosa,0.56
25,uutta,0.617,kolmesta,0.369,mcro,0.482,jonkko,0.559
26,tehdään,0.615,manttaalin,0.368,joukto,0.48,möärä,0.559
27,huonetta,0.615,kysymys,0.365,vuoli,0.478,naara,0.559
28,wenäjän,0.611,seitsemäs,0.362,laji,0.476,jouklo,0.558
29,näissä,0.61,osaa,0.362,haitta,0.476,neljäs-osa,0.558
30,iso,0.608,vahinko,0.361,rasitus,0.473,joutko,0.557
31,penikulmaa,0.597,talo,0.356,hankaluus,0.47,jontko,0.556
32,nimittäin,0.597,osan,0.351,maakunta,0.468,jonlko,0.554
33,korkia,0.597,wahinko,0.351,joulto,0.468,sataluku,0.554
34,tynnyrin,0.594,alaa,0.35,manttaali,0.467,osn,0.552
35,suomen,0.593,isoin,0.35,snmma,0.466,o^a,0.551
36,sanotaan,0.591,loinen,0.348,hyöty,0.464,prosenttimäärä,0.549
37,kaupunki,0.591,etu,0.345,jywä,0.464,maa-ala,0.549
38,löytyi,0.586,hyöty,0.345,oia,0.462,jouno,0.547
39,uusia,0.586,jaettu,0.345,mäestöstä,0.461,puolet,0.546
40,yhteinen,0.586,jäsenistä,0.344,mihko,0.459,joulto,0.546
41,suomessa,0.585,wähempi,0.344,sisääntulo,0.458,ryhmä,0.542
42,tuhatta,0.584,yksi,0.342,kaupunginosa,0.457,mäörä,0.54
43,200,0.584,heistä,0.342,painos,0.457,osuus,0.54
44,etelä,0.583,eroitus,0.341,lahko,0.456,waikeus,0.539
45,nousee,0.582,saha,0.341,paljous,0.456,kahdeksannes,0.539
46,esimerkiksi,0.581,uksi,0.34,luokka,0.455,jonkto,0.535
47,tehty,0.578,kappeli,0.336,lohko,0.454,joukkio,0.535
48,joukko,0.576,osalta,0.333,jymä,0.453,joulla,0.534
49,puu,0.576,jälkimäinen,0.332,lahkokunta,0.453,vaalipiiri,0.532
50,aikoina,0.573,suurin,0.329,kylä,0.451,osasta,0.531
