,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
83,pahaa,0.549,arka,0.511,sydämen,0.539,sukukunta,0.611
84,täytyy,0.548,kukas,0.51,koettelemus,0.539,tupakoitsija,0.609
85,ukko,0.547,jumalaa,0.51,luonnostaan,0.539,ihmisestä,0.609
86,tar,0.547,lukia,0.509,elää,0.538,potilas,0.609
87,tie,0.545,waikuttaa,0.509,konna,0.537,järti,0.609
88,tahto,0.544,synnyttää,0.509,ihmiseen,0.536,totuus,0.608
89,oikein,0.539,jumalasta,0.507,hurskas,0.535,ruumiisi,0.608
90,työtä,0.539,moima,0.506,nainen,0.535,jumalisuus,0.608
91,antaa,0.536,paha,0.506,peltomies,0.535,hywe,0.608
92,meille,0.536,elää,0.505,eläin,0.535,mielikuwitus,0.608
93,jumala,0.535,orja,0.505,vähänkin,0.534,matkamies,0.607
94,jos,0.534,wälttämättömästi,0.505,wapahtaja,0.534,muukalainen,0.606
95,siitä,0.534,woittaa,0.504,hengellisesti,0.534,äiti,0.605
96,nut,0.533,muistaa,0.502,jumalasta,0.534,laiska,0.605
97,aina,0.531,aikansa,0.502,rakkaus,0.533,aineellisuus,0.603
98,korkia,0.53,puhdas,0.502,lintu,0.533,neitonen,0.603
99,tyttö,0.528,mielen,0.502,tunnoton,0.532,sinun,0.602
