,fi_1880,fi_1880_d
0,waltias,0.84
1,maltias,0.827
2,valtakunta,0.712
3,hallitsin,0.694
4,kaikkivaltias,0.688
5,vapauttaja,0.676
6,valtiaan,0.66
7,hallitsija,0.65
8,maltalunta,0.644
9,waltiaan,0.642
10,valloittaja,0.637
11,taivaallinen,0.631
12,isäinmaa,0.63
13,kaikkiwaltias,0.627
14,itsevaltias,0.626
15,hallitsia,0.621
16,verellänsä,0.613
17,ijäli,0.613
18,hallitsijatar,0.61
19,kaikkimaltias,0.61
20,vanhurskas,0.61
21,luoja,0.609
22,isänmaa,0.604
23,jumalatar,0.603
24,hallitseva,0.603
25,maltiaan,0.601
26,jumala,0.601
27,kirkastettu,0.598
28,ollos,0.598
29,kallihin,0.598
30,viisaus,0.598
31,olkohon,0.596
32,luinala,0.596
33,suojelija,0.594
34,kuninkaamme,0.594
35,vannoo,0.594
36,manhurskas,0.593
37,taiwaallinen,0.593
38,waltatunta,0.589
39,waltakunta,0.589
40,kunniasi,0.586
41,taimahinen,0.584
42,epäjumala,0.583
43,allah,0.583
44,valtaistuimella,0.581
45,lnoja,0.581
46,kansaasi,0.58
47,kukkana,0.58
48,helvetti,0.579
49,auttajamme,0.579
50,rakkans,0.578
51,riemuitsee,0.577
52,valkeus,0.576
53,varjele,0.575
54,inmala,0.575
55,jumalamme,0.575
56,miehuus,0.573
57,taivaassa,0.572
58,templi,0.572
59,tsaari,0.571
60,ijankaikkisesti,0.57
61,muistosi,0.57
62,mahtava,0.569
63,ruhtinaamme,0.567
64,hengetär,0.567
65,iloks,0.566
66,ijanlaillisesti,0.566
67,.lumala,0.565
68,katoamaton,0.565
69,sallima,0.565
70,sanallansa,0.563
71,taivaan,0.562
72,varjellut,0.562
73,kansakunta,0.562
74,luojamme,0.562
75,maltatunta,0.561
76,lakkaus,0.56
77,taivallan,0.56
78,ralkaus,0.559
79,varjelkoon,0.559
80,voittava,0.558
81,maltatunnassa,0.558
82,mahtavin,0.558
83,varjeli,0.558
84,kuollakseen,0.558
85,sotasankari,0.557
86,ijäti,0.557
87,laupeus,0.557
88,aumala,0.557
89,waltalunta,0.557
90,natsarealainen,0.557
91,vanhurskaus,0.556
92,kansasi,0.556
93,voimasi,0.556
94,hyve,0.554
95,valtakunnassa,0.554
96,voittama,0.554
97,valtakuntaansa,0.553
98,iankaikkisesti,0.553
99,suojelkoon,0.552
