,fi_1880,fi_1880_d
0,jakaantua,0.929
1,ryhmittää,0.744
2,muodostua,0.698
3,asettaa,0.689
4,jakaa,0.686
5,siirtää,0.68
6,sijoittaa,0.673
7,kytkeä,0.672
8,supistua,0.665
9,liittäytyä,0.661
10,sijoittua,0.66
11,lyöttäytyä,0.659
12,sowitella,0.657
13,ulottua,0.655
14,ylettyä,0.653
15,someltua,0.652
16,liittyä,0.652
17,yhdistyä,0.651
18,malita,0.648
19,yhdistää,0.642
20,jataa,0.641
21,lvalita,0.638
22,asettua,0.637
23,takertua,0.635
24,mahtua,0.633
25,järjestää,0.628
26,hajaantua,0.627
27,perustua,0.626
28,somiltaa,0.625
29,jäljestää,0.623
30,sulautua,0.62
31,päättyä,0.619
32,sitoa,0.618
33,jakaantumaan,0.617
34,siirtyä,0.617
35,sowittaa,0.614
36,somittaa,0.613
37,somelluttaa,0.613
38,laskea,0.612
39,sioittaa,0.611
40,antautua,0.61
41,soweltua,0.61
42,yhtyä,0.605
43,ulotuttaa,0.605
44,tunkeutua,0.605
45,lykätä,0.605
46,asettautua,0.604
47,rnhtyä,0.604
48,mcrrata,0.602
49,muutella,0.602
50,muodostaa,0.601
51,walita,0.601
52,asetella,0.601
53,keskittää,0.598
54,valita,0.597
55,kiintyä,0.597
56,nojautua,0.596
57,rajoittua,0.595
58,järjestyä,0.594
59,pystyä,0.593
60,tunkea,0.592
61,sowiltaa,0.59
62,ulottaa,0.59
63,kokoontua,0.589
64,ryyhtyä,0.588
65,mukautua,0.587
66,turmautua,0.585
67,mnodostaa,0.584
68,malila,0.582
69,ivalita,0.581
70,siirrellä,0.581
71,supistaa,0.58
72,jalaa,0.579
73,kuulua,0.578
74,ryhtnä,0.578
75,keräytyä,0.578
76,sowelluttaa,0.576
77,kohdistaa,0.576
78,koota,0.576
79,jakautumaan,0.574
80,mukaantua,0.574
81,kohota,0.573
82,sidottaa,0.572
83,solvittaa,0.572
84,sekautua,0.571
85,pakata,0.571
86,sukeutua,0.57
87,lytätä,0.569
88,perehtyä,0.569
89,palkata,0.569
90,vedota,0.569
91,kutsua,0.568
92,ko'ota,0.568
93,hajautua,0.568
94,somitella,0.567
95,muuttaa,0.566
96,tarttua,0.564
97,tunvautua,0.564
98,laittaa,0.564
99,ryhtyä,0.563
