,fi_1880,fi_1880_d
0,waihe,0.817
1,maihe,0.789
2,vaiku,0.717
3,mielikuvi,0.685
4,mullis,0.679
5,kukois,0.678
6,vähi,0.666
7,uskonpuhdis,0.656
8,vailu,0.647
9,maiku,0.639
10,unhoi,0.639
11,mielikumi,0.638
12,waiku,0.638
13,lulois,0.631
14,wailu,0.629
15,ennus,0.629
16,unho,0.628
17,tutkis,0.627
18,vaitu,0.626
19,valloi,0.622
20,mailu,0.62
21,lohdu,0.62
22,waitu,0.62
23,valis,0.619
24,uudis,0.615
25,arvos,0.6
26,helpo,0.599
27,kado,0.596
28,kuvi,0.595
29,mähi,0.594
30,odo-,0.593
31,ivailu,0.588
32,ikuis,0.587
33,henkikirjoi,0.585
34,innos,0.585
35,käsikirjoi,0.582
36,wähi,0.582
37,heijas,0.582
38,kiihoi,0.582
39,mielenliiku,0.582
40,eroi-,0.581
41,kauhis,0.58
42,suori,0.577
43,saras,0.577
44,aloi,0.577
45,kiiho,0.577
46,arlvos,0.577
47,päätarkoi,0.577
48,veroi,0.576
49,eroi,0.575
50,annos,0.574
51,laiku,0.574
52,kinas,0.572
53,varoi,0.571
54,koe,0.571
55,suori-,0.57
56,sommi,0.569
57,kieliase,0.568
58,kunnioi,0.568
59,osoi,0.568
60,raittiusharras,0.567
61,liioi,0.565
62,snori,0.564
63,rajoi,0.564
64,lulis,0.564
65,kopu,0.563
66,ponnis,0.563
67,croi,0.563
68,puhdis,0.563
69,kuwi,0.563
70,kidu,0.561
71,rauhoi,0.561
72,ihas,0.561
73,odo,0.561
74,liihoi,0.561
75,tunnus,0.56
76,vael,0.559
77,vaalitoimi,0.557
78,mnodos,0.557
79,jaari,0.556
80,kansanope,0.555
81,tais,0.553
82,hajoi,0.552
83,lope,0.551
84,lalkau,0.551
85,ilotuli,0.55
86,oso,0.549
87,teroi,0.548
88,sepus,0.548
89,saastu,0.548
90,muistu,0.547
91,arwos,0.546
92,harjoi-,0.546
93,valais,0.546
94,vaikut,0.546
95,vastus,0.546
96,talloi,0.545
97,maitu,0.545
98,meroi,0.544
99,vahvis,0.544
