,fi_1880,fi_1880_d
0,myöliin,0.701
1,myytiin,0.687
2,myötiin,0.686
3,myyliin,0.675
4,myytiiu,0.642
5,tarjottiin,0.603
6,myöoään,0.583
7,taupalla,0.574
8,myydää,0.571
9,myödää,0.571
10,myytin,0.555
11,myöbään,0.554
12,nyödään,0.547
13,konkurssihuuto,0.54
14,pidetyllä,0.54
15,wapaaehtoisell,0.54
16,huntokanpalla,0.537
17,myiidään,0.536
18,myytään,0.536
19,mnödään,0.535
20,myödäan,0.533
21,huuto^,0.531
22,hnntokaupalla,0.529
23,pakkohuuto,0.527
24,muydään,0.526
25,myi,0.524
26,myöly,0.522
27,hnnto,0.522
28,hnuto,0.521
29,myödiiän,0.521
30,myvdään,0.52
31,apaaehtoisella,0.519
32,laupalla,0.519
33,laupall,0.518
34,myyty,0.517
35,myyvään,0.517
36,apaehtoisella,0.517
37,huutokanppa,0.516
38,myöty,0.515
39,nyydään,0.514
40,myudään,0.513
41,myödaän,0.513
42,hnutolaupalla,0.511
43,myydäön,0.511
44,pakkohuuto-,0.511
45,mylidään,0.511
46,mapaachtoisclla,0.51
47,hnntokanppa,0.509
48,upalla,0.508
49,myyoään,0.508
50,nautittawalsi,0.508
51,tolaupalla,0.507
52,mvydään,0.507
53,faupalla,0.507
54,huulolau,0.506
55,huutolaupalla,0.506
56,myydiiän,0.506
57,myndään,0.506
58,myylämälsi,0.501
59,myydäin,0.501
60,huutofaupalla,0.501
61,huutotaupalla,0.5
62,apaalla,0.499
63,kaupalla,0.499
64,buutofaupalla,0.499
65,julfifclla,0.498
66,huulolaupalla,0.498
67,malsawalle,0.497
68,wapaachtoisella,0.497
69,lvapaaehtoisella,0.494
70,wapaachtoisclla,0.494
71,myydöän,0.494
72,lorilla,0.493
73,huntolauppa,0.492
74,mapaaehtoisclla,0.491
75,huutotauppa,0.491
76,wapaaehtoisclla,0.49
77,totaupalla,0.489
78,hullisella,0.488
79,huutolaupall,0.487
80,möimät,0.487
81,hnntokanpalla,0.487
82,myydiän,0.487
83,huutokaupalla,0.486
84,nlyydään,0.486
85,lauppatorilla,0.486
86,pakkohuutokau,0.486
87,myydän,0.486
88,konkurssihuutokaupassa,0.484
89,huutolaupllllll,0.484
90,buuto,0.484
91,huutolanpalla,0.483
92,mapaachtoisella,0.483
93,huntolaupalla,0.483
94,ostettiin,0.482
95,toimitetulla,0.481
96,julllsella,0.481
97,urallahuutolaupalla,0.481
98,lonlurssihuutolaupalla,0.48
99,huntokaupalla,0.48
