,agitatsiooni,aiheuttaa,aika,aikakausi,aikaväli,ajanjakso,ajankohta,akatemia,alamainen,alku,alue,arkisto,artikkeli,artikla,asema,asukas,avustaa,bonapartism,demokratia,dynastia,edistynyt,eduskunta,edustajisto,edustus,eheys,entinen,erilainen,erkaantua,erottaa,esittää,etu,eurooppa,eurooppalainen,hallinnallinen,hallinto,hallintojärjestelmä,hallitsija,hallitus,hallitusaika,hallitusmuoto,herttua,herttuakunta,hetki,historia,historiallinen,historiankirjoittaja,historiankirjoitus,historioitsija,hyöty,idea,ihminen,ihmis-,inhimillinen,intellektuelli,intressi,irrottaa,irtautua,isänmaa,itsellisyys,itsemääräys,jakaa,jakautua,johtaja,julkaista,julkinen,järjestelmä,jäsen,kannattaa,kansa,kansakunta,kansalainen,kansallinen,kansanedustus,karjala,karjalainen,kartta,kausi,kehittynyt,keisari,keisarikunta,keisarilinen,kenraali,keskiaika,keskitetty,kieli,kirjoitus,kolkka,komento,kommunism,konservatism,kotimaa,kotimainen,koulu,kruunu,kulmakunta,kulttuuri,kuningas,kuningaskunta,kuninkaallinen,kunta,kysymys,käsitellä,käsitys,laki,lausunto,lehti,liberaali,liberalismi,liittää,loukkaamattomuus,luku,luoda,luonne,luonto,luovutettu,luovuttaa,lääni,maa-alue,maakunta,maantieteellinen,mahti,markka,mielenilmaus,mielikuva,ministeristö,mobilisaatio,monarkki,moraali,muodollinen,muodostaa,muodostua,muotoutua,myytti,määräys,napoleon,neuvotella,nyky-,oikeus,oppilaitos,osallistua,osavaltio,paikallinen,paikallis-,painattaa,parlamentti,patriotism,periaate,periodi,perustaa,perustuslaki,pietari,pohjoismaa,politiikka,provinssi,puhe,puolustaa,pykälä,päätös,raha,rahoittaa,raja,rajaseutu,ratkaisu,rauha,republikanism,res publica,retoriikka,riidanalainen,riitainen,riski,ruhtinaskunta,ruotsalainen,ruotsi,sanomalehti,senaatti,separatismi,seutu,sisä,sisäinen,sivistys,skandinavia,sopimus,sosiaalinen,sota,status,suojella,suomalainen,suomenmaa,suomi,suuriruhtinaanmaa,suuriruhtinaskunta,suurvalta,suvereeni,synty,sääntö,sääty,talous,tasa-arvo,terrorism,tiede,toimivalta,traktaatti,tsaari,tukea,uhka,uskomus,vaara,vaihe,vaihtaa,vaihtoehto,vaino,vallanpitäjä,valta,valtakunta,valtias,valtio,valtiomuoto,valtionjohto,valtiopäivät,valtiosääty,valtioviisaus,valuutta,vandalism,vanha,varhainen,varhais,vastalause,venäjä,venäläinen,vertailu,virallinen,virkamies,voima,vuosisata,yhdistyä,yhdistää,yhteiskunnallinen,yhteiskunta,yhteistoiminta,yhteistyö,yhteisö,yhteys,yksimielisyys,yleinen,yleis-,yliopisto,itsenäinen,valtiosääntö,älykkö,älyllinen,year
1820,0,0,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,378,0,0,0,1,0,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,2,0,2,14,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,9,4,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820
1821,0,0,12,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,1,0,18,2,0,0,0,0,0,0,0,0,340,0,0,0,2,0,2,0,34,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,8,5,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,2,2,12,34,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,10,9,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1821
1822,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,11,1,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,303,0,0,0,2,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,8,0,0,6,0,0,0,0,0,0,2,0,1,0,0,0,0,9,0,0,3,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,16,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,1,3,9,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,4,5,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1822
1823,0,0,19,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,13,1,0,0,0,0,0,0,0,0,331,0,0,0,3,0,5,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823
1824,0,0,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,1,0,0,0,0,0,0,27,1,0,0,2,0,0,0,0,0,402,0,0,0,3,0,1,1,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,14,0,0,1,5,0,0,2,0,2,0,0,0,0,4,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1824
1825,0,0,18,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,364,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,4,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825
1826,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,1,0,0,1,0,0,0,0,0,349,0,0,0,1,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1826
1827,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,7,1,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1827
1829,0,0,29,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,2,0,0,3,0,0,0,0,0,0,4,0,0,0,0,6,1,0,0,0,0,0,0,22,0,0,0,2,0,0,1,0,0,719,0,0,0,0,0,0,0,144,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,9,0,3,0,0,0,0,11,0,1,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,2,1,0,30,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,7,5,1,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1829
1830,0,0,32,0,0,0,0,0,4,8,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,17,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,0,0,0,2,0,0,0,0,0,604,0,0,0,5,0,2,0,135,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,2,0,0,0,0,6,1,0,9,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,1,1,0,26,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,2,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1830
1831,0,0,26,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,478,0,0,0,2,0,0,1,127,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,157,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,27,0,0,0,0,0,0,1,0,0,12,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1831
1832,0,0,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,289,0,0,0,1,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,0,0,0,0,13,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832
1833,0,0,25,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,589,0,0,0,4,0,3,4,112,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,3,0,0,2,0,9,0,0,0,0,20,0,0,7,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1833
1834,0,0,22,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,5,0,0,7,0,6,1,0,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,500,0,0,0,2,0,2,0,240,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,4,0,3,0,0,0,0,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1834
1835,0,0,10,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,0,4,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1835
1836,0,0,62,0,0,0,0,0,3,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,1,0,1,0,12,0,0,0,0,0,2,1,0,0,2,0,4,1,0,0,0,0,0,0,119,3,0,0,0,0,0,1,0,0,1258,0,0,0,6,0,3,1,77,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,15,0,2,0,0,0,2,0,9,3,0,0,32,0,0,1,3,0,1,11,0,11,0,0,2,0,48,5,1,20,0,0,5,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,0,1,1,10,0,0,0,0,16,0,0,0,0,1,2,0,2,2,0,0,0,0,2,0,0,0,0,0,19,0,0,1,0,2,0,0,0,0,5,0,2,39,0,0,0,0,0,0,0,1,0,12,2,0,0,4,0,8,3,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,1,35,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1836
1837,0,0,62,0,0,0,0,0,2,23,0,0,0,0,0,5,2,0,0,2,0,0,0,0,0,13,0,0,0,0,12,0,0,0,0,0,6,16,1,1,2,0,8,11,0,0,0,0,6,0,83,0,0,0,0,0,0,0,0,0,1693,0,3,1,3,0,3,2,258,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,1,0,4,2,0,0,130,0,0,3,9,0,3,9,0,8,0,0,1,0,34,3,1,16,0,2,3,0,8,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,2,0,1,5,1,4,0,0,24,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,0,45,0,0,1,0,0,0,0,0,0,12,1,2,37,1,0,0,0,0,0,1,1,0,9,2,0,0,5,0,71,17,2,1,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,1,35,0,10,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,1837
1838,0,0,40,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,2,0,78,4,0,0,0,0,0,0,0,0,500,0,0,0,3,0,5,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,1,19,0,1,0,0,1,0,20,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,5,0,5,3,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1838
1839,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839
1840,0,0,85,0,0,0,0,0,14,15,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,18,1,0,0,0,4,0,0,0,0,0,9,39,0,0,4,0,9,9,1,0,0,0,5,0,54,5,0,0,0,0,0,0,0,0,1124,0,0,0,0,0,4,7,90,1,0,1,0,0,0,1,0,0,26,0,1,3,0,0,30,0,3,1,0,0,0,0,6,5,0,0,34,0,0,5,6,0,0,8,0,6,0,0,1,0,32,0,0,19,0,0,9,0,8,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,5,0,0,0,12,0,13,0,0,63,0,0,0,0,0,1,0,0,1,0,4,0,1,6,0,1,0,0,0,99,0,0,2,0,1,0,0,0,0,3,1,4,38,0,0,0,0,0,44,0,0,0,13,0,0,0,6,0,81,15,4,0,0,0,0,0,0,0,0,67,1,0,0,0,0,0,0,3,27,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1840
1841,0,0,33,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,1,0,0,0,5,0,0,0,0,0,2,4,0,0,0,0,9,5,0,0,0,0,1,0,24,7,0,0,0,0,0,0,0,0,655,0,0,0,1,0,4,3,27,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,3,0,3,0,0,0,0,10,0,0,3,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,13,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,1,0,32,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841
1842,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1842
1844,0,0,27,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,4,0,35,0,0,0,1,0,0,0,0,0,588,0,0,0,1,0,6,1,75,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,1,0,3,1,0,0,4,0,0,0,4,0,1,3,0,3,0,0,1,0,26,0,0,10,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,63,0,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,2,22,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,10,1,0,0,0,0,0,0,0,0,0,38,0,0,0,1,0,0,0,1,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1844
1845,0,0,44,0,0,0,0,0,3,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,3,0,0,0,8,0,0,0,1,0,0,5,0,0,5,0,1,8,0,0,0,0,1,0,59,2,0,0,1,0,0,0,0,0,744,0,0,0,2,0,3,2,39,1,0,1,0,0,0,5,0,0,0,0,5,2,0,0,15,1,2,0,0,0,1,0,10,0,0,0,5,0,0,0,1,0,2,11,0,11,0,0,0,0,15,1,0,10,0,0,1,0,1,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,1,6,0,2,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,0,0,4,0,0,0,0,0,0,1,2,0,29,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,3,26,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1845
