,absolutism,administrativ,akademi,allmoge,allmän,allmänna,alternativ,amerikanism,anakronism,anarkism,annan,annorlunda,antagonism,antisemitism,arkiv,artikel,assosiera,ateism,autonomi,avtal,barbarism,befattningshavare,begrepp,bilda,bonapartism,byråkratism,byta,central,cesarism,chauvinism,dagstidning,del,dela,delstat,delta,demokrati,demokratism,despotism,diskutera,dogmatism,dynastisk,ekonomi,ekonomisk,epok,era,europa,europeisk,fanatism,fatalism,federalism,fennicism,finans,finland,finlandism,finländare,finländsk,finne,finsk,finska,folk,folkrepresentation,form,formalism,fred,fråga,furstendöme,förbi,fördrag,förena,föreställning,författning,förhandla,förra,försvara,förvaltningssystem,förändring,gemensam,general,gensaga,geografisk,gestalt,grundlag,gräns,gränslandet,gränslinje,gudasaga,hertig,hertigdöme,hisoriograf,historia,historie-,historieskrivning,historiker,historisk,human,humanism,huvud,härskare,hävdateckning,idea,idealism,ifrågasatta,imperialism,imperium,indifferentism,individualism,inre,inrikes,integritet,intellectual,intern,intresse,invändning,invånare,jämförelse,jämlikhet,karelare,karelen,karelsk,karta,katolicism,kejsardöme,kejsare,kejserling,klerikalism,knutpatriotism,kombinera,kommunism,koncept,konservatism,konstitution,konstitutionalism,kontroversiell,kosmopolitism,krig,kultur,kung,kynne,lag,land,landområde,landtag,liberal,liberalism,lokal,lokalpatriotism,makt,marskalk,materialism,medborgare,medeltid,medlem,militarism,mobilisering,modern,monark,mynt,myt,napoleon,nation,naturalism,nature,nepotism,nihilism,nordiska,nutida,nyhetstidning,offentlig,officiell,olik,område,omtvistad,orts-,panslavism,paragraf,parlament,parlamentarianism,parlamentarisk regering,partifanatism,partikularism,patriotism,pengar,penning,period,pest,petersburg,pietism,polism,politik,positivism,princip,protektionism,protest,provins,publicera,radikalism,rationalism,realism,regel,regent,regering,regeringsform,region,representation,republikanism,res publica,retorik,retorisk,rike,riksdag,risk,ryska,ryss,ryssland,rätt-,rättighet,samarbete,samband,samfund,samhällelig,samhället,samhällsform,sankt petersburg,schism,sedel,sekel,sekterism,senat,separatismen,servilism,självstyrelse,skandinavien,skandinavism,skapa,skede,skepticism,skilja,slant,social,socialism,språk,språkdualism,språkfanatism,stat,statsform,statsorganism,statsskick,status,storfurstendöme,styre,styresman,ställning,stånd,stödja,stötta,suverän,suveränitet,svenska,sverige,swensk,system,talet,territorium,terrorism,tid,tidig,tidigare,tidstrogen,tjänsteman,trakt,tsar,tvistig,underståte,universitet,utforma,utilitarism,utvecklad,utverka,valuta,vandalism,vaxlä,vetenskap,välde,ämbetsman,århundrade,åsikt,överenskommelse,överlåta,year
1627-1632,0.0,0.0,0.0,57.66748143827942,24.901866984711564,7.208435179784927,0.0,0.0,0.0,0.0,43.250611078709554,7.208435179784927,0.0,0.0,39.318737344281416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.310624578142714,0.655312289071357,0.0,0.0,3.9318737344281414,0.0,0.0,0.0,0.0,1280.4802128454317,61.59935517270755,0.0,13.10624578142714,0.0,0.0,0.0,0.0,0.0,0.0,0.655312289071357,0.655312289071357,0.0,842.731603745765,0.655312289071357,0.655312289071357,0.0,0.0,0.0,0.0,0.0,40.62936192242413,0.0,0.0,0.0,79.2927869776342,4.587186023499498,2.621249156285428,77.32685011042012,0.0,19.00405638306935,0.0,136.9602684159136,35.38686360985328,1.310624578142714,48.49310939128041,5.897810601642212,2.621249156285428,1.310624578142714,0.0,7.208435179784927,16.382807226783925,15.072182648641208,0.0,7.863747468856283,7.208435179784927,11.140308914213067,0.0,0.0,0.0,0.0,2.621249156285428,0.0,0.0,0.0,15.072182648641208,1.9659368672140707,0.0,7.208435179784927,1.9659368672140707,0.0,0.0,1.310624578142714,0.0,0.0,62.254667461778915,0.0,0.0,474.44609728766244,0.0,0.0,0.0,0.0,0.0,0.0,9.174372046998997,0.0,0.0,0.0,30.144365297282416,1.310624578142714,1.310624578142714,0.0,0.0,0.0,0.0,4.587186023499498,0.0,0.0,0.0,0.0,22.93593011749749,0.0,0.0,0.0,0.0,0.0,3.9318737344281414,0.0,0.0,0.0,0.0,0.0,218.21899226076187,0.0,1.9659368672140707,0.0,292.2692809258252,988.2109319196064,0.0,0.0,2.621249156285428,0.0,0.0,0.0,22.93593011749749,318.48177248867944,0.0,0.0,0.0,7.863747468856283,0.0,0.0,0.0,0.0,26.867803851925636,0.655312289071357,0.0,15.072182648641208,0.0,1.310624578142714,0.0,0.0,0.0,0.0,0.0,5.242498312570856,0.0,6.55312289071357,0.0,0.0,34.076239031710564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.072182648641208,73.39497637599197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9659368672140707,0.0,6.55312289071357,0.655312289071357,1.9659368672140707,0.0,0.0,0.0,0.0,1.310624578142714,12.450933492355782,0.0,0.0,0.655312289071357,0.0,0.0,0.0,0.0,109.4371522749166,121.8880857672724,52.42498312570856,0.0,104.84996625141711,0.655312289071357,184.79806551812268,10.484996625141711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.174372046998997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.863747468856283,1.9659368672140707,0.0,0.655312289071357,0.0,0.0,0.0,9.829684336070354,0.0,0.0,186.10869009626538,0.0,0.0,0.655312289071357,0.655312289071357,0.0,8.519059757927641,0.0,6.55312289071357,651.3804153369289,0.0,0.0,0.0,0.0,13.761558070498497,101.57340480606034,30.144365297282416,0.0,3.9318737344281414,0.0,0.0,228.04867659683222,7.863747468856283,0.655312289071357,0.0,0.0,19.659368672140708,17.038119515855282,1.310624578142714,0.0,0.0,0.0,0.0,0.655312289071357,0.0,0.0,0.0,0.655312289071357,0.655312289071357,25.55717927378292,0.0,0.655312289071357,0.0,0.0,0.0,1627
1633-1638,0.0,0.0,0.49029221415963914,43.63600706020788,13.237889782310257,3.922337713277113,0.0,0.0,0.0,0.0,62.26711119827417,11.76701313983134,0.0,0.0,46.57776034516572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4708766424789175,0.49029221415963914,0.0,0.0,4.902922141596392,0.0,0.0,0.0,0.0,1233.0849186114924,51.480682486762106,0.0,6.864090998234947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.506962149441,0.49029221415963914,0.0,0.0,0.0,0.0,0.0,0.9805844283192783,41.67483820356933,0.0,0.0,0.0,92.6652284761718,1.4708766424789175,0.9805844283192783,41.184545989409685,0.0,104.92253383016278,0.0,123.06334575406942,54.91272798587958,0.9805844283192783,41.67483820356933,12.25730535399098,1.9611688566385566,0.49029221415963914,1.4708766424789175,3.922337713277113,25.004902922141593,11.76701313983134,0.0,10.78642871151206,5.88350656991567,16.179643067268092,0.0,0.0,0.0,0.49029221415963914,1.9611688566385566,0.0,0.0,0.0,16.66993528142773,0.0,0.0,2.451461070798196,0.49029221415963914,0.0,0.0,0.0,0.0,0.0,35.30103941949402,0.0,0.0,449.10766817022943,0.0,0.49029221415963914,0.0,0.49029221415963914,0.0,0.0,2.941753284957835,6.3737987840753085,0.0,0.0,18.14081192390665,1.9611688566385566,0.0,0.0,0.49029221415963914,0.0,0.0,10.296136497352421,0.0,0.0,0.0,0.0,6.3737987840753085,0.0,0.0,0.0,0.0,0.0,8.825259854873504,0.0,0.0,0.0,0.0,0.0,176.5051970974701,0.0,17.65051970974701,0.0,360.36477740733477,1103.6477740733478,0.0,0.0,0.9805844283192783,0.0,0.0,0.0,21.57285742302412,293.68503628162387,0.0,0.0,0.0,7.844675426554226,0.0,0.0,0.0,0.0,27.946656207099434,0.0,0.0,27.45636399293979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9611688566385566,0.49029221415963914,8.334967640713865,0.0,0.0,42.655422631888605,0.0,0.9805844283192783,0.0,0.0,0.0,0.0,0.0,0.0,4.902922141596392,40.69425377525005,0.49029221415963914,2.451461070798196,0.0,0.0,0.0,0.0,0.0,0.49029221415963914,0.0,11.76701313983134,5.39321435575603,7.354383212394588,0.0,0.0,0.0,2.451461070798196,4.902922141596392,325.06373798784074,26.475779564620513,0.0,0.0,0.0,0.0,0.0,0.0,99.03902726024711,71.09237105314767,39.223377132771134,3.922337713277113,98.05844283192783,11.76701313983134,298.0976662090606,9.315552069033144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.14081192390665,0.0,0.0,2.941753284957835,0.0,0.0,0.0,0.0,0.0,19.121396352225926,6.3737987840753085,0.0,0.49029221415963914,0.0,0.0,0.0,10.296136497352421,0.0,0.0,216.7091586585605,0.0,0.0,0.0,2.941753284957835,0.0,24.51461070798196,0.49029221415963914,7.354383212394588,705.0402039615611,0.49029221415963914,0.0,0.0,0.0,9.805844283192783,126.4953912531869,18.14081192390665,0.0,13.237889782310257,0.0,0.0,180.91782702490684,8.334967640713865,1.9611688566385566,0.0,0.0,19.121396352225926,13.728181996469894,1.4708766424789175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9805844283192783,0.0,7.844675426554226,0.0,0.49029221415963914,0.0,0.0,0.0,1633
1640-1644,0.0,0.0,0.0,59.88078280514249,12.701984231393862,3.6291383518268177,0.0,0.0,0.0,0.0,64.41720574492601,10.887415055480451,0.0,0.0,61.6953519810559,0.9072845879567044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.721853763870113,0.0,0.0,0.0,0.0,1305.5825220696977,33.56952975439806,0.0,0.9072845879567044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318.2845063010914,1.8145691759134088,0.0,0.0,0.0,0.0,0.0,0.0,16.33112258322068,0.0,0.0,0.0,107.05958137889112,0.0,0.0,57.15892904127238,0.0,46.27151398579193,0.0,85.28475126793022,15.423837995263975,0.9072845879567044,50.80793692557545,2.721853763870113,0.0,0.0,0.0,0.0,30.84767599052795,12.701984231393862,0.0,3.6291383518268177,0.0,19.052976347090794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.072845879567044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.52979068944556,0.0,0.0,444.56944809878513,0.0,0.0,0.0,0.0,0.0,0.0,7.258276703653635,2.721853763870113,0.0,0.0,1.8145691759134088,0.0,0.0,0.0,0.0,0.0,0.0,8.16556129161034,0.0,0.0,0.0,0.0,1.8145691759134088,0.0,0.0,0.0,0.0,0.0,11.794699643437156,0.0,0.0,0.0,0.0,0.0,185.9933405311244,0.0,9.980130467523749,0.0,430.96017927943456,1099.6289206035258,0.0,2.721853763870113,4.536422939783522,0.0,0.0,0.0,19.052976347090794,503.54294631597094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.80793692557545,0.0,0.0,13.609268819350566,0.0,0.9072845879567044,0.0,0.0,0.0,0.0,0.0,0.9072845879567044,0.0,2.721853763870113,0.0,0.0,42.64237563396511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.26488173545395,0.0,0.9072845879567044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.443707527740226,0.0,3.6291383518268177,0.0,0.0,0.0,2.721853763870113,2.721853763870113,416.4436258721273,4.536422939783522,0.0,0.0,0.0,0.0,0.0,0.0,71.67548244857964,28.125822226657835,85.28475126793022,0.0,44.456944809878514,0.9072845879567044,225.91386240121938,8.16556129161034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.980130467523749,0.0,0.0,0.9072845879567044,0.0,0.0,0.0,0.0,0.0,0.9072845879567044,4.536422939783522,0.0,0.0,0.0,0.0,0.0,1.8145691759134088,0.0,0.0,195.97347099864814,0.0,0.0,0.0,0.0,0.0,3.6291383518268177,0.0,0.9072845879567044,430.96017927943456,0.0,0.0,0.0,0.0,0.9072845879567044,37.19866810622488,1.8145691759134088,0.0,24.496683874831017,0.0,0.0,146.0728186610294,2.721853763870113,0.0,0.0,0.0,24.496683874831017,12.701984231393862,3.6291383518268177,0.0,0.9072845879567044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.072845879567044,0.0,0.0,0.0,0.0,0.0,1640
1645-1651,0.0,0.0,0.0,50.80552878109465,11.870450649788468,0.0,0.0,0.0,0.0,0.0,88.3161528344262,4.273362233923849,0.0,0.0,0.0,2.3740901299576938,0.0,0.0,0.0,0.0,0.0,0.0,0.4748180259915387,0.0,0.0,0.0,6.1726343378900035,0.0,0.0,0.0,0.0,1096.8296400404545,30.863171689450017,0.0,0.0,0.0,0.0,0.0,0.4748180259915387,0.0,0.0,0.0,0.0,0.0,1529.3888617187463,0.9496360519830774,0.0,0.0,0.0,0.0,0.0,0.0,11.39563262379693,0.0,0.0,0.4748180259915387,82.1435184965362,1.4244540779746162,0.0,35.61135194936541,0.0,28.014263533500785,0.0,144.34467990142778,48.43143865113695,2.3740901299576938,49.855892729111574,5.222998285906926,0.4748180259915387,0.0,0.9496360519830774,3.7985442079323097,33.23726181940771,9.496360519830775,0.0,9.496360519830775,0.0,30.388353663458478,0.0,0.0,0.0,0.0,1.4244540779746162,0.0,0.0,0.0,38.46026010531464,0.9496360519830774,0.0,0.4748180259915387,0.4748180259915387,0.0,0.0,0.0,2.3740901299576938,0.0,19.46753906565309,0.0,0.0,368.9336061954256,0.0,0.0,0.0,0.0,0.0,0.0,13.294904727763086,0.4748180259915387,0.0,0.0,16.618630909703857,0.4748180259915387,0.0,1.8992721039661549,0.0,0.0,0.0,1.8992721039661549,0.0,0.0,0.0,0.0,0.9496360519830774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.35894343492856,0.0,3.7985442079323097,0.4748180259915387,460.09866718580105,1025.132118115732,0.0,1.4244540779746162,0.4748180259915387,0.0,0.0,0.0,5.222998285906926,246.43055548960862,0.0,0.0,0.0,1.4244540779746162,0.0,0.0,0.0,0.0,18.99272103966155,0.4748180259915387,0.0,22.79126524759386,0.0,2.8489081559492324,0.0,0.0,0.0,0.0,0.0,2.3740901299576938,0.0,1.4244540779746162,0.0,0.0,26.589809455526172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.46724467847697,0.0,1.8992721039661549,0.0,0.0,0.0,0.0,0.0,4.7481802599153875,0.0,2.3740901299576938,0.0,10.445996571813852,0.0,0.0,0.0,0.4748180259915387,2.8489081559492324,9.496360519830775,0.0,0.9496360519830774,0.0,0.0,0.0,0.0,0.0,48.43143865113695,16.143812883712318,28.963899585483862,0.9496360519830774,11.39563262379693,1.8992721039661549,379.854420793231,6.647452363881543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4244540779746162,0.0,0.0,5.697816311898465,0.0,0.0,0.0,0.0,0.0,0.4748180259915387,5.697816311898465,0.0,0.0,0.0,0.0,0.0,2.3740901299576938,0.0,0.0,236.4593769437863,0.0,0.0,0.0,0.4748180259915387,0.4748180259915387,7.5970884158646195,0.0,2.3740901299576938,521.8250105647011,0.0,0.0,0.0,0.0,2.8489081559492324,53.179618911052344,16.618630909703857,0.0,29.913535637466943,0.0,0.0,189.9272103966155,5.222998285906926,0.0,0.0,0.0,22.31644722160232,5.222998285906926,0.9496360519830774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8992721039661549,0.0,12.820086701771546,0.0,0.0,0.0,0.0,0.0,1645
1652-1655,0.0,0.0,0.0,16.435609391307207,10.272255869567003,0.0,0.0,0.0,0.0,0.0,119.56905832175994,4.108902347826802,0.0,0.0,0.0,2.876231643478761,0.41089023478268016,0.0,0.0,0.0,0.0,0.0,4.519792582609482,0.0,0.0,0.0,3.2871218782614413,0.0,0.0,0.0,0.0,779.869665617527,27.94053596522225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1438.5267119741632,1.6435609391307207,0.0,0.0,0.0,0.0,0.0,0.0,16.846499626089887,0.0,0.0,0.0,61.22264498261934,4.108902347826802,0.0,3.2871218782614413,0.0,20.955401973916686,0.0,48.07415746957358,94.09386376523375,0.41089023478268016,36.98012113044121,3.2871218782614413,0.8217804695653603,0.0,6.163353521740203,0.8217804695653603,12.737597278263083,12.326707043480406,0.0,14.381158217393805,0.0,23.831633617395447,0.0,0.0,0.0,0.0,5.752463286957522,0.0,0.0,0.0,5.341573052174843,0.0,0.0,0.0,0.8217804695653603,0.0,0.0,0.0,0.8217804695653603,0.0,25.475194556526166,0.0,0.0,359.9398456696278,0.0,0.0,0.0,0.0,0.0,0.0,6.163353521740203,0.41089023478268016,0.0,0.0,2.876231643478761,1.6435609391307207,0.0,0.41089023478268016,0.0,0.0,0.0,1.6435609391307207,0.0,0.0,0.0,0.0,0.41089023478268016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.02955944349026,0.0,7.396024226088243,0.0,449.1030266174694,910.5327602784192,0.0,0.41089023478268016,0.41089023478268016,0.0,0.0,0.0,2.876231643478761,390.3457230435462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.806914460870923,0.0,0.0,39.445462539137296,0.0,2.876231643478761,0.0,0.0,0.0,0.0,0.0,0.41089023478268016,0.0,0.0,0.0,0.0,21.777182443482047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.95522940001807,0.0,2.054451173913401,0.0,0.0,0.0,0.41089023478268016,0.0,4.930682817392162,0.0,9.450475400001643,0.0,3.2871218782614413,0.0,0.0,0.0,0.8217804695653603,4.108902347826802,25.88608479130885,0.41089023478268016,0.0,0.0,0.0,0.0,0.0,0.0,24.242523852178127,6.163353521740203,28.76231643478761,0.0,16.024719156524526,4.930682817392162,392.4001742174595,4.108902347826802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8217804695653603,0.0,0.0,0.41089023478268016,0.0,0.0,0.0,0.0,0.0,0.0,0.8217804695653603,0.0,2.465341408696081,0.0,0.0,0.0,1.6435609391307207,0.0,0.0,200.10354433916524,0.0,0.0,0.0,2.054451173913401,0.41089023478268016,12.737597278263083,0.0,2.054451173913401,390.3457230435462,0.8217804695653603,0.0,0.0,0.0,0.41089023478268016,46.01970629566018,2.876231643478761,0.0,9.039585165218964,0.0,0.0,136.4155579478498,2.054451173913401,0.0,0.0,0.0,16.435609391307207,4.519792582609482,2.054451173913401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41089023478268016,9.861365634784324,0.0,0.0,0.0,0.0,0.0,1652
1656-1658,0.0,0.0,0.0,53.81135755965494,10.93043200430491,0.0,0.8408024618696084,0.0,0.0,0.0,99.21469050061378,0.0,0.0,0.0,0.0,0.8408024618696084,0.0,0.0,0.0,0.0,0.0,0.0,1.6816049237392168,0.0,0.0,0.0,5.04481477121765,0.0,0.0,0.0,0.0,728.1349319790809,29.428086165436294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2057.4436241949315,1.6816049237392168,0.0,0.0,0.0,0.0,0.0,0.0,10.93043200430491,0.0,0.0,0.0,61.37857971648141,0.8408024618696084,0.0,64.74178956395984,0.0,45.403332940958855,0.0,77.35382649200398,35.31370339852355,2.522407385608825,35.31370339852355,5.885617233087259,4.204012309348042,0.0,1.6816049237392168,0.8408024618696084,10.93043200430491,5.885617233087259,0.0,7.5672221568264755,0.0,54.652160021524544,0.0,0.0,0.0,0.0,0.8408024618696084,0.0,0.0,0.0,9.248827080565693,1.6816049237392168,0.0,0.0,0.0,0.0,0.0,0.8408024618696084,0.0,0.0,50.44814771217651,0.0,0.0,258.96715825583937,0.0,0.0,0.0,0.8408024618696084,0.0,0.0,7.5672221568264755,0.0,0.0,0.0,13.452839389913734,2.522407385608825,1.6816049237392168,0.0,0.0,0.0,0.0,0.8408024618696084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.2548135940942,0.0,1.6816049237392168,0.0,334.63937982410414,820.6232027847378,0.0,0.0,0.0,0.0,0.0,0.0,16.816049237392168,24.383271394218642,0.0,0.0,0.0,0.0,0.0,0.0,0.8408024618696084,0.0,21.86086400860982,0.0,0.0,30.268888627305902,0.0,1.6816049237392168,0.0,0.0,0.0,0.0,0.0,4.204012309348042,0.8408024618696084,2.522407385608825,0.0,0.0,22.701666470479427,0.0,0.0,0.8408024618696084,0.0,0.0,0.0,0.0,0.0,0.0,73.14981418265593,0.0,0.8408024618696084,0.0,0.0,0.0,0.0,0.0,7.5672221568264755,0.0,14.293641851783343,0.0,0.8408024618696084,0.0,0.0,0.0,0.0,0.0,0.8408024618696084,0.0,0.0,2.522407385608825,0.0,0.0,0.0,0.0,15.134444313652951,10.0896295424353,56.333764945263766,0.0,64.74178956395984,0.8408024618696084,253.08154102275213,0.8408024618696084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5672221568264755,0.0,0.0,0.0,0.0,0.0,0.8408024618696084,0.8408024618696084,0.0,0.8408024618696084,0.0,0.0,0.0,1.6816049237392168,0.0,0.0,258.12635579396976,0.0,0.0,0.0,1.6816049237392168,2.522407385608825,5.04481477121765,0.0,5.885617233087259,424.6052432441522,0.0,0.0,0.0,0.0,3.3632098474784335,74.83141910639515,13.452839389913734,0.0,18.497654161131386,0.0,0.0,40.3585181697412,1.6816049237392168,0.0,0.0,0.0,5.885617233087259,9.248827080565693,0.0,0.0,1.6816049237392168,0.0,0.0,0.0,0.0,0.0,0.0,2.522407385608825,0.0,3.3632098474784335,0.0,0.0,0.0,0.0,0.0,1656
1660,0.0,0.0,0.0,10.72646388004426,13.549217532687488,0.0,0.0,0.0,0.0,0.0,73.3915949687239,3.951855113700517,0.0,0.0,0.0,1.1291014610572907,0.5645507305286454,0.0,0.0,0.0,0.0,0.0,2.2582029221145814,0.5645507305286454,0.0,0.0,5.080956574757808,0.0,0.0,0.0,0.0,963.6880970123975,36.69579748436195,0.0,1.693652191585936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2130.6144570151073,4.516405844229163,0.0,0.0,0.0,0.0,0.0,0.0,19.19472483797394,0.0,0.0,0.0,75.08524716030982,2.2582029221145814,1.693652191585936,10.72646388004426,0.0,117.99110268048688,0.0,210.57742248718472,19.759275568502584,0.0,31.614840909604137,10.161913149515616,0.5645507305286454,0.0,3.387304383171872,1.693652191585936,7.33915949687239,5.645507305286453,0.0,21.45292776008852,0.0,53.067768669692654,0.0,0.0,0.0,0.0,0.5645507305286454,0.0,0.0,0.0,21.45292776008852,0.0,0.0,0.0,0.5645507305286454,0.0,0.0,0.0,0.5645507305286454,0.0,14.113768263216134,0.0,0.0,370.3452792267913,0.0,0.0,0.0,0.5645507305286454,0.0,0.0,7.903710227401034,0.5645507305286454,0.0,0.0,53.632319400221306,0.0,0.5645507305286454,1.1291014610572907,0.0,0.0,0.0,3.387304383171872,0.0,6.774608766343744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.85985592665357,0.0,4.516405844229163,0.0,433.5749610459996,775.6927037463587,0.0,0.0,0.5645507305286454,0.0,0.0,0.0,1.693652191585936,207.75466883454146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.242869724273422,0.5645507305286454,0.0,49.11591355599214,0.0,3.387304383171872,0.0,0.0,0.0,0.0,0.0,4.516405844229163,0.0,1.693652191585936,0.0,0.0,30.485739448546845,0.0,0.0,6.2100580358150985,0.0,0.0,0.0,0.0,0.0,0.0,39.51855113700517,0.0,6.2100580358150985,0.0,0.0,0.0,0.0,0.0,9.032811688458326,0.0,14.113768263216134,1.1291014610572907,3.951855113700517,0.0,0.0,0.0,1.1291014610572907,1.1291014610572907,271.5489013842784,44.03495698123434,1.1291014610572907,0.0,0.0,0.0,0.0,0.0,50.24501501704943,20.323826299031232,70.00429058555201,15.242869724273422,79.60165300453899,3.387304383171872,412.12203328591113,2.8227536526432266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1291014610572907,0.0,0.0,17.501072646388003,0.0,0.0,0.0,0.0,0.0,1.1291014610572907,9.59736241898697,0.0,0.0,0.0,0.0,0.0,2.2582029221145814,0.0,0.0,335.9076846645439,0.0,0.0,0.0,4.516405844229163,0.0,19.759275568502584,0.0,1.1291014610572907,412.12203328591113,0.0,0.0,0.0,0.0,3.951855113700517,129.8466680215884,53.632319400221306,0.0,2.8227536526432266,0.5645507305286454,0.0,171.62342208070817,1.1291014610572907,0.0,0.0,0.0,10.72646388004426,8.46826095792968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5645507305286454,0.0,6.774608766343744,0.0,0.0,0.0,0.0,0.0,1660
