,words,politik,storfurstendöme,furstendöme,hertigdöme,Finland,Historia,historie-,koncept,begrepp,stat,delstat,europeisk,finsk,finländsk,finne,finländare,finska,nation,folk,universitet,sekel,talet,århundrade,gräns,modern,nutida,område,landområde,territorium,växla,förändring,byta,ryss,ryska,historisk,swensk,kejsardöme,rike,imperium,intern,inre,inrikes,Europa,diskutera,tidig,författning,konstitution,grundlag,fråga,delta,ställning,status,fred,utforma,bilda,form,gestalt,region,Fördrag,avtal,Sverige,svenska,del,skilja,dela,dynastisk,hertig,human,offentlig,allmän,utvecklad,retorik,retorisk,social,kultur,tid,skede,period,epok,era,ifrågasatta,kontroversiell,omtvistad,tvistig,språk,tidstrogen,Ryssland,makt,olik,annorlunda,stötta,stödja,backa upp,associera,representation,protest,invändning,gensaga,folkpresentation,arkiv,historieskrivning,hävdateckning,historiogaf,härskare,styresman,dela upp,skilja åt,sära på,administrativ,vetenskap,ta fram,dagstidning,nyhetstidning,nordiska,risk,historiker,publicera,samarbete,styre,välde,regel,allmänna,samhället,princip,rättighet,rätt-,medeltid,kejserlig,förbi,förra,tidigare,mobilisering,nature,kynne,intellectuell,föreställning,åsikt,idé,lokal,orts-,Petersburg,akademi,samfund,monark,regent,suverän,provins,samhällelig,samhälls-,integritet,alternativ-,annan,system,gränslinje,suveränitet,självbestemmanderätt,autonomi,självstyrelse,skapa,överlåta,krig,artikel,paragraf,land,trakt,Res Publica,karelsk,karelare,medlem,stånd,gemensam,central,huvud-,statsform,statsskick,samhällsform,regeringsform,förvaltningssystem,marskalk,befattningshavare,ämbets-,tjänste-,officiell,myt,gudasaga,intresse,regering,Napoleon,förena,slå ihop,kombinera,jämförelse,riksdag,parlament,landtag,lag,general,förhandla,utverka,få still stånd,invånare,allmoge,gränslandet,jämlikhet,liberal,kung,tsar,kejsare,forskningsfält,kartta,Skandinavien,försvara,föra ngns talan,Ekonomi,ekonomisk,finans,geografisk,senat,samband,underståte,medborgare,överenskommelse,demokrati,valuta,sedel,mynt,slant,penning,pengar,year
1680,122652,0,0,0,1,27,1,0,26,0,102,0,0,0,0,93,0,0,32,6,0,0,12,0,1,0,0,0,0,0,0,5,3,4,2,0,0,0,10,0,0,2,1,2,0,0,1,0,0,95,0,2,0,53,0,0,105,0,0,0,0,76,0,1544,0,9,0,9,0,0,11,0,0,0,0,0,12,0,0,0,2481,0,0,0,0,1,0,1,10,5,4,0,0,0,0,2,13,1,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,13,1,4,6,0,1,5,0,0,0,24,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,135,0,0,0,0,0,0,0,0,55,3,0,1160,0,0,0,0,0,270,0,0,0,0,0,0,48,0,627,0,0,0,0,0,0,0,166,0,5,0,0,0,28,0,0,496,53,1,0,0,1,43,0,0,0,9,1,0,0,0,0,30,0,0,0,0,0,14,0,0,0,0,0,0,2,14,0,72,0,1680
1682-1683,87210,0,0,0,0,16,3,0,21,0,42,0,0,2,0,86,0,1,47,13,0,0,9,0,0,0,0,0,0,0,1,8,6,0,0,0,1,0,17,0,0,0,0,3,0,1,3,0,0,120,0,4,1,87,0,0,49,0,0,0,0,44,0,917,0,1,0,0,0,0,25,0,0,0,0,0,38,1,0,0,1583,0,0,0,0,0,0,0,3,2,0,0,1,0,2,0,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,11,2,3,4,0,0,5,0,0,0,9,41,0,0,1,0,0,0,0,9,0,0,0,0,0,0,1,2,0,1,0,1,0,67,0,0,1,0,0,0,0,0,122,0,0,991,0,0,0,0,0,296,0,0,0,0,0,0,2,0,661,0,0,0,0,0,0,0,10,0,10,0,0,0,21,0,0,496,30,0,0,0,0,34,0,0,1,2,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,1,9,0,52,1,1682
1686-1689,133297,0,0,0,2,28,3,0,22,0,60,0,0,1,0,82,0,0,34,14,0,0,28,0,0,0,0,0,0,0,0,13,9,2,1,6,0,0,27,0,0,7,4,1,0,2,4,0,0,74,0,13,0,113,0,0,38,0,0,7,0,81,5,1223,0,7,0,20,0,1,43,0,0,0,0,0,10,1,1,0,1901,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,5,0,7,7,0,14,0,6,1,0,0,0,23,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,120,0,0,1046,0,0,0,0,0,276,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,1,12,0,5,0,0,0,18,0,0,653,50,0,0,0,0,51,0,0,0,8,3,1,0,0,0,13,0,0,0,0,0,3,0,0,1,0,0,0,0,43,0,91,0,1686
1693-1697,146256,0,0,1,2,17,1,0,16,0,91,0,0,2,0,112,0,0,89,18,1,0,35,0,0,0,0,0,0,0,1,11,4,3,0,0,0,0,24,0,1,0,10,2,0,4,5,0,0,54,2,11,0,91,0,0,38,0,0,3,0,74,16,1730,0,36,0,7,0,0,63,0,0,0,0,0,134,0,0,0,2164,0,0,0,2,6,0,2,14,0,3,0,0,0,0,0,6,3,0,0,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,9,0,30,9,3,16,0,3,22,2,0,1,20,61,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,124,0,0,1082,2,0,0,0,0,291,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,2,19,0,2,0,0,0,27,0,0,793,63,1,0,0,0,34,0,0,2,14,0,0,0,0,1,7,0,1,1,1,0,7,0,0,1,0,0,0,1,197,0,94,0,1693
1710,135075,1,0,0,3,49,5,0,25,0,85,0,0,13,0,102,0,4,10,18,2,0,20,0,2,0,0,0,0,0,2,17,1,46,7,1,0,0,132,0,1,1,7,1,0,5,11,0,0,70,0,18,2,113,0,0,28,0,0,3,0,55,21,1677,5,44,0,10,0,2,92,0,0,0,0,0,125,0,0,0,2235,0,0,0,0,5,0,14,46,5,5,0,0,0,0,0,1,3,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,12,0,56,5,1,45,0,5,6,0,0,0,25,34,1,0,3,0,0,9,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,108,0,0,0,0,0,0,1,0,231,0,0,1344,0,0,0,0,1,395,2,0,0,0,0,0,0,0,210,0,0,0,0,0,0,4,5,0,10,0,0,1,63,0,0,694,102,1,0,0,7,29,0,3,2,19,1,1,0,0,4,17,0,1,1,0,0,44,0,0,0,0,0,0,2,61,0,156,1,1710
1719-1720,604082,3,0,6,10,22,18,0,36,1,609,0,2,11,0,484,0,8,59,73,2,0,139,2,2,1,0,1,0,0,3,44,25,15,4,8,43,0,602,0,0,11,36,3,1,23,14,4,5,402,7,116,4,287,0,1,816,1,0,4,0,204,53,6709,34,254,0,185,1,10,348,0,0,0,0,0,1024,15,1,0,9209,0,0,0,4,17,0,7,166,20,34,0,6,0,0,0,78,1,0,0,383,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33,0,19,1,68,16,12,201,0,20,147,2,0,1,126,259,7,0,11,0,0,36,0,7,1,0,0,10,0,0,15,6,5,1,0,0,0,571,0,0,6,0,0,0,4,0,362,2,0,3904,71,0,0,0,7,6228,7,0,0,0,3,0,157,0,1069,0,2,0,0,0,0,22,562,0,67,0,0,0,727,3,0,2543,368,5,0,0,9,116,0,2,1,131,9,1,0,0,0,13,0,0,0,2,0,16,5,0,12,0,0,1,19,622,0,299,1,1719
1723,1074646,2,3,3,2,142,22,0,47,0,823,0,0,44,0,880,0,33,134,90,34,0,162,0,13,2,0,1,0,0,3,56,43,53,23,5,45,0,960,0,4,21,45,2,1,29,17,0,2,1265,11,136,0,352,0,0,1378,1,2,11,0,171,46,14132,135,581,0,188,2,5,347,0,0,0,0,0,1820,13,1,0,18122,0,0,0,19,61,0,32,124,28,90,0,16,0,7,3,101,0,1,0,755,0,0,0,0,0,1,0,0,0,6,3,0,0,0,74,1,33,0,45,20,12,183,0,23,431,1,0,0,288,549,4,0,7,3,0,46,1,16,0,0,3,28,4,0,0,2,3,0,0,0,0,746,3,0,2,0,0,0,3,1,1173,8,7,8164,54,0,0,0,35,14802,106,0,0,0,1,0,295,0,2448,0,0,0,1,4,0,15,1029,0,252,0,0,1,1637,3,0,4352,1183,5,0,0,10,210,0,2,0,295,5,8,0,0,0,38,0,33,0,0,1,36,3,0,3,0,0,2,26,232,0,366,31,1723
1726-1727,814349,8,1,2,1,117,18,0,11,1,686,0,1,96,0,807,0,79,110,61,2,0,130,0,1,1,0,0,0,0,4,23,43,74,45,2,177,0,1053,0,1,2,57,18,0,38,25,0,2,766,11,64,4,196,1,0,508,0,0,1,0,191,78,6450,32,369,0,90,0,5,242,0,0,0,0,0,1556,12,1,0,12652,0,0,3,4,27,0,62,40,30,48,0,26,0,21,0,60,2,1,0,867,0,0,0,0,0,0,0,0,0,0,5,0,0,1,47,0,31,0,42,2,7,116,0,29,271,1,0,3,204,521,10,0,12,2,0,41,0,4,4,0,9,9,1,0,2,0,11,0,0,0,0,720,5,0,0,0,0,0,1,0,509,6,6,5517,31,0,1,0,20,8968,81,0,0,0,0,0,107,0,198,0,5,0,0,0,0,10,305,0,68,0,0,3,1376,5,0,3586,610,5,1,0,12,177,0,6,4,66,3,1,0,0,3,24,0,63,1,0,0,8,1,0,9,1,0,1,7,114,0,370,20,1726
1731,472784,2,4,6,2,70,4,0,3,0,402,0,0,67,1,448,0,34,45,53,2,0,56,0,3,0,0,0,0,1,1,24,35,15,14,1,18,0,591,0,1,3,74,5,0,22,20,0,0,341,2,59,3,123,1,0,239,0,0,2,0,49,22,3862,67,200,0,7,1,0,206,0,0,0,0,0,929,11,1,0,7364,0,0,0,9,9,0,10,65,21,34,0,15,0,1,0,89,1,0,0,411,0,0,0,0,0,0,2,0,0,5,2,0,0,0,19,0,26,0,27,8,5,135,0,15,198,2,0,0,146,330,3,0,15,0,0,35,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,413,3,0,0,0,0,0,4,0,198,1,5,2884,19,0,1,0,9,4808,57,0,0,0,0,0,67,0,169,0,1,0,0,1,0,3,162,0,47,0,0,0,576,0,0,2454,252,0,0,0,6,175,0,2,3,53,10,1,0,0,0,6,0,21,0,0,0,6,0,0,7,0,0,4,20,89,0,442,2,1731
1734,925664,5,6,6,0,180,16,0,20,2,912,0,0,135,0,819,0,101,116,109,22,0,117,0,14,2,0,1,0,0,8,58,55,26,23,9,94,0,1313,0,2,8,143,14,0,40,64,0,2,972,11,376,3,211,5,0,492,1,0,6,0,129,68,8048,160,422,0,38,2,0,813,0,0,0,0,0,1997,4,2,0,12376,0,0,5,11,57,0,22,128,47,43,0,23,0,0,3,47,3,0,0,786,0,0,0,0,0,0,0,0,1,4,2,0,0,1,70,1,31,0,35,12,7,523,0,63,441,4,0,0,300,567,3,0,23,0,0,276,0,20,1,0,0,26,6,0,0,0,7,0,0,0,0,701,6,0,0,0,0,0,20,0,725,4,7,5986,52,0,0,0,26,12002,171,0,0,0,0,0,189,0,214,0,1,1,0,0,0,6,345,0,76,0,0,1,2925,1,0,5250,732,2,0,0,15,475,0,10,2,138,3,0,0,0,0,26,0,47,0,0,1,0,0,0,9,0,0,2,7,138,3,450,20,1734
1738-1739,1556928,12,12,15,3,393,72,0,148,3,1409,0,5,118,2,1236,0,84,172,240,42,0,218,0,18,1,0,0,0,0,7,78,61,36,29,9,173,0,2855,0,0,10,396,17,2,90,264,5,3,1688,52,831,7,302,2,0,978,0,0,13,1,151,104,13823,348,764,0,83,1,2,1402,0,0,0,2,7,3946,27,0,0,21060,0,0,1,13,80,0,27,258,83,75,1,72,0,1,1,118,3,0,0,1173,0,0,0,0,0,0,0,0,1,7,4,0,0,0,70,0,31,1,37,6,21,775,1,120,431,1,0,0,475,1069,11,0,11,2,0,549,1,18,3,0,0,70,4,0,13,0,10,3,0,1,0,1180,8,0,0,0,0,0,2,0,1351,32,13,11918,139,0,6,0,24,20547,150,0,0,0,2,0,529,0,643,0,5,0,0,0,0,25,712,0,258,0,0,2,5566,6,0,8586,1052,0,0,0,18,1477,0,6,0,346,29,1,0,0,0,37,0,72,2,0,1,11,0,0,16,1,0,3,54,124,2,711,71,1738
1740-1741,1069481,6,8,8,1,505,63,0,188,12,624,0,0,143,0,836,0,107,103,184,38,0,111,0,24,1,0,1,0,0,7,37,48,64,26,6,256,0,2273,0,3,1,209,15,1,55,293,8,4,741,55,692,0,347,0,1,586,1,0,26,0,97,99,9703,229,398,0,119,2,4,645,0,0,0,5,16,2471,37,1,0,13889,0,0,1,11,120,0,50,364,67,66,0,33,0,9,4,79,2,0,0,1860,0,0,0,0,0,0,2,0,2,30,4,0,0,1,47,0,25,0,20,3,5,430,2,52,355,0,0,0,311,479,11,0,22,1,0,386,1,26,2,0,2,33,7,2,6,0,6,0,0,0,0,879,11,0,0,0,0,0,2,1,758,11,18,7971,375,0,5,0,38,15466,101,0,0,1,0,0,219,0,377,0,5,0,0,2,0,8,296,0,179,0,0,3,4827,0,0,5358,548,0,1,0,13,798,0,11,0,273,31,2,0,0,0,10,0,158,3,0,1,6,2,0,17,1,0,0,19,226,0,366,27,1740
1742-1743,1664434,4,15,24,2,1570,58,0,296,3,1037,0,3,732,0,1515,0,464,229,243,15,0,151,3,13,0,0,0,0,0,1,43,51,827,504,19,455,0,3709,0,6,5,146,31,2,104,467,5,6,1339,95,1048,4,2274,0,1,1199,0,0,5,8,399,207,13424,229,677,0,391,1,13,1151,0,0,0,0,1,4358,11,5,0,26474,0,0,0,5,86,0,682,472,115,115,1,43,0,4,6,143,7,0,0,1487,0,0,0,0,0,0,0,0,0,3,9,0,0,9,128,1,41,0,49,13,25,641,2,163,501,1,0,3,309,1330,13,0,18,0,0,730,1,61,4,0,46,20,16,0,14,0,9,1,0,0,0,1346,51,0,0,0,0,0,5,0,3100,3,5,11805,928,0,2,0,44,24134,225,0,0,0,0,0,392,0,439,0,3,0,0,8,0,14,656,0,226,0,0,3,5310,2,0,6696,1903,1,1,0,59,1670,0,8,0,335,12,2,0,0,8,74,0,69,0,0,1,10,3,0,12,1,0,1,32,236,0,477,37,1742
1746-1747,845170,0,22,22,0,467,11,2,12,3,591,0,1,360,0,549,0,341,97,224,8,0,130,0,17,0,0,0,0,0,6,25,31,33,45,2,35,0,1798,0,1,4,78,5,0,43,146,0,9,552,56,515,1,311,0,1,311,0,0,3,0,115,79,6746,206,474,0,5,0,0,899,0,0,0,0,1,2006,17,0,0,12260,0,0,2,15,22,0,21,180,74,75,0,30,0,4,2,93,12,1,0,224,0,0,0,0,1,0,0,0,0,5,6,0,0,0,76,0,17,0,16,12,15,546,4,40,393,0,0,0,210,841,7,0,2,1,0,295,1,8,2,0,1,16,9,0,2,0,6,1,0,0,0,844,6,0,0,0,0,0,4,0,664,0,8,6706,126,0,0,0,21,12177,85,0,0,0,0,0,184,0,235,0,1,0,0,0,0,9,345,0,118,0,0,7,2900,3,0,4469,329,0,4,0,81,949,0,8,0,57,23,0,0,0,1,35,0,5,1,1,0,1,0,0,9,0,0,2,28,140,12,386,2,1746
1751-1752,169160,0,4,4,2,53,2,0,1,2,205,0,1,10,0,137,0,8,31,19,1,0,44,0,6,0,0,0,0,0,0,17,7,1,1,0,0,0,500,1,0,1,5,7,2,16,52,0,16,208,13,82,1,62,0,0,205,0,0,1,0,44,28,1527,19,140,0,7,0,0,243,0,0,0,0,0,639,0,0,0,1891,0,0,0,2,2,0,1,14,24,16,0,10,0,1,1,15,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,0,0,12,22,7,156,6,18,146,0,0,0,56,118,2,0,10,4,0,61,0,3,0,0,0,2,18,0,6,0,0,0,0,0,0,189,23,0,0,0,0,0,1,0,38,0,1,1213,5,0,0,0,9,950,25,0,0,0,0,0,145,0,33,0,1,0,0,0,0,5,241,0,25,0,0,1,563,0,0,1220,77,0,0,0,11,67,0,0,0,38,10,2,0,0,0,11,0,12,0,0,0,0,2,0,8,0,0,1,11,10,0,60,3,1751
1755-1756,90838,0,0,0,0,3,2,1,16,0,85,0,1,0,0,86,0,0,12,25,0,0,18,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,271,0,0,1,4,0,0,13,25,0,55,81,7,39,1,43,0,0,106,0,0,2,0,32,28,678,27,48,0,0,0,0,129,0,0,0,0,0,352,1,0,0,914,0,0,0,2,3,0,0,7,30,6,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,1,0,24,15,5,60,17,56,73,1,0,0,26,43,4,0,8,1,0,29,0,1,0,0,0,0,9,0,3,0,0,0,0,0,0,85,0,0,0,0,0,0,3,0,16,0,0,626,2,0,0,0,5,303,8,0,0,0,0,0,42,0,67,0,0,0,0,0,0,0,166,0,29,0,0,2,362,0,0,681,13,0,0,0,6,8,0,0,0,12,0,0,0,0,0,25,0,0,0,0,0,1,0,0,15,0,0,0,1,4,0,5,0,1755
1760-1762,1531161,3,9,9,3,264,18,0,508,19,1033,0,4,137,0,859,0,109,285,311,21,0,123,1,43,3,0,0,0,0,34,67,42,32,20,3,86,0,4203,5,5,7,130,20,0,73,665,0,474,1882,140,926,13,1342,0,2,822,0,0,12,0,183,69,11161,303,818,0,14,0,27,1132,0,0,0,0,3,4063,52,8,0,21326,0,0,7,4,63,0,22,115,260,120,1,52,0,16,5,62,5,0,0,527,0,0,0,0,1,0,0,0,0,5,3,24,0,1,70,0,9,0,46,97,18,652,55,355,1117,1,0,0,416,699,13,0,29,2,0,677,0,74,2,0,5,13,40,0,10,0,6,0,0,0,0,1228,31,0,0,0,0,0,10,0,2110,6,15,10326,455,0,1,0,43,15442,153,0,0,0,0,0,352,0,314,0,3,0,0,6,0,8,1118,0,342,0,0,9,4879,15,0,11426,643,0,2,0,42,1572,0,4,1,186,28,6,0,0,0,123,0,35,2,2,1,4,0,0,291,0,0,17,189,511,30,690,17,1760
1765-1766,1106094,1,1,1,1,153,17,0,72,17,1086,0,2,70,0,664,0,58,220,172,32,0,126,0,35,4,0,0,0,0,24,166,50,27,9,3,37,0,2468,0,3,2,59,12,0,44,776,1,187,1021,123,394,2,695,0,0,505,3,0,7,0,157,46,9061,159,742,0,12,2,0,1220,0,0,0,0,1,2900,9,14,0,15769,0,0,1,3,21,0,18,68,196,78,0,35,0,458,3,38,14,0,0,400,0,0,0,0,1,0,0,0,0,24,2,34,0,1,92,0,14,0,46,35,21,611,33,335,1051,1,0,0,324,581,15,0,27,2,0,276,2,38,2,1,0,28,26,0,12,0,14,0,0,0,0,703,113,0,0,0,0,0,19,0,618,1,21,6888,397,0,3,0,32,11529,151,0,0,0,2,0,146,0,180,0,1,0,0,0,0,25,467,0,229,0,0,21,2948,2,0,7494,707,0,1,0,27,1482,0,6,0,487,38,1,0,0,0,89,0,55,3,9,2,0,3,0,318,0,0,7,94,689,25,849,26,1765
1769-1770,745087,5,6,6,0,129,10,0,578,36,653,0,3,58,0,469,0,52,220,126,9,0,119,1,12,0,0,0,0,0,34,120,34,11,4,0,45,0,1855,0,3,5,52,10,0,27,570,46,476,749,93,257,1,505,0,2,416,0,0,8,0,175,30,6118,103,524,0,3,0,1,958,0,0,0,0,1,2048,5,9,0,9506,0,0,4,4,33,0,8,58,136,76,0,27,0,123,0,22,8,0,0,297,0,0,0,0,1,0,0,0,0,4,2,33,0,0,44,0,12,0,70,26,10,488,22,235,740,1,0,0,248,207,8,0,22,3,0,126,0,26,3,0,0,19,5,0,12,0,14,0,0,0,0,557,67,0,0,0,0,0,25,0,344,0,50,5394,163,0,3,0,20,7407,46,0,0,0,0,0,207,0,191,0,0,0,0,0,0,6,583,0,227,0,0,30,2969,2,0,6024,527,0,1,0,19,1363,0,5,0,96,29,0,0,0,2,51,0,36,3,111,0,0,1,0,382,0,0,7,200,680,13,741,23,1769
1771-1772,1128795,2,4,7,0,174,12,0,535,75,1107,0,1,106,1,821,0,91,176,282,14,0,131,1,73,0,0,0,0,0,22,380,76,26,15,4,63,0,2048,0,3,4,50,17,0,44,682,4,704,1268,256,482,7,692,0,1,731,0,0,8,0,224,138,8356,211,668,0,8,0,1,1170,0,0,0,0,1,2997,5,11,0,13573,0,0,8,7,57,0,20,225,234,116,0,50,0,3,5,94,12,0,0,411,0,0,0,0,3,0,0,0,0,11,7,10,0,0,55,0,2,1,65,54,18,530,34,176,1420,4,0,3,318,395,5,0,27,1,0,216,3,19,5,0,0,12,30,0,22,0,8,0,0,0,0,785,9,0,0,0,0,0,20,0,707,2,42,6648,400,0,2,0,32,11972,104,0,0,0,5,0,212,0,230,0,6,0,0,1,0,7,673,0,586,0,0,38,4859,7,0,9297,471,0,5,0,47,1347,0,21,0,177,56,0,0,0,0,116,0,64,4,15,1,1,4,0,501,0,0,6,36,181,1,579,11,1771
